"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","6.65","6.56","6.52","6.50","6.45","6.32","6.18","6.02","5.92","5.89","5.90","5.76","5.67","5.55","5.43","5.27",2015.0,"5.27","Estimated data","Sources: World Bank analysis based on World Energy Statistics and Balances, IEA (2017); Energy Balances, UN Statistics Division (2017)"
"2","Africa","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","","","","","","","","","","","","","","","","","","","",""
"5","South America","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","","","","","","","","","","","","","","","","","","","",""
"9","Oceania","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","6.45","6.69","6.52","6.27","6.14","5.96","6.00","6.00","5.99","5.92","5.86","5.74","5.52","5.38","5.24","5.15",2015.0,"5.15","Estimated data","Sources: World Bank analysis based on World Energy Statistics and Balances, IEA (2017); Energy Balances, UN Statistics Division (2017)"
"11","Western Africa","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","","","","","","","","","","","","","","","","","","","",""
"13","Central America","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","","","","","","","","","","","","","","","","","","","",""
"14","Eastern Africa","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","","","","","","","","","","","","","","","","","","","",""
"15","Northern Africa","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","3.90","4.01","4.06","3.95","4.02","4.09","4.07","3.98","3.90","3.94","3.83","3.96","3.86","3.81","3.83","3.73",2015.0,"3.73","Estimated data","Sources: World Bank analysis based on World Energy Statistics and Balances, IEA (2017); Energy Balances, UN Statistics Division (2017)"
"17","Middle Africa","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","","","","","","","","","","","","","","","","","","","",""
"18","Southern Africa","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","","","","","","","","","","","","","","","","","","","",""
