"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"2","Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"5","South America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"9","Oceania","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"11","Western Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"13","Central America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"14","Eastern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"15","Northern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"17","Middle Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"18","Southern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"19","Americas","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"21","Northern America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"29","Caribbean","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"30","Eastern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"34","Southern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"35","South-Eastern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"39","Southern Europe","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"53","Australia and New Zealand","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"54","Melanesia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"57","Micronesia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"61","Polynesia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"62","Central and Southern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"97","European Union","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"127","Southern Asia (excluding India)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"135","Caucasus and Central Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"142","Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"143","Central Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"145","Western Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"150","Europe","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
