series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Location	Units	Location description	Units description	years	value	valueType	time_detail	source	Nature
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	53.1707038879395	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	14.9095401763916	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	8	20.06660928	41.13897007	ALB	Albania	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	17.8698272705078	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	222	-88.86862995	13.73603564	SLV	El Salvador	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	23.4244613647461	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016					
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	45.902946472168	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	12	2.678164227	28.15940032	DZA	Algeria	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	35.1679573059082	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	231	39.63505296	8.631223181	ETH	Ethiopia	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	34.3611145019531	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016					
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	232	38.11074289	16.12894644	ERI	Eritrea	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	42.3960494995117	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	20	1.576257417	42.54548611	AND	Andorra	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	9.949182510376	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	233	25.84093481	58.68487172	EST	Estonia	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	6.7427530288696	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	24	17.57817062	-12.33724746	AGO	Angola	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	27.9496593475342	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016					
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	17.9172744750977	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016					
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	18.2009506225586	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016					
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	11.8304634094238	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	242	177.9660884	-17.83301566	FJI	Fiji	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	10.1851749420166	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	36	134.3499412	-25.57717202	AUS	Australia	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	7.1862335205078	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	246	23.308447	61.91586738	FIN	Finland	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	5.8829689025879	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	40	14.14172472	47.58704857	AUT	Austria	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	12.4257211685181	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	248	19.80945969	60.1544901	ALA	Åland Islands	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016					
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	17.5625343322754	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	250	2.457288129	46.62660861	FRA	France	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	11.6362991333008	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	48	50.5490754	26.04407747	BHR	Bahrain	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	69.0448684692383	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	254	-53.23619089	3.922673437	GUF	French Guiana	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016					
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	58.3345603942871	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016					
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	51	44.93839317	40.29499741	ARM	Armenia	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	30.4817638397217	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016					
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	52	-59.5346489	13.13648273	BRB	Barbados	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	22.2354164123535	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	262	42.18274707	11.56004161	DJI	Djibouti	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	40.3802070617676	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	56	4.660976456	50.64104975	BEL	Belgium	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	12.8761425018311	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	266	11.78727747	-0.60687619	GAB	Gabon	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	38.5093116760254	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	60	-64.78155012	32.27881922	BMU	Bermuda	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016					
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	268	43.3713615	42.04813028	GEO	Georgia	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	21.196834564209	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	64	90.45098484	27.39598568	BTN	Bhutan	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	35.3224220275879	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	270	-15.39944785	13.45295927	GMB	Gambia	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	32.1973915100098	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	20.2352504730225	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	275	35.25694122	31.94347933	PSE	State of Palestine	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016					
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	27.25168800354	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	276	10.3806066	51.08862743	DEU	Germany	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	11.7104406356812	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	72	23.81380223	-22.18810073	BWA	Botswana	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	21.23512840271	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	288	-1.205623522	7.964825185	GHA	Ghana	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	31.9471893310547	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016					
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016					
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	76	-53.08432878	-10.77668561	BRA	Brazil	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	11.4902038574219	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	296	-157.5643005	1.768837732	KIR	Kiribati	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	10.4533576965332	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
2018.Q2.G.01	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	84	-88.70199554	17.19965901	BLZ	Belize	1	ALLAREA	mgr/m^3	All areas	Micrograms per cubic meter	2016	21.2268142700195	Float		http://apps.who.int/gho/data/node.sdg.11-6	E
