"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.1","Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","2019.Q1.G.01","PER_1000_UNINFECTED_POP","Per 1,000 uninfected population","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","0.62","0.58","0.55","0.52","0.49","0.47","0.45","0.43","0.41","0.40","0.38","0.37","0.36","0.35","0.34","0.33","0.32",2016.0,"0.32","Estimated data","UNAIDS"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.1","Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","2019.Q1.G.01","PER_1000_UNINFECTED_POP","Per 1,000 uninfected population","15-49","15 to 49 years old","G","Global","BOTHSEX","Both sexes","0.79","0.74","0.69","0.66","0.62","0.60","0.57","0.55","0.53","0.52","0.50","0.49","0.48","0.46","0.45","0.44","0.43",2016.0,"0.43","Estimated data","UNAIDS"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.1","Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","2019.Q1.G.01","PER_1000_UNINFECTED_POP","Per 1,000 uninfected population","15-49","15 to 49 years old","G","Global","FEMALE","Female","0.80","0.74","0.70","0.66","0.62","0.60","0.58","0.56","0.54","0.52","0.50","0.49","0.47","0.46","0.45","0.43","0.42",2016.0,"0.42","Estimated data","UNAIDS"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.1","Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","2019.Q1.G.01","PER_1000_UNINFECTED_POP","Per 1,000 uninfected population","15-49","15 to 49 years old","G","Global","MALE","Male","0.78","0.73","0.69","0.65","0.62","0.60","0.57","0.55","0.53","0.51","0.50","0.49","0.48","0.47","0.46","0.45","0.44",2016.0,"0.44","Estimated data","UNAIDS"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.1","Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","2019.Q1.G.01","PER_1000_UNINFECTED_POP","Per 1,000 uninfected population","<15Y","under 15 years old","G","Global","BOTHSEX","Both sexes","0.26","0.26","0.26","0.26","0.25","0.24","0.23","0.22","0.20","0.18","0.17","0.15","0.14","0.12","0.10","0.09","0.08",2016.0,"0.08","Estimated data","UNAIDS"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.1","Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","2019.Q1.G.01","PER_1000_UNINFECTED_POP","Per 1,000 uninfected population","ALLAGE","All age ranges or no breaks by age","G","Global","BOTHSEX","Both sexes","0.51","0.48","0.46","0.44","0.42","0.40","0.39","0.37","0.35","0.34","0.32","0.31","0.30","0.29","0.28","0.27","0.26",2016.0,"0.26","Estimated data","UNAIDS"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.1","Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","2019.Q1.G.01","PER_1000_UNINFECTED_POP","Per 1,000 uninfected population","ALLAGE","All age ranges or no breaks by age","G","Global","FEMALE","Female","0.51","0.48","0.46","0.44","0.41","0.40","0.38","0.37","0.35","0.34","0.32","0.31","0.30","0.28","0.27","0.26","0.25",2016.0,"0.25","Estimated data","UNAIDS"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.1","Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","2019.Q1.G.01","PER_1000_UNINFECTED_POP","Per 1,000 uninfected population","ALLAGE","All age ranges or no breaks by age","G","Global","MALE","Male","0.51","0.49","0.47","0.45","0.42","0.41","0.39","0.37","0.36","0.34","0.33","0.32","0.31","0.30","0.28","0.28","0.27",2016.0,"0.27","Estimated data","UNAIDS"
"2","Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.1","Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","2019.Q1.G.01","PER_1000_UNINFECTED_POP","Per 1,000 uninfected population","ALLAGE","All age ranges or no breaks by age","G","Global","MALE","Male","","","","","","","","","","","","","","","","","","","","",""
"2","Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.1","Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","2019.Q1.G.01","PER_1000_UNINFECTED_POP","Per 1,000 uninfected population","ALLAGE","All age ranges or no breaks by age","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","",""
