GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Age_Code,Age_Desc,Sex_Code,Sex_Desc,TypeOfSkill_Code,TypeOfSkill_Desc,ReportingType_Code,ReportingType_Desc,Nature_Code,Nature_Desc,Units_Code,Units_Desc,GeoArea_Code,GeoArea_Desc,Year,TimeDetail,Value,ValueType,Source,Footnotes,ISO3CD,X,Y
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,15-65,15 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,51,Armenia,2013.0,,98.9712,Float,Skills Measurement Program (World Bank),,ARM,44.93839317,40.29499741
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,36,Australia,2012.0,,94.15903,Float,Programme for the International Assessment of Adult Competencies (OECD),,AUS,134.3499412,-25.57717202
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,36,Australia,2012.0,,96.80867,Float,Programme for the International Assessment of Adult Competencies (OECD),,AUS,134.3499412,-25.57717202
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,40,Austria,2012.0,,96.53522,Float,Programme for the International Assessment of Adult Competencies (OECD),,AUT,14.14172472,47.58704857
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,40,Austria,2012.0,,97.50223,Float,Programme for the International Assessment of Adult Competencies (OECD),,AUT,14.14172472,47.58704857
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,15-65,15 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,68,Bolivia (Plurinational State of),2012.0,,84.4739,Float,Skills Measurement Program (World Bank),,BOL,-64.66224284,-16.71273412
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,124,Canada,2012.0,,94.04024,Float,Programme for the International Assessment of Adult Competencies (OECD),,CAN,-101.6575058,57.72360191
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,124,Canada,2012.0,,96.1519,Float,Programme for the International Assessment of Adult Competencies (OECD),,CAN,-101.6575058,57.72360191
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,152,Chile,2015.0,,69.16294,Float,Programme for the International Assessment of Adult Competencies (OECD),,CHL,-71.23029019,-35.2652885
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,152,Chile,2015.0,,79.63343,Float,Programme for the International Assessment of Adult Competencies (OECD),,CHL,-71.23029019,-35.2652885
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,15-65,15 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,170,Colombia,2012.0,,95.6689,Float,Skills Measurement Program (World Bank),,COL,-73.07446751,3.888209046
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,196,Cyprus,2012.0,,95.89813,Float,Programme for the International Assessment of Adult Competencies (OECD),,CYP,33.22285964,35.05659437
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,196,Cyprus,2012.0,,98.1137,Float,Programme for the International Assessment of Adult Competencies (OECD),,CYP,33.22285964,35.05659437
