"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2014.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","28","23",2014.0,"23","Data nature not available","United Nations Human Settlements Programme (UN-HABITAT)"
"2","Africa","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"5","South America","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"9","Oceania","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","24","24",2014.0,"24","Data nature not available","United Nations Human Settlements Programme (UN-HABITAT)"
"11","Western Africa","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"13","Central America","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"14","Eastern Africa","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"15","Northern Africa","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"17","Middle Africa","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"18","Southern Africa","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
