"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","15.99","15.81","15.69","15.85","15.74","15.65","15.63","15.47","15.11","14.69","14.5","14.43","14.35","14","13.71","13.43","13.21","13.11",2017.0,"13.11","Modeled data","ILO Trends Econometric Models, November 2017","NA"
"2","Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"5","South America","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"9","Oceania","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"11","Western Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"13","Central America","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"14","Eastern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"15","Northern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"17","Middle Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"18","Southern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"19","Americas","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"21","Northern America","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"29","Caribbean","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"30","Eastern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"34","Southern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","10.69","10.53","11","11.17","11.68","11.87","12.1","12.03","11.66","11.55","11.37","12.01","12.67","12.45","12.23","12.2","12","11.94",2017.0,"11.94","Modeled data","ILO Trends Econometric Models, November 2017","NA"
"35","South-Eastern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","11.85","12.2","12.08","11.91","11.84","12.31","12.38","12.4","12.06","12.15","12.36","12.52","12.88","12.91","13.32","13.62","13.63","13.6",2017.0,"13.6","Modeled data","ILO Trends Econometric Models, November 2017","NA"
"39","Southern Europe","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"53","Australia and New Zealand","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","12.72","12.33","12.22","11.62","11.55","10.95","10.97","10.82","10.67","9.68","9.34","8.96","8.87","8.59","8.48","8.16","7.91","7.76",2017.0,"7.76","Modeled data","ILO Trends Econometric Models, November 2017","NA"
"54","Melanesia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"57","Micronesia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"61","Polynesia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"62","Central and Southern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","10.77","10.62","11.06","11.24","11.74","11.94","12.17","12.1","11.8","11.69","11.53","12.12","12.74","12.52","12.31","12.27","12.07","12.02",2017.0,"12.02","Modeled data","ILO Trends Econometric Models, November 2017","NA"
"97","European Union","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
