"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","TypeOfMobileTechnology_Code","TypeOfMobileTechnology_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"4","Afghanistan","AFG","66.02688198","33.83160199","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","72","75","80","80","85","88","88.6","89","89.2","89.4",2016.0,"89.4","Data nature not available","[2013-2014]: Afghanistan Telecommunication Regulatory Authority , Ministry of Communications & Information Technology // [2015-2016]: Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT) // [2012]: Afghanistan Telecommunications Regulatory Authority (ATRA) // [2009-2010]: ITU estimate. // [2007-2008,2011]: Ministry of Communications & Information Technology","[2015]: 0.892 // [2012]: Over 88%"
"4","Afghanistan","AFG","66.02688198","33.83160199","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","0","0","0",2016.0,"0","Data nature not available","[2014-2015]: ITU estimate // [2016]: ITU estimate. ","ITU estimate"
"4","Afghanistan","AFG","66.02688198","33.83160199","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","28","35","40","","","","","28","35","40","40",2016.0,"40","Data nature not available","[2006-2008,2013-2015]: Afghanistan Telecommunication Regulatory Authority , Ministry of Communications & Information Technology // [2016]: Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)","40%"
"8","Albania","ALB","20.06660928","41.13897007","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","0","35","80.2",2016.0,"80.2","Data nature not available","[2014]: ITU estimate // [2015-2016]: Minister of State for the Innovation and Public Administration","ITU estimate"
"8","Albania","ALB","20.06660928","41.13897007","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","84","90","90.4","89","91","96.5","96.5","99.3","","98.2","99","99","100","99.8","100","99.8",2016.0,"99.8","Data nature not available","[2010-2011]: Minister for Innovation and ICT // [2014-2016]: Minister of State for the Innovation and Public Administration // [2007-2008]: Ministry for Innovation and ICT // [2001-2006]: NA // [2012-2013]: National Agency on Information Society",""
"8","Albania","ALB","20.06660928","41.13897007","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","85.6","99","99","99","99","","","85.6","99","99","99","99","99",2016.0,"99","Data nature not available","[2004,2011]: Minister for Innovation and ICT // [2007-2008,2014-2016]: Minister of State for the Innovation and Public Administration // [2005-2006,2012-2013]: National Agency on Information Society",""
"10","Antarctica","ATA","21.47585697","-80.40897662","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","40","40","40","40","40","41.52","63.6","81.5","","","","","","98","98","99.19","98",2016.0,"98","Data nature not available","[2014-2015]: Ministère de la  Poste et des Technologies de l'Information et de la Communication // [2016]: Ministère de la Poste, des Télécommunications, des Technologies et du Numérique // [2000-2007,2013]: NA","[2015]: NOV-2015
. Source: ARPT. // [2014]: Source: ARPT. // [2016]: source : ARPT."
"12","Algeria","DZA","2.678164227","28.15940032","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","6","23.23","46","","","","","6","23.23","46","83.36",2016.0,"83.36","Data nature not available","[2008,2015]: Ministère de la  Poste et des Technologies de l'Information et de la Communication // [2006-2007,2013-2014]: Ministère de la Poste et des Technologies de l'Information et de la Communication // [2016]: Ministère de la Poste, des Télécommunications, des Technologies et du Numérique","[2008,2015]: NOV-2015
(il s'agit d'une moyenne, pour 28 wilayas de la première année contrôlée) // [2016]: Source : ARPT // [2006-2007,2013-2014]: Source: ARPT"
"12","Algeria","DZA","2.678164227","28.15940032","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","0","0","3.62",2016.0,"3.62","Data nature not available","Ministère de la  Poste et des Technologies de l'Information et de la Communication","La 4G a été lancé au cours du mois d'octobre 2016"
