"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2001","Footnotes_2002","Footnotes_2003","Footnotes_2004","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Nature_Code_2000","Nature_Code_2001","Nature_Code_2002","Nature_Code_2003","Nature_Code_2004","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Source_2000","Source_2001","Source_2002","Source_2003","Source_2004","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","TimeDetail_2000","TimeDetail_2001","TimeDetail_2002","TimeDetail_2003","TimeDetail_2004","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value"
"","","","1","World","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","","","","","","","","","","","","","","","","","","3.01692","0.68555","0.93813","1.67125","3.037","2.55045","3.01414","2.92795","0.54422","-2.92051","3.03302","1.9179","1.22519","1.37399","1.63584","1.59705","1.29588",2016.0,"1.29588"
"BGR","25.23763153","42.75731323","100","Bulgaria","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","","","","","","","","","","","","","","","","","","5.84718","4.65006","6.80564","5.99442","7.26857","7.95305","7.69858","8.16735","6.82115","-2.88398","2.02799","2.58513","0.65808","1.47629","1.94603","4.26348","4.61017",2016.0,"4.61017"
"MMR","96.51752295","21.19332882","104","Myanmar","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","","","","","","","","","","","","","","","","","","12.37387","10.07244","10.80825","12.68542","12.50443","12.61112","12.23347","11.25098","9.56862","9.83757","9.37747","4.76198","6.42014","7.45302","7.00097","6.01387","4.70842",2016.0,"4.70842"
"BDI","29.89080992","-3.366387428","108","Burundi","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","","","","","","","","","","","","","","","","","","-2.78587","-0.31537","1.62033","-4.20604","0.88998","-2.36388","1.9528","-0.02548","1.41714","0.4035","1.73286","0.85378","1.32872","1.8342","1.16271","-3.30568","-1.43917",2016.0,"-1.43917"
"","","","11","Western Africa","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","","","","","","","","","","","","","","","","","","1.17096","1.62265","12.20865","5.46411","5.47121","3.23593","2.83207","3.07568","3.27612","3.19017","4.39788","2.16568","2.45558","2.96527","3.28306","0.53143","-2.32069",2016.0,"-2.32069"
"BLR","28.04940161","53.54193075","112","Belarus","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","","","","","","","","","","","","","","","","","","6.35547","5.36862","5.71324","7.73157","12.15429","10.07104","10.53213","9.013","10.58669","0.37681","7.89055","5.59617","1.71283","0.87452","1.68316","-3.83891","-2.58202",2016.0,"-2.58202"
"KHM","104.922836","12.71163737","116","Cambodia","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","","","","","","","","","","","","","","","","","","6.36236","5.96705","4.6199","6.6623","8.56486","11.48484","9.09159","8.58315","5.12498","-1.4027","4.34457","5.382","5.52676","5.72108","5.33194","5.3335","5.22306",2016.0,"5.22306"
"DZA","2.678164227","28.15940032","12","Algeria","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","","","","","","","","","","","","","","","","","","2.40846","1.66819","4.27025","5.84867","2.94163","4.44507","0.22626","1.82591","0.75318","-0.13329","1.73015","0.93833","1.34584","0.72806","1.74394","1.72799","1.4314",2016.0,"1.4314"
"CMR","12.7419827","5.692387031","120","Cameroon","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","","","","","","","","","","","","","","","","","","0.96116","1.71961","1.56104","1.85112","3.97754","-0.6833","0.69044","2.07468","0.68842","-0.56519","0.63657","1.33859","1.75674","2.6137","3.10274","2.90027","1.75592",2016.0,"1.75592"
"CAN","-101.6575058","57.72360191","124","Canada","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)","","","","","","","","","","","","","","","","","","4.21802","0.82294","2.036","0.81438","2.04827","2.11924","1.49958","0.90535","-0.16255","-4.05619","1.9406","2.03644","0.6899","1.44376","1.55928","-0.02698","0.51678",2016.0,"0.51678"
