"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"4","Afghanistan","AFG","66.02688198","33.83160199","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","PER_100_POP","Per 100 population","G","Global","","0.0","0.0","0.1","0.1","1.2","2.1","1.9","1.8","3.6","4.0","5.0","5.5","5.9","7.0","8.3","10.6",2016.0,"10.6","Data nature not available","[2016]: ITU Estimate. // [2001,2007,2012-2015]: ITU estimate. // [2010-2011]: ITU estimate.  // [2008-2009]: Ministry of Communications & Information Technology // [2002-2006]: Ministry of Communications.","NULL"
"8","Albania","ALB","20.06660928","41.13897007","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","PER_100_POP","Per 100 population","G","Global","0.1","0.3","0.4","1.0","2.4","6.0","9.6","15.0","23.9","41.2","45.0","49.0","54.7","57.2","60.1","63.3","66.4",2016.0,"66.4","Data nature not available","[2000-2002]: Albanian Telecom Enterprise. // [2007,2011-2016]: ITU estimate. // [2006]: ITU estimate.  // [2008-2010]: Minister for Innovation and ICT // [2003-2005]: Ministry of Transport and Telecommunications.","NULL"
"10","Antarctica","ATA","21.47585697","-80.40897662","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","PER_100_POP","Per 100 population","G","Global","","","","","","","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","PER_100_POP","Per 100 population","G","Global","0.5","0.6","1.6","2.2","4.6","5.8","7.4","9.5","10.2","11.2","12.5","14.9","18.2","22.5","29.5","38.2","42.9",2016.0,"42.9","Data nature not available","[2006-2007]: Autorité de Régulation de la Poste et des Télecommunications (ARPT). // [2008-2010]: Autorité de Régulation de la Poste et des Télécommunications // [2016]: ITU Estimate. // [2012-2015]: ITU estimate. // [2011]: ITU estimate.  // [2000-2005]: NULL","NULL"
"16","American Samoa","ASM","-170.7187269","-14.30587306","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","PER_100_POP","Per 100 population","G","Global","","","","","","","","","","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","PER_100_POP","Per 100 population","G","Global","10.5","","11.3","13.5","26.8","37.6","48.9","70.9","70.0","78.5","81.0","81.0","86.4","94.0","95.9","96.9","97.9",2016.0,"97.9","Data nature not available","[2007-2009]: Andorra Telecom // [2016]: ITU Estimate. // [2012-2015]: ITU estimate. // [2010-2011]: Servei de Telecomunicacions d'Andorra // [2000,2002-2006]: Servei de Telecomunicacions d'Andorra (STA).","NULL"
"24","Angola","AGO","17.57817062","-12.33724746","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","PER_100_POP","Per 100 population","G","Global","0.1","0.1","0.3","0.4","0.5","1.1","1.5","1.7","1.9","2.3","2.8","3.1","6.5","8.9","10.2","12.4","13.0",2016.0,"13.0","Data nature not available","[2015-2016]: ITU Estimate. // [2007-2013]: ITU estimate. // [2014]: Instituto Nacional de Estatística. // [2000-2006]: NULL","[2014]: 2014 Census. Share of population aged 5+ accessing the Internet in the past 12 months.  // [2000-2010,2012-2013,2015-2016]: NULL"
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","PER_100_POP","Per 100 population","G","Global","6.5","8.9","12.5","17.2","24.3","27.0","30.0","34.0","38.0","42.0","47.0","52.0","58.0","63.4","67.8","70.0","73.0",2016.0,"73.0","Data nature not available","[2000,2002,2004]: Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel. // [2001,2003,2005-2010,2012-2016]: ITU estimate. // [2011]: Statistics Division, Census.","[2000-2008,2010,2012-2016]: NULL // [2011]: Population age 5+. Census."
"31","Azerbaijan","AZE","50.01064725","40.39229544","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","PER_100_POP","Per 100 population","G","Global","0.1","0.3","5.0","","","8.0","12.0","14.5","17.1","27.4","46.0","50.0","54.2","73.0","75.0","77.0","78.2",2016.0,"78.2","Data nature not available","[2007,2011-2012]: ITU estimate. // [2000-2002,2005-2006]: NULL // [2008-2010]: State Statistical Committee // [2013]: State Statistical Committee of Azerbaijan Republic // [2014-2015]: State Statistical Committee of the Republic of Azerbaijan // [2016]: State Statistical Committee of the Republic of Azerbaijan.","[2000-2002,2005-2006,2016]: NULL // [2008-2011,2013-2015]: Population age 7+."
"32","Argentina","ARG","-65.14563274","-35.19446255","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","PER_100_POP","Per 100 population","G","Global","7.0","9.8","10.9","11.9","16.0","17.7","20.9","25.9","28.1","34.0","45.0","51.0","55.8","59.9","64.7","68.0","71.0",2016.0,"71.0","Data nature not available","[2009]: Comisión Nacional de Comunicaciones // [2011]: ITU estimate based on INDEC's survey. // [2010,2012-2014]: ITU estimate. // [2015-2016]: Instituto Nacional de Estadistica y Censos. // [2000-2008]: SECOM.","[2000-2010,2013-2016]: NULL // [2011]: Population aged 10+. Estimated based on survey results for urban population."
