series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Sex	Units	Sex description	Units description	years	value	valueType	time_detail	source	Nature
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	204	2.339933594	9.65401646	BEN	Benin	3	BOTHSEX	NUMBER	Both	Number	2010	887	Float		Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	204	2.339933594	9.65401646	BEN	Benin	3	BOTHSEX	NUMBER	Both	Number	2016	1077	Float		Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	208	9.326571283	56.03829721	DNK	Denmark	3	BOTHSEX	NUMBER	Both	Number	2016	729	Float		Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	203	15.33151382	49.73913871	CZE	Czechia	3	BOTHSEX	NUMBER	Both	Number	2016	1393	Float		Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	3	BOTHSEX	NUMBER	Both	Number	2016					
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	454	33.4884625	-13.40819859	MWI	Malawi	3	BOTHSEX	NUMBER	Both	Number	2015	634	Float		Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	203	15.33151382	49.73913871	CZE	Czechia	3	BOTHSEX	NUMBER	Both	Number	2010	1623	Float		Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	458	116.8346314	5.452415309	MYS	Malaysia	3	BOTHSEX	NUMBER	Both	Number	2015	1665	Float		Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	212	-61.3493756	15.43391378	DMA	Dominica	3	BOTHSEX	NUMBER	Both	Number	2010					
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	212	-61.3493756	15.43391378	DMA	Dominica	3	BOTHSEX	NUMBER	Both	Number	2016					
