series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	60	-64.78155012	32.27881922	BMU	Bermuda	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	64	90.45098484	27.39598568	BTN	Bhutan	1	CU_USD	USD	598515.57	102730.48	608227.49	6250	361262.02	1891050.64	133549.43	98888.3	345833.73	16199.8	497104.38	2015	16199.8	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	CU_USD	USD	253901.4	2261712.39	2280739.91	5910.21	20005310.61	50933290.42	93853.43	32034644.97	24326975	54257.15	21488604.194	2015	54257.15	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	CU_USD	USD	443527.78	3197551.48	824985.5	6536108.29	2057477.58	1483368.56	9725828.9	10359069.36	2304435.28	644778.38575	4903496.09715	2015	644778.38575	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	72	23.81380223	-22.18810073	BWA	Botswana	1	CU_USD	USD	47564.87	252916.14	36235.15	83369.3	2063695.56	887343.87	117935.32	144954	105479.28	0	251142.494	2015	0	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	76	-53.08432878	-10.77668561	BRA	Brazil	1	CU_USD	USD	8593.62	62963	3605.94	43400	72797.84	146572.04	372591.05	191914.2	1071139.76	550019.643	466447.3386	2015	550019.643	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	84	-88.70199554	17.19965901	BLZ	Belize	1	CU_USD	USD	168626.81	97079.14	33420	132880	7703	565258.33	174653.33	56296.32			265402.66	2013	56296.32	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	CU_USD	USD	66377.7	182238.12	1836437	222652.2	527256.24	1072643.03	2954284.98	2328915.93	316589.7	14937.09	1337474.146	2015	14937.09	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	100	25.23763153	42.75731323	BGR	Bulgaria	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	104	96.51752295	21.19332882	MMR	Myanmar	1	CU_USD	USD	1187054.14	1046072.1	442206.37	83103.28	459101.29	401305.7	68826675.7	40148880.06	1938797.31	5379831.76108	23339098.106216	2015	5379831.76108	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	108	29.89080992	-3.366387428	BDI	Burundi	1	CU_USD	USD	1336500	2528104.9	1197584.94	1781357	1977658.13	1007659.08	805072.05	4047740	652704.78	2457871.97892	1794209.577784	2015	2457871.97892	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	112	28.04940161	53.54193075	BLR	Belarus	1	CU_USD	USD	59980	948650	16100	2360	322870	165060.25	203462.5		77588.24	110926.23405	139259.3060125	2015	110926.23405	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	116	104.922836	12.71163737	KHM	Cambodia	1	CU_USD	USD	5058884.8	2247291.6	1695848.2	6904990.51	4401560.76	2473531.29	5037875.44	7249785.08	377769.88	2118802.91657	3451552.921314	2015	2118802.91657	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	120	12.7419827	5.692387031	CMR	Cameroon	1	CU_USD	USD	752620.3	1970947.8	777605.41	205110.35	274878.76	734043.17	269510.83	190823.01	1910795.77	258752.7	672785.096	2015	258752.7	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	124	-101.6575058	57.72360191	CAN	Canada	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	CU_USD	USD	1697649.82	260608.09	114758.71	109781	2730032.11	494133.45	652963.88	95442.73	929003.05	55463.1	445401.242	2015	55463.1	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	140	20.93559492	7.003720791	CAF	Central African Republic	1	CU_USD	USD	220400	3716859.38	51751.18			195403.02	19288543.83				9741973.425	2012	19288543.83	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	CU_USD	USD	361402.19	208403.7	12105129.32	18171.01		212073.96	957604.85	367471.94	585351.3	686644.6	561829.33	2015	686644.6	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	148	18.66618401	15.36279341	TCD	Chad	1	CU_USD	USD	120900	273685.9	2284790.68	11467004.6	54483	356513.23	2084011.88	13759666	4179437.3	119455.83	4099816.848	2015	119455.83	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	152	-71.23029019	-35.2652885	CHL	Chile	1	CU_USD	USD	41577.25	207929.59	165918.89	232986.88	107160	347528.46	212466.13	64029.55			208008.046666667	2013	64029.55	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	156	104.1403375	32.30955217	CHN	China	1	CU_USD	USD	1568187.03	1405320	3248756.16	997787.99	840315.72	2254482.34	627920.47	45511101.89	1210733.9	6267282.8302	11174304.28604	2015	6267282.8302	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	170	-73.07446751	3.888209046	COL	Colombia	1	CU_USD	USD	50269.27	3416493.52	9862601.3	21397.07	25605.21	518566.58	304399.08	7818730.99			2880565.55	2013	7818730.99	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	174	43.34234565	-11.66121732	COM	Comoros	1	CU_USD	USD	421075.37	55890	46032	0	13690	1008559.02	33385.87	358034			466659.63	2013	358034	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	175	45.14015057	-12.82217691	MYT	Mayotte	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	178	15.22052612	-0.840544119	COG	Congo	1	CU_USD	USD	141700	63299	1550	21372170.94	416542.2	414415.43	691923.4	98120	5602963.1	0	1361484.386	2015	0	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	CU_USD	USD	1470429.3	3234160.3	3843631.37	1376758.46	5907097.31	2829812.81	2951296.62	15758911.38	32608133.1	51390288.93	21107688.568	2015	51390288.93	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	CU_USD	USD	43363.32	27307.11	114990.74		175507.66	801256.81	80806.93	59887.46	212521.3	0	230894.5	2015	0	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	CU_USD	USD	98763.25	45440	226058.78	21932.87		446447.64	156430.59	189896.45			264258.226666667	2013	189896.45	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	191	17.95874553	45.45172212	HRV	Croatia	1	CU_USD	USD	553515.73	7393.89		121991.37	1450331			920074.4			920074.4	2013	920074.4	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	192	-79.54460144	22.10030366	CUB	Cuba	1	CU_USD	USD	33980	30202.86	33976.88	35697.9	4990	117402.27	325964.96	85495.81	580533.2	76755.6	237230.368	2015	76755.6	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	196	33.22285964	35.05659437	CYP	Cyprus	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	203	15.33151382	49.73913871	CZE	Czechia	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	204	2.339933594	9.65401646	BEN	Benin	1	CU_USD	USD	390887.72	214526.6	2247878.82	79153.45	199893.81	2640227.91	2594447.69	57249.55	461540.4	6662153.77	2483123.864	2015	6662153.77	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	208	9.326571283	56.03829721	DNK	Denmark	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	212	-61.3493756	15.43391378	DMA	Dominica	1	CU_USD	USD	48884.01		34181.45	26651.55		47231.52	68473.46	1662146.34			592617.106666667	2013	1662146.34	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	CU_USD	USD	297189.3	8074439.83	28930	195400	49845.68	1644875.32	822311.76	825240.63	1382426.25	3440695	1623109.792	2015	3440695	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	CU_USD	USD	150668	478874.19	47900.92	169132.78	78001335.1	585541.6	229012.08	323103	169325	2123101.09	686016.554	2015	2123101.09	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	222	-88.86862995	13.73603564	SLV	El Salvador	1	CU_USD	USD	13609543.56	1084321.45	213487.2	224380	57756.1	265965.31	1114064.32	197227			525752.21	2013	197227	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	CU_USD	USD	18450	126550	18010	29444.4	9030				70904.4	33674.93	52289.665	2015	33674.93	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	231	39.63505296	8.631223181	ETH	Ethiopia	1	CU_USD	USD	4375212.66	15721452.43	8049266.6	641934.5	726217.67	4256266.54	20722263.92	6609637.5	32913579.8	1134997	13127348.952	2015	1134997	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	232	38.11074289	16.12894644	ERI	Eritrea	1	CU_USD	USD	191145.14	164425	221405.2	1367538.3	638745.1	162507.89	68555.42	4986918	174131	166537	1111729.862	2015	166537	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	233	25.84093481	58.68487172	EST	Estonia	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	242	177.9660884	-17.83301566	FJI	Fiji	1	CU_USD	USD	151154.8	327974.74	682	1110	292604.22	1122680.66	117245.61	167390.68	306012.19	0	342665.828	2015	0	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	246	23.308447	61.91586738	FIN	Finland	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	248	19.80945969	60.1544901	ALA	Åland Islands	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	250	2.457288129	46.62660861	FRA	France	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	254	-53.23619089	3.922673437	GUF	French Guiana	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	262	42.18274707	11.56004161	DJI	Djibouti	1	CU_USD	USD	302472.02	346544.83	70022.42	162700	112016.92	292815.93	184454.79	26642.95	652191.8	165629.8	264347.054	2015	165629.8	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	266	11.78727747	-0.60687619	GAB	Gabon	1	CU_USD	USD	79651.31	627366.78	26300.82	60	61645	49684.76	1634187.17	65766.19			583212.706666667	2013	65766.19	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	268	43.3713615	42.04813028	GEO	Georgia	1	CU_USD	USD	342978.68	359359.48	14940	24050	4092735.37	3066697.47	2211681.83	4854920.06	171373	3233049.7	2707544.412	2015	3233049.7	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	270	-15.39944785	13.45295927	GMB	Gambia	1	CU_USD	USD	704010	906852	91044.11	73548.46	49859.09	128311.97	510564.94	347414	213994	181433	276343.582	2015	181433	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	275	35.25694122	31.94347933	PSE	State of Palestine	1	CU_USD	USD	5440141.39	694821.43	506360	4541490.75	232948	2525888.12	11758999.21	107056.97	717792	4673133.5	3956573.96	2015	4673133.5	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	276	10.3806066	51.08862743	DEU	Germany	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	288	-1.205623522	7.964825185	GHA	Ghana	1	CU_USD	USD	793647.1	1020216.3	573339.81	3783364.46	3202077.12	44332510.9	897628.19	3722883.84	4641467.34	3509546.18	11420807.29	2015	3509546.18	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	CU_USD	USD															
