series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	years	value	valueType	time_detail	source	Nature
2018.Q2.G.01	SH_ACS_UNHC	Universal health coverage (UHC) service coverage index	4	66.02688198	33.83160199	AFG	Afghanistan	1	INDEX	Index	2015	34	Float		Tracking universal health coverage: 2017 Global Monitoring Report. Geneva, WHO 2017. http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/	E
2018.Q2.G.01	SH_ACS_UNHC	Universal health coverage (UHC) service coverage index	8	20.06660928	41.13897007	ALB	Albania	1	INDEX	Index	2015	62	Float		Tracking universal health coverage: 2017 Global Monitoring Report. Geneva, WHO 2017. http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/	E
2018.Q2.G.01	SH_ACS_UNHC	Universal health coverage (UHC) service coverage index	10	21.47585697	-80.40897662	ATA	Antarctica	1	INDEX	Index	2015					
2018.Q2.G.01	SH_ACS_UNHC	Universal health coverage (UHC) service coverage index	12	2.678164227	28.15940032	DZA	Algeria	1	INDEX	Index	2015	76	Float		Tracking universal health coverage: 2017 Global Monitoring Report. Geneva, WHO 2017. http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/	E
2018.Q2.G.01	SH_ACS_UNHC	Universal health coverage (UHC) service coverage index	16	-170.7187269	-14.30587306	ASM	American Samoa	1	INDEX	Index	2015					
2018.Q2.G.01	SH_ACS_UNHC	Universal health coverage (UHC) service coverage index	20	1.576257417	42.54548611	AND	Andorra	1	INDEX	Index	2015					
2018.Q2.G.01	SH_ACS_UNHC	Universal health coverage (UHC) service coverage index	24	17.57817062	-12.33724746	AGO	Angola	1	INDEX	Index	2015	36	Float		Tracking universal health coverage: 2017 Global Monitoring Report. Geneva, WHO 2017. http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/	E
2018.Q2.G.01	SH_ACS_UNHC	Universal health coverage (UHC) service coverage index	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	INDEX	Index	2015	75	Float		Tracking universal health coverage: 2017 Global Monitoring Report. Geneva, WHO 2017. http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/	E
2018.Q2.G.01	SH_ACS_UNHC	Universal health coverage (UHC) service coverage index	31	50.01064725	40.39229544	AZE	Azerbaijan	1	INDEX	Index	2015	64	Float		Tracking universal health coverage: 2017 Global Monitoring Report. Geneva, WHO 2017. http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/	E
2018.Q2.G.01	SH_ACS_UNHC	Universal health coverage (UHC) service coverage index	32	-65.14563274	-35.19446255	ARG	Argentina	1	INDEX	Index	2015	76	Float		Tracking universal health coverage: 2017 Global Monitoring Report. Geneva, WHO 2017. http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/	E
