"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Unitmultiplier_Code","Unitmultiplier_Desc","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.2","Total net official development assistance to medical research and basic health sectors","1","DC_TOF_HLTHNT","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","6509.65","6144.75","6966.75","8428.99","7654.76","8979.35","8995.57",2016.0,"8995.57","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)",""
"2","Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.2","Total net official development assistance to medical research and basic health sectors","1","DC_TOF_HLTHNT","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","2775.3","2989.08","3555.34","4372.3","4065.23","4989.67","4710.4",2016.0,"4710.4","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Net Disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"5","South America","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.2","Total net official development assistance to medical research and basic health sectors","1","DC_TOF_HLTHNT","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","124.34","105.01","89.66","74.23","46.67","-10.74","43.83",2016.0,"43.83","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Net Disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"9","Oceania","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.2","Total net official development assistance to medical research and basic health sectors","1","DC_TOF_HLTHNT","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","46.60878","68.63484","65.71262","85.67554","44.75708","113.71115","55.07225",2016.0,"55.07225","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Net Disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"11","Western Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.2","Total net official development assistance to medical research and basic health sectors","1","DC_TOF_HLTHNT","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","892.8","815.02","1008.8","1206.51","1401.25","1880.85","1552.62",2016.0,"1552.62","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Net Disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"13","Central America","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.2","Total net official development assistance to medical research and basic health sectors","1","DC_TOF_HLTHNT","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","76.06","72.23","81.13","67.54","77.52","108.68","76.78",2016.0,"76.78","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Net Disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"14","Eastern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.2","Total net official development assistance to medical research and basic health sectors","1","DC_TOF_HLTHNT","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","1257.11","1451.86","1819.65","2250.61","1903.56","2172.79","2175.58",2016.0,"2175.58","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Net Disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"15","Northern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.2","Total net official development assistance to medical research and basic health sectors","1","DC_TOF_HLTHNT","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","159.56","118.84","127.76","132.76","98.06","124.13","215.32",2016.0,"215.32","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Net Disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"17","Middle Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.2","Total net official development assistance to medical research and basic health sectors","1","DC_TOF_HLTHNT","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","419.95","484.75","510.13","620.06","614.3","709.75","635.91",2016.0,"635.91","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Net Disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"18","Southern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.b","Support the research and development of vaccines and medicines for the communicable and non-communicable diseases that primarily affect developing countries, provide access to affordable essential medicines and vaccines, in accordance with the Doha Declaration on the TRIPS Agreement and Public Health, which affirms the right of developing countries to use to the full the provisions in the Agreement on Trade-Related Aspects of Intellectual Property Rights regarding flexibilities to protect public health, and, in particular, provide access to medicines for all","3.b.2","Total net official development assistance to medical research and basic health sectors","1","DC_TOF_HLTHNT","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","45.88","118.62","89","162.37","48.06","102.16","130.97",2016.0,"130.97","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Net Disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
