"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Unitmultiplier_Code","Unitmultiplier_Desc","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value"
"MMR","96.51752295","21.19332882","104","Myanmar","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCML","Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","10.16171","15.51319","9.71991","20.5073","18.78371","31.71357","47.4864","61.36801","1120.56047","914.35918","2317.84384","598.84712",2016.0,"598.84712"
"BDI","29.89080992","-3.366387428","108","Burundi","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCML","Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","46.95981","82.5495","76.53459","79.16677","116.69333","182.08193","180.81443","124.58515","237.59117","248.43001","140.03213","90.1794",2016.0,"90.1794"
"BLR","28.04940161","53.54193075","112","Belarus","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCML","Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","0.50973","2.06951","12.05289","7.79604","17.24985","60.04895","4.44651","6.05892","6.85084","11.05148","5.11216","24.99643",2016.0,"24.99643"
"KHM","104.922836","12.71163737","116","Cambodia","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCML","Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","175.88252","191.17165","160.23282","247.48397","228.17085","413.84298","213.76111","261.2142","350.29689","617.75663","433.82415","494.59195",2016.0,"494.59195"
"DZA","2.678164227","28.15940032","12","Algeria","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCML","Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","90.82624","194.64601","148.01295","31.97472","11.80396","24.46459","32.12344","21.8972","19.32469","22.45474","5.78061","17.89892",2016.0,"17.89892"
"CMR","12.7419827","5.692387031","120","Cameroon","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCML","Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","113.35265","286.0403","296.10903","207.21833","322.35901","146.73456","374.37247","458.5589","150.88212","319.93319","134.90964","168.67163",2016.0,"168.67163"
"CPV","-23.63544151","15.07791834","132","Cabo Verde","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCML","Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","76.93457","23.25068","61.47614","95.15202","106.58503","59.99442","38.29687","86.39844","36.47689","55.12651","44.7667","13.91241",2016.0,"13.91241"
"CAF","20.93559492","7.003720791","140","Central African Republic","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCML","Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","31.287","111.31448","46.14559","4.89947","81.87571","16.59922","80.05529","123.24676","6.53108","8.89033","0.32018","9.46147",2016.0,"9.46147"
"LKA","80.70489654","7.614693343","144","Sri Lanka","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCML","Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","450.51325","301.69229","294.75887","457.04108","347.24938","301.73349","528.60813","547.738","454.73814","815.5633","416.18369","972.51546",2016.0,"972.51546"
"TCD","18.66618401","15.36279341","148","Chad","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCML","Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","92.96818","12.80005","61.07036","40.22252","90.28513","13.95165","159.03573","63.44349","52.51158","119.09528","117.78371","52.4834",2016.0,"52.4834"
