"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2005.0","Value_2010.0","Value_2015.0","Value_2016.0","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.a","Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime","16.a.1","Existence of independent national human rights institutions in compliance with the Paris Principles","1","SG_NHR_IMPL","Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","16.2000","27.9000","32.9000","35.5000","36.5000","38.1000",2017.0,"38.1000","Data nature not available","Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI)."
"2","Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.a","Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime","16.a.1","Existence of independent national human rights institutions in compliance with the Paris Principles","1","SG_NHR_IMPL","Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","",""
"5","South America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.a","Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime","16.a.1","Existence of independent national human rights institutions in compliance with the Paris Principles","1","SG_NHR_IMPL","Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","",""
"9","Oceania","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.a","Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime","16.a.1","Existence of independent national human rights institutions in compliance with the Paris Principles","1","SG_NHR_IMPL","Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","8.3333","8.3333","0.0000","0.0000","8.3333","8.3333",2017.0,"8.3333","Data nature not available","Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI)."
"11","Western Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.a","Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime","16.a.1","Existence of independent national human rights institutions in compliance with the Paris Principles","1","SG_NHR_IMPL","Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","",""
"13","Central America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.a","Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime","16.a.1","Existence of independent national human rights institutions in compliance with the Paris Principles","1","SG_NHR_IMPL","Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","",""
"14","Eastern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.a","Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime","16.a.1","Existence of independent national human rights institutions in compliance with the Paris Principles","1","SG_NHR_IMPL","Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","",""
"15","Northern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.a","Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime","16.a.1","Existence of independent national human rights institutions in compliance with the Paris Principles","1","SG_NHR_IMPL","Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","",""
"17","Middle Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.a","Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime","16.a.1","Existence of independent national human rights institutions in compliance with the Paris Principles","1","SG_NHR_IMPL","Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","",""
"18","Southern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.a","Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime","16.a.1","Existence of independent national human rights institutions in compliance with the Paris Principles","1","SG_NHR_IMPL","Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","",""
