series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Sex	Units	Age description	Sex description	Units description	2011	2014	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	4	66.02688198	33.83160199	AFG	Afghanistan	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage	15.42	15.78	22.54	19.16	2017	22.54	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	4	66.02688198	33.83160199	AFG	Afghanistan	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage	2.62	3.81	7.16	5.485	2017	7.16	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	4	66.02688198	33.83160199	AFG	Afghanistan	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage	9.01	9.96	14.89	12.425	2017	14.89	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	8	20.06660928	41.13897007	ALB	Albania	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage	33.66	42.52	42.04	42.28	2017	42.04	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	8	20.06660928	41.13897007	ALB	Albania	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage	22.67	33.59	38.1	35.845	2017	38.1	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	8	20.06660928	41.13897007	ALB	Albania	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage	28.27	37.99	40.02	39.005	2017	40.02	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	10	21.47585697	-80.40897662	ATA	Antarctica	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	10	21.47585697	-80.40897662	ATA	Antarctica	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	10	21.47585697	-80.40897662	ATA	Antarctica	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage								
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	12	2.678164227	28.15940032	DZA	Algeria	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage	46.13	60.91	56.25	58.58	2017	56.25	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	12	2.678164227	28.15940032	DZA	Algeria	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage	20.41	40.07	29.27	34.67	2017	29.27	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	12	2.678164227	28.15940032	DZA	Algeria	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage	33.29	50.48	42.78	46.63	2017	42.78	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage								
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	20	1.576257417	42.54548611	AND	Andorra	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	20	1.576257417	42.54548611	AND	Andorra	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	20	1.576257417	42.54548611	AND	Andorra	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage								
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	24	17.57817062	-12.33724746	AGO	Angola	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage	39.48	36.13		36.13	2014	36.13	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	24	17.57817062	-12.33724746	AGO	Angola	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage	38.93	22.33		22.33	2014	22.33	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	24	17.57817062	-12.33724746	AGO	Angola	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage	39.2	29.32		29.32	2014	29.32	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage								
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage	15.62	32.61	29.44	31.025	2017	29.44	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	31	50.01064725	40.39229544	AZE	Azerbaijan	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage	14.26	25.9	27.72	26.81	2017	27.72	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	31	50.01064725	40.39229544	AZE	Azerbaijan	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage	14.9	29.15	28.57	28.86	2017	28.57	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	32	-65.14563274	-35.19446255	ARG	Argentina	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage	34.61	49.46	46.47	47.965	2017	46.47	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	32	-65.14563274	-35.19446255	ARG	Argentina	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage	31.82	50.85	50.76	50.805	2017	50.76	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	32	-65.14563274	-35.19446255	ARG	Argentina	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage	33.13	50.2	48.71	49.455	2017	48.71	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	36	134.3499412	-25.57717202	AUS	Australia	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage	99.59	98.67	99.85	99.26	2017	99.85	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	36	134.3499412	-25.57717202	AUS	Australia	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage	98.59	99.04	99.2	99.12	2017	99.2	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	36	134.3499412	-25.57717202	AUS	Australia	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage	99.06	98.86	99.52	99.19	2017	99.52	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	40	14.14172472	47.58704857	AUT	Austria	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage	97.74	96.06	97.93	96.995	2017	97.93	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	40	14.14172472	47.58704857	AUT	Austria	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage	96.56	97.37	98.38	97.875	2017	98.38	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	40	14.14172472	47.58704857	AUT	Austria	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage	97.08	96.73	98.16	97.445	2017	98.16	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	44	-78.05111663	24.69546597	BHS	Bahamas	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	44	-78.05111663	24.69546597	BHS	Bahamas	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	44	-78.05111663	24.69546597	BHS	Bahamas	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage								
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	48	50.5490754	26.04407747	BHR	Bahrain	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage	78.98	90.25	86.31	88.28	2017	86.31	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	48	50.5490754	26.04407747	BHR	Bahrain	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage	48.78	66.74	75.41	71.075	2017	75.41	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	48	50.5490754	26.04407747	BHR	Bahrain	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage	64.51	81.94	82.61	82.275	2017	82.61	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	50	89.17660788	22.86961622	BGD	Bangladesh	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage	37.29	35.37	64.59	49.98	2017	64.59	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	50	89.17660788	22.86961622	BGD	Bangladesh	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage	26.01	26.45	35.84	31.145	2017	35.84	Global Financial Inclusion Database, World Bank.	G
2018.Q2.G.01	FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)	50	89.17660788	22.86961622	BGD	Bangladesh	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage	31.74	30.99	50.05	40.52	2017	50.05	Global Financial Inclusion Database, World Bank.	G
