"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","EducationLevel_Code","EducationLevel_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2001","Footnotes_2002","Footnotes_2003","Footnotes_2004","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Footnotes_2017","Nature_Code_2000","Nature_Code_2001","Nature_Code_2002","Nature_Code_2003","Nature_Code_2004","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Nature_Code_2017","Source_2000","Source_2001","Source_2002","Source_2003","Source_2004","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","Source_2017","TimeDetail_2000","TimeDetail_2001","TimeDetail_2002","TimeDetail_2003","TimeDetail_2004","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","TimeDetail_2017","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value"
"MMR","96.51752295","21.19332882","104","Myanmar","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PREPRI","Pre-primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","C","","","C","C","","","","","","","","","","","","","","UNESCO Institute for Statistics","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.71591","","","2.7294","1.0403","","","","","","","",2010.0,"1.0403"
"MMR","96.51752295","21.19332882","104","Myanmar","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","C","","C","C","C","","","","","","","C","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","1","0.99999","1.00001","1.00002","1.00015","0.93905","0.99998","","0.99045","1.00001","1","","","","","","","1.00213",2017.0,"1.00213"
"MMR","96.51752295","21.19332882","104","Myanmar","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","SECOND","Secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","0.94853","0.9793","0.96205","0.98198","1.23451","1.00004","0.99585","0.97545","0.99353","1.06648","0.99904","","","","","","","",2010.0,"0.99904"
"BDI","29.89080992","-3.366387428","108","Burundi","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PREPRI","Pre-primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","C","C","","C","C","C","","","","","","UNESCO Institute for Statistics","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","2.77551","","","","","","","3.40541","2.13969","","2.03787","1","1","",2016.0,"1"
"BDI","29.89080992","-3.366387428","108","Burundi","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","C","","C","","C","","","C","","C","C","C","","","","","","","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","","","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","1.0907","","1.16048","","1.07256","","","1.03775","","1.06105","1","1","",2016.0,"1"
"BDI","29.89080992","-3.366387428","108","Burundi","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","SECOND","Secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","C","C","","C","C","C","","","","","UNESCO Institute for Statistics","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","0.72658","","","","","","","","0.68582","0.99675","","0.83819","1","1","",2016.0,"1"
"BLR","28.04940161","53.54193075","112","Belarus","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PREPRI","Pre-primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","C","","C","C","C","C","C","C","C","C","C","C","C","C","C","","","","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","3.09638","","0.72959","0.99565","0.99992","1.0008","0.99491","4.53131","0.91764","1.49138","0.93393","0.95939","1.09502","1.05926","1.06299","",2016.0,"1.06299"
"BLR","28.04940161","53.54193075","112","Belarus","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","","C","","","C","C","C","C","C","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","1.00354","1.0024","1.00445","0.99796","0.99627","0.99809","","0.99865","","","0.99642","0.99626","1.00414","1.00276","1.00303","",2016.0,"1.00303"
"BLR","28.04940161","53.54193075","112","Belarus","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","SECOND","Secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","C","C","C","","","","","","","","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02191","1.01893","1.01773","1.01532","",2016.0,"1.01532"
"KHM","104.922836","12.71163737","116","Cambodia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PREPRI","Pre-primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","C","C","C","C","","","","","","","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","",2016.0,"1"
"KHM","104.922836","12.71163737","116","Cambodia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","C","C","C","C","","","","","","","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","",2016.0,"1"
"KHM","104.922836","12.71163737","116","Cambodia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","SECOND","Secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","E","","","","","","","","","","","","","","","","","","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00442","","","","","","","","","","","","","","","",2002.0,"1.00442"
"CMR","12.7419827","5.692387031","120","Cameroon","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PREPRI","Pre-primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","C","C","","","C","C","C","","","C","C","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","0.94733","1.12847","","","1.47772","1.18222","1.04836","","","1.14958","1.25819","",2016.0,"1.25819"
"CMR","12.7419827","5.692387031","120","Cameroon","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","C","C","C","C","","","","C","C","C","","","C","C","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","1.06116","1.00139","1.14963","1.15978","","","","1.12996","1.14021","0.99074","","","2.60755","1.13806","",2016.0,"1.13806"
"CMR","12.7419827","5.692387031","120","Cameroon","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","SECOND","Secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","C","C","C","","","","","","","","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.33996","1.28655","1.32203","1.31292","",2016.0,"1.31292"
"CYM","-81.16740559","19.32266656","136","Cayman Islands","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PREPRI","Pre-primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","C","","","","","","","","UNESCO Institute for Statistics","","","","","","","","","","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","0.96552","","","","","","","","","","0.74603","","","","","",2012.0,"0.74603"
"CYM","-81.16740559","19.32266656","136","Cayman Islands","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","C","C","","C","C","C","C","C","","","C","C","C","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","1.14257","1.02424","1.01695","","1.02128","0.98661","1.0372","1.01818","1.11752","","","0.96271","1.0329","0.92605","","","","",2013.0,"0.92605"
"CYM","-81.16740559","19.32266656","136","Cayman Islands","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","SECOND","Secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","E","","","E","E","C","","C","","","C","C","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1.00909","1.00769","1.00763","","1.04511","","","0.99432","1.00771","","","","","",2012.0,"1.00771"
"TCD","18.66618401","15.36279341","148","Chad","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PREPRI","Pre-primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","C","","C","","","","","","","","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1597","0.93565","","1.0935","","","","",2013.0,"1.0935"
"TCD","18.66618401","15.36279341","148","Chad","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TCD","18.66618401","15.36279341","148","Chad","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","SECOND","Secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COL","-73.07446751","3.888209046","170","Colombia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PREPRI","Pre-primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","C","C","","","","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1.04315","1.05094","","","",2014.0,"1.05094"
"COL","-73.07446751","3.888209046","170","Colombia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","C","C","","C","","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1.01701","1.02191","","1.04634","",2016.0,"1.04634"
"COL","-73.07446751","3.888209046","170","Colombia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","SECOND","Secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","C","","C","C","C","C","C","C","C","C","","","","","","","","","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02067","","1.02057","1.02066","1.00797","1.01266","1.0056","1.00546","1.01243","1.01195","",2016.0,"1.01195"
"COG","15.22052612","-0.840544119","178","Congo","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PREPRI","Pre-primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","","C","","","","","","","","","","","","","","","","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05097","","0.91418","","","","","",2012.0,"0.91418"
"COG","15.22052612","-0.840544119","178","Congo","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","","","C","C","","C","","","","C","C","C","","","","","","UNESCO Institute for Statistics","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","1.20968","","","1.51157","1.18727","","1.13004","","","","1.10417","1.22718","1.21796","","","","","",2012.0,"1.21796"
