"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBSVR","Developing countries’ and least developed countries’ share of global services exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00",2016.0,"100.00","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Estimate based on BPM5. "
"2","Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBSVR","Developing countries’ and least developed countries’ share of global services exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","2.18","2.24","2.24","2.40","2.40","2.32","2.33","2.30","2.32","2.39","2.43","2.23","2.31","2.09","2.05","2.09","1.96",2016.0,"1.96","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","[2000-2004]: Estimate based on BPM5. Excluding Mayotte, Réunion. // [2005-2016]: Excluding Mayotte, Réunion."
"5","South America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBSVR","Developing countries’ and least developed countries’ share of global services exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.66","1.63","1.43","1.38","1.36","1.48","1.54","1.59","1.72","1.75","1.84","1.92","1.94","1.83","1.71","1.66","1.62",2016.0,"1.62","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Estimate based on BPM5. "
"9","Oceania","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBSVR","Developing countries’ and least developed countries’ share of global services exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.64","1.53","1.64","1.73","1.70","1.65","1.53","1.55","1.45","1.48","1.57","1.59","1.57","1.47","1.41","1.39","1.48",2016.0,"1.48","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Estimate based on BPM5. "
"11","Western Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBSVR","Developing countries’ and least developed countries’ share of global services exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.26","0.26","0.31","0.34","0.30","0.23","0.24","0.22","0.23","0.24","0.24","0.25","0.25","0.22","0.20","0.30","0.32",2016.0,"0.32","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Estimate based on BPM5. "
"13","Central America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBSVR","Developing countries’ and least developed countries’ share of global services exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.38","1.32","1.27","1.12","1.02","1.04","0.98","0.89","0.86","0.86","0.86","0.84","0.88","0.96","0.94","1.07","1.12",2016.0,"1.12","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Estimate based on BPM5. "
"14","Eastern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBSVR","Developing countries’ and least developed countries’ share of global services exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.34","0.38","0.35","0.33","0.33","0.34","0.35","0.35","0.36","0.37","0.40","0.42","0.48","0.47","0.44","0.46","0.43",2016.0,"0.43","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","[2000-2004]: Estimate based on BPM5. Excluding Mayotte, Réunion, South Sudan. // [2005-2011]: Excluding Mayotte, Réunion, South Sudan. // [2012-2016]: Excluding Mayotte, Réunion."
"15","Northern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBSVR","Developing countries’ and least developed countries’ share of global services exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.10","1.12","1.12","1.14","1.17","1.17","1.17","1.18","1.25","1.26","1.23","1.00","1.04","0.88","0.92","0.87","0.79",2016.0,"0.79","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","[2000-2004]: Estimate based on BPM5. Including South Sudan.  // [2005-2011]: Including South Sudan. "
"17","Middle Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBSVR","Developing countries’ and least developed countries’ share of global services exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.09","0.10","0.10","0.08","0.10","0.08","0.08","0.08","0.09","0.10","0.10","0.11","0.09","0.11","0.12","0.10","0.09",2016.0,"0.09","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Estimate based on BPM5. "
"18","Southern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBSVR","Developing countries’ and least developed countries’ share of global services exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.38","0.37","0.36","0.51","0.50","0.50","0.49","0.47","0.39","0.42","0.46","0.45","0.45","0.40","0.38","0.36","0.34",2016.0,"0.34","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Estimate based on BPM5. "
"19","Americas","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBSVR","Developing countries’ and least developed countries’ share of global services exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","25.08","24.10","22.99","20.77","19.79","19.78","19.56","18.94","18.48","19.60","19.81","19.71","20.09","19.99","19.54","20.61","20.61",2016.0,"20.61","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","[2000-2004]: Estimate based on BPM5. Excluding Guadeloupe, Martinique. // [2005-2016]: Excluding Guadeloupe, Martinique."
