series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Type of speed	Units description	Type of speed description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	NUMBER	ANYS	Number	any speed																						
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	NUMBER	10MBPS	Number	10 mbps and over																						
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps																						
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps																						
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	20	1.576257417	42.54548611	AND	Andorra	1	NUMBER	ANYS	Number	any speed			1148	3601	6282	10341	14616	18526	20672	22941	24502	25763	26905	27734	28770	30694	32490	29318.6	2016	32490	Andorra Telecom SAU	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	20	1.576257417	42.54548611	AND	Andorra	2	NUMBER	10MBPS	Number	10 mbps and over										5039	11238	17426	21667	25543	28622	30694	32490	27803.2	2016	32490	Andorra Telecom SAU	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	20	1.576257417	42.54548611	AND	Andorra	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps										13608	10565	6599	4203	1179	116		0	1374.5	2016	0	Andorra Telecom SAU	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	20	1.576257417	42.54548611	AND	Andorra	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps										4294	2699	1738	1035	412	32		0	369.75	2016	0	Andorra Telecom SAU	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	24	17.57817062	-12.33724746	AGO	Angola	1	NUMBER	ANYS	Number	any speed							7458	11700	15942	15000	15000	15817	20512	22282	67750	153571	123135	77450	2016	123135	Angolan Institute of Communications	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	24	17.57817062	-12.33724746	AGO	Angola	2	NUMBER	10MBPS	Number	10 mbps and over												4	6	9	1281	3206	6889	2278.2	2016	6889	Angolan Institute of Communications	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	24	17.57817062	-12.33724746	AGO	Angola	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps												8350	10780	14830	30825	13160	15569	17032.8	2016	15569	Angolan Institute of Communications	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	24	17.57817062	-12.33724746	AGO	Angola	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps												2147	2902	4001	6765	27294	43162	16824.8	2016	43162	Angolan Institute of Communications	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	NUMBER	ANYS	Number	any speed					1662	5801	1541	2266	4986	16014	7119	6000	13070	15647	10754	12000	9261	12146.4	2016	9261	Ministry of Information, Broadcasting, Telecommunications and Information Technology	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	NUMBER	10MBPS	Number	10 mbps and over													5	5				5	2013	5	Telecoms Divison/Ministry of Information, Broadcasting, Telecommunications, & Information Technology	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps													4005	3094	6923		3655	4419.25	2016	3655	Ministry of Information, Broadcasting, Telecommunications and Information Technology	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps													220	1051	3831		0	1275.5	2016	0	Ministry of Information, Broadcasting, Telecommunications and Information Technology	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	NUMBER	ANYS	Number	any speed			1000			2184	3955	14600	60000	1e+05	475295	973869	1369594	1712177	1898070	1899456	1803662	1736591.8	2016	1803662	Ministry of Transport, Communications and High Technologies (MTC&HT) 	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	2	NUMBER	10MBPS	Number	10 mbps and over									12000	2000	13064	28353	40237	98247	142828	153856	144293	115892.2	2016	144293	Ministry of Transport, Communications and High Technologies (MTC&HT) 	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps									55800	93000	423200	869468	1072958	1001082	1056471	1016209	973977	1024139.4	2016	973977	Ministry of Transport, Communications and High Technologies (MTC&HT) 	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps									3000	5000	23736	100514	167340	504029	698771	729391	685392	556984.6	2016	685392	Ministry of Transport, Communications and High Technologies (MTC&HT) 	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	NUMBER	ANYS	Number	any speed		94000	148000	258849	542879	926722	1583713	2600000	3114741	3511026	4028238	4572023	5148583	6251020	6509458	6855837	7232053	6399390.2	2016	7232053	Ente Nacional de Comunicaciones	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	32	-65.14563274	-35.19446255	ARG	Argentina	2	NUMBER	10MBPS	Number	10 mbps and over															520750	575890	1244367	780335.666666667	2016	1244367	Ente Nacional de Comunicaciones	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	32	-65.14563274	-35.19446255	ARG	Argentina	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps															601142	623882	235810	486944.666666667	2016	235810	Ente Nacional de Comunicaciones	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	32	-65.14563274	-35.19446255	ARG	Argentina	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps															5387566	5656055	5664319	5569313.33333333	2016	5664319	Ente Nacional de Comunicaciones	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	36	134.3499412	-25.57717202	AUS	Australia	1	NUMBER	ANYS	Number	any speed		122800	258100	516800	1012000	2016000	3900000		5315000	5221000	5510000	5552000	5735000	5981000	6536000	6828000	7374000	6490800	2016	7374000	Department of Communications and the Arts	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	36	134.3499412	-25.57717202	AUS	Australia	2	NUMBER	10MBPS	Number	10 mbps and over										2476000	4431000	5199000	7051000	7722000	9052000	10201000	11211000	9047400	2016	11211000	Department of Communications and the Arts	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	36	134.3499412	-25.57717202	AUS	Australia	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps										2381000	1240000	808000	609000	332000	175000	118000	92000	265200	2016	92000	Department of Communications and the Arts	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	36	134.3499412	-25.57717202	AUS	Australia	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps										3188000	4067000	5115000	4213000	4159000	3305000	2183000	2158000	3203600	2016	2158000	Department of Communications and the Arts	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	40	14.14172472	47.58704857	AUT	Austria	1	NUMBER	ANYS	Number	any speed	190500	320600	451000	601000	870000	1174000	1432000	1622000	1729000	1878524	2050400	2097700	2130200	2232500	2359000	2455500	2523300	2340100	2016	2523300	Austrian Regulatory Authority for Broadcasting and Telecommunications	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	40	14.14172472	47.58704857	AUT	Austria	2	NUMBER	10MBPS	Number	10 mbps and over												759000	855000	985000	1139100	1312000	1423300	1142880	2016	1423300	Austrian Regulatory Authority for Broadcasting and Telecommunications	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	40	14.14172472	47.58704857	AUT	Austria	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps												26000	20000	13000	10500	180700	163000	77440	2016	163000	Austrian Regulatory Authority for Broadcasting and Telecommunications	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	40	14.14172472	47.58704857	AUT	Austria	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps												1316000	1296000	1217000	1209400	962800	937000	1124440	2016	937000	Austrian Regulatory Authority for Broadcasting and Telecommunications	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	44	-78.05111663	24.69546597	BHS	Bahamas	1	NUMBER	ANYS	Number	any speed		4139	7540	10941	12803	13382	16591	20500	25500	31589	24702	15496			77168	81018	83759	80648.3333333333	2016	83759	Utilities Regulation and Competition Authority	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	44	-78.05111663	24.69546597	BHS	Bahamas	2	NUMBER	10MBPS	Number	10 mbps and over																52521	63798	58159.5	2016	63798	Utilities Regulation and Competition Authority	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	44	-78.05111663	24.69546597	BHS	Bahamas	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps																						
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	44	-78.05111663	24.69546597	BHS	Bahamas	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps																17049	21330	19189.5	2016	21330	Utilities Regulation and Competition Authority	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	48	50.5490754	26.04407747	BHR	Bahrain	1	NUMBER	ANYS	Number	any speed		1176	4980	9737	14956	21432	38628	68253	93618	139513	154912	291521	295387	300056	287572	253041	232210	273653.2	2016	232210	Telecommunications Regulatory Authority 	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	48	50.5490754	26.04407747	BHR	Bahrain	2	NUMBER	10MBPS	Number	10 mbps and over													7040	17128		77784	111359	53327.75	2016	111359	Telecommunications Regulatory Authority 	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	48	50.5490754	26.04407747	BHR	Bahrain	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps													98897	76342		36084	28501	59956	2016	28501	Telecommunications Regulatory Authority 	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	48	50.5490754	26.04407747	BHR	Bahrain	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps													68031	81772		139173	92350	95331.5	2016	92350	Telecommunications Regulatory Authority 	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	50	89.17660788	22.86961622	BGD	Bangladesh	1	NUMBER	ANYS	Number	any speed								43710	50000	316699	414569	468500	600461	1525325	3093171	4892940	6592396	3340858.6	2016	6592396	Bangladesh Telecommunication Regulatory Commission	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	50	89.17660788	22.86961622	BGD	Bangladesh	2	NUMBER	10MBPS	Number	10 mbps and over										100	120	150	814	25000	60000	562833	761660	282061.4	2016	761660	Bangladesh Telecommunication Regulatory Commission	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	50	89.17660788	22.86961622	BGD	Bangladesh	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps										315599	412999	468000	532722	1215443	1517500	3057307	1738963	1612387	2016	1738963	Bangladesh Telecommunication Regulatory Commission	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	50	89.17660788	22.86961622	BGD	Bangladesh	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps										1000	1450	1900	5433	30500	80500	1272750	4091773	1096191.2	2016	4091773	Bangladesh Telecommunication Regulatory Commission	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	51	44.93839317	40.29499741	ARM	Armenia	1	NUMBER	ANYS	Number	any speed		6	8	10	1000	1990		3900	13799	39888	93586	160573	212053	243058	272885	286319	299170	262697	2016	299170	Ministry of Transport, Communication and Information Technologies of Armenia	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	51	44.93839317	40.29499741	ARM	Armenia	2	NUMBER	10MBPS	Number	10 mbps and over												530	14379	26349	45828	95887	118039	60096.4	2016	118039	Ministry of Transport, Communication and Information Technologies of Armenia	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	51	44.93839317	40.29499741	ARM	Armenia	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps												122785	138792	95406	84024	3341	5219	65356.4	2016	5219	Ministry of Transport, Communication and Information Technologies of Armenia	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	51	44.93839317	40.29499741	ARM	Armenia	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps												34348	53582	112665	143033	187091	175912	134456.6	2016	175912	Ministry of Transport, Communication and Information Technologies of Armenia	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	52	-59.5346489	13.13648273	BRB	Barbados	1	NUMBER	ANYS	Number	any speed				27319	29630	31942	38800	47133	49216	57305	56190	62634	66884	67798	77730	78269	92440	76624.2	2016	92440	Division of Energy & Telecommunications                	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	52	-59.5346489	13.13648273	BRB	Barbados	2	NUMBER	10MBPS	Number	10 mbps and over															2117		23915	13016	2016	23915	Division of Energy & Telecommunications                	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	52	-59.5346489	13.13648273	BRB	Barbados	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps												59796	58477	58006	133		105	29180.25	2016	105	Division of Energy & Telecommunications                	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	52	-59.5346489	13.13648273	BRB	Barbados	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps															50480		20643	35561.5	2016	20643	Division of Energy & Telecommunications                	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	56	4.660976456	50.64104975	BEL	Belgium	1	NUMBER	ANYS	Number	any speed	144215	460011	815418	1242928	1619944	2010584	2451585	2729624	2982500	3153262	3373143	3543759	3692009	3828918	4011201	4121049	4270309	3984697.2	2016	4270309	Belgian Institute for Postal Services and Telecommunications 	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	56	4.660976456	50.64104975	BEL	Belgium	2	NUMBER	10MBPS	Number	10 mbps and over								741843	1111104	1248986	1935468	2507026	2903710	3207379	3500194	3719242	3918350	3449775	2016	3918350	Belgian Institute for Postal Services and Telecommunications 	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	56	4.660976456	50.64104975	BEL	Belgium	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps								286009	228825	211814	70270	43875	39894	29993	26608	19945	12496	25787.2	2016	12496	Belgian Institute for Postal Services and Telecommunications 	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	56	4.660976456	50.64104975	BEL	Belgium	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps								1450516	1498235	1582576	1367367	977938	735592	582021	484399	381862	339463	504667.4	2016	339463	Belgian Institute for Postal Services and Telecommunications 	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	60	-64.78155012	32.27881922	BMU	Bermuda	1	NUMBER	ANYS	Number	any speed						18487	23643	28799	33955	40000	40100			40100	34731	30000		34943.6666666667	2015	30000	ITU estimate.	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	60	-64.78155012	32.27881922	BMU	Bermuda	2	NUMBER	10MBPS	Number	10 mbps and over																						
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	60	-64.78155012	32.27881922	BMU	Bermuda	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps																						
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	60	-64.78155012	32.27881922	BMU	Bermuda	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps																						
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	64	90.45098484	27.39598568	BTN	Bhutan	1	NUMBER	ANYS	Number	any speed									2060	3378	8675	13233	16766	20481	24979	27874	16489	21317.8	2016	16489	Ministry of Information & Communications	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	64	90.45098484	27.39598568	BTN	Bhutan	2	NUMBER	10MBPS	Number	10 mbps and over																6	8	7	2016	8	Ministry of Information & Communications	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	64	90.45098484	27.39598568	BTN	Bhutan	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps										3378	8675	13233	16766	20481	24979	27780	16284	21258	2016	16284	Ministry of Information & Communications	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	64	90.45098484	27.39598568	BTN	Bhutan	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps																78	94	86	2016	94	Ministry of Information & Communications	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	NUMBER	ANYS	Number	any speed			3330	5740	8723	12973	17589	33977	79314	96134	95948	73542	116708	154098	172783	180951	287589	182425.8	2016	287589	Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	2	NUMBER	10MBPS	Number	10 mbps and over															15696	19147	39077	24640	2016	39077	Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps													106649	136548	149284	152285	169903	142933.8	2016	169903	Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps													3951	5208	7803	9518	78609	21017.8	2016	78609	Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	NUMBER	ANYS	Number	any speed	27	68	213	1500	6637	13702	40000	84691	188460	292113	390902	430247	469397	516104	542405	634987	662468	565072.2	2016	662468	Communications Regulatory Agency B & H	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	2	NUMBER	10MBPS	Number	10 mbps and over											5000	7298	8054	71925	93970	122666	195585	98440	2016	195585	Communications Regulatory Agency B & H	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps											267092	131531	100404	83870	47212	32114	31839	59087.8	2016	31839	Communications Regulatory Agency B & H	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps											118810	225685	298318	294484	401223	480208	435044	381855.4	2016	435044	Communications Regulatory Agency B & H	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	72	23.81380223	-22.18810073	BWA	Botswana	1	NUMBER	ANYS	Number	any speed						1600	1800	3540	8900	10000	11978	19125	22236	21590	33290	36845	59057	34603.6	2016	59057	Botswana Communications Regulatory Authority (BOCRA)	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	72	23.81380223	-22.18810073	BWA	Botswana	2	NUMBER	10MBPS	Number	10 mbps and over																	132	132	2016	132	Botswana Communications Regulatory Authority (BOCRA)	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	72	23.81380223	-22.18810073	BWA	Botswana	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps															14523	12591	15839	14317.6666666667	2016	15839	Botswana Communications Regulatory Authority (BOCRA)	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	72	23.81380223	-22.18810073	BWA	Botswana	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps															1625	2624	6331	3526.66666666667	2016	6331	Botswana Communications Regulatory Authority (BOCRA)	
