"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2015.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.1"," Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)","2","SH_ACS_UNHC","Universal health coverage (UHC) service coverage index","2019.Q1.G.01","INDEX","Index","G","Global","64",2015.0,"64","Estimated data","Tracking universal health coverage: 2017 Global Monitoring Report. Geneva, WHO 2017. http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/"
"2","Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.1"," Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)","2","SH_ACS_UNHC","Universal health coverage (UHC) service coverage index","2019.Q1.G.01","INDEX","Index","G","Global","","","","",""
"5","South America","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.1"," Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)","2","SH_ACS_UNHC","Universal health coverage (UHC) service coverage index","2019.Q1.G.01","INDEX","Index","G","Global","","","","",""
"9","Oceania","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.1"," Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)","2","SH_ACS_UNHC","Universal health coverage (UHC) service coverage index","2019.Q1.G.01","INDEX","Index","G","Global","74",2015.0,"74","Estimated data","Tracking universal health coverage: 2017 Global Monitoring Report. Geneva, WHO 2017. http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/"
"11","Western Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.1"," Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)","2","SH_ACS_UNHC","Universal health coverage (UHC) service coverage index","2019.Q1.G.01","INDEX","Index","G","Global","","","","",""
"13","Central America","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.1"," Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)","2","SH_ACS_UNHC","Universal health coverage (UHC) service coverage index","2019.Q1.G.01","INDEX","Index","G","Global","","","","",""
"14","Eastern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.1"," Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)","2","SH_ACS_UNHC","Universal health coverage (UHC) service coverage index","2019.Q1.G.01","INDEX","Index","G","Global","","","","",""
"15","Northern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.1"," Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)","2","SH_ACS_UNHC","Universal health coverage (UHC) service coverage index","2019.Q1.G.01","INDEX","Index","G","Global","64",2015.0,"64","Estimated data","Tracking universal health coverage: 2017 Global Monitoring Report. Geneva, WHO 2017. http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/"
"17","Middle Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.1"," Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)","2","SH_ACS_UNHC","Universal health coverage (UHC) service coverage index","2019.Q1.G.01","INDEX","Index","G","Global","","","","",""
"18","Southern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.1"," Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)","2","SH_ACS_UNHC","Universal health coverage (UHC) service coverage index","2019.Q1.G.01","INDEX","Index","G","Global","","","","",""
