series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Sex	Units	Age description	Sex description	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage						7.59														2005	7.59	ILOSTAT - LFS - Labour force survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage						9.45														2005	9.45	ILOSTAT - LFS - Labour force survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage						8.47														2005	8.47	ILOSTAT - LFS - Labour force survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	4	15-24	BOTHSEX	PERCENT	15 to 24 years old	Both	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	5	25+	BOTHSEX	PERCENT	25 years old and over	Both	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	6	15-24	FEMALE	PERCENT	15 to 24 years old	Female	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	7	25+	FEMALE	PERCENT	25 years old and over	Female	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	8	15-24	MALE	PERCENT	15 to 24 years old	Male	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	9	25+	MALE	PERCENT	25 years old and over	Male	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	8	20.06660928	41.13897007	ALB	Albania	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage								14.4	12.49	12.15	12.8	13.62	14.48	17.53	19.16	17.07			17.92	2015	17.07	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	8	20.06660928	41.13897007	ALB	Albania	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								12.2	13.74	15.82	15.9	14.43	12.07	13.2	15.21	17.1			15.17	2015	17.1	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	8	20.06660928	41.13897007	ALB	Albania	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage								13.5	13.05	13.76	14.2	13.98	13.44	15.64	17.49	17.08			16.7366666666667	2015	17.08	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	8	20.06660928	41.13897007	ALB	Albania	4	15-24	BOTHSEX	PERCENT	15 to 24 years old	Both	Percentage										27.17				30.23	39.05	39.8			36.36	2015	39.8	ILOSTAT - LFS - Labour Force Survey	C
