"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.2","By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education","4.2.2","Participation rate in organized learning (one year before the official primary entry age), by sex","1","SE_PRE_PARTN","Participation rate in organized learning (one year before the official primary entry age), by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","BOTHSEX","Both sexes","","","","","","","","","","","","","","","","","","","","","",""
"4","Afghanistan","AFG","66.02688198","33.83160199","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.2","By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education","4.2.2","Participation rate in organized learning (one year before the official primary entry age), by sex","1","SE_PRE_PARTN","Participation rate in organized learning (one year before the official primary entry age), by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","",""
"4","Afghanistan","AFG","66.02688198","33.83160199","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.2","By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education","4.2.2","Participation rate in organized learning (one year before the official primary entry age), by sex","1","SE_PRE_PARTN","Participation rate in organized learning (one year before the official primary entry age), by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","MALE","Male","","","","","","","","","","","","","","","","","","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.2","By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education","4.2.2","Participation rate in organized learning (one year before the official primary entry age), by sex","1","SE_PRE_PARTN","Participation rate in organized learning (one year before the official primary entry age), by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","BOTHSEX","Both sexes","54.33683","56.85468","","63.96334","60.98277","","","","65.23252","72.4947","74.32148","78.93339","85.7894","","","89.48741","","",2015.0,"89.48741","Country data","UNESCO Institute for Statistics"
"8","Albania","ALB","20.06660928","41.13897007","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.2","By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education","4.2.2","Participation rate in organized learning (one year before the official primary entry age), by sex","1","SE_PRE_PARTN","Participation rate in organized learning (one year before the official primary entry age), by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","MALE","Male","","53.36702","","61.99768","60.15118","","","","65.80822","72.57646","75.35806","79.48127","86.5902","","","89.92201","","",2015.0,"89.92201","Country data","UNESCO Institute for Statistics"
"8","Albania","ALB","20.06660928","41.13897007","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.2","By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education","4.2.2","Participation rate in organized learning (one year before the official primary entry age), by sex","1","SE_PRE_PARTN","Participation rate in organized learning (one year before the official primary entry age), by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","60.57867","","66.08407","61.87942","","","","64.61083","72.40592","73.18656","78.32733","84.90566","","","89.01304","","",2015.0,"89.01304","Country data","UNESCO Institute for Statistics"
"10","Antarctica","ATA","21.47585697","-80.40897662","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.2","By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education","4.2.2","Participation rate in organized learning (one year before the official primary entry age), by sex","1","SE_PRE_PARTN","Participation rate in organized learning (one year before the official primary entry age), by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.2","By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education","4.2.2","Participation rate in organized learning (one year before the official primary entry age), by sex","1","SE_PRE_PARTN","Participation rate in organized learning (one year before the official primary entry age), by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","BOTHSEX","Both sexes","","","","","","","","","","","","","","","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.2","By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education","4.2.2","Participation rate in organized learning (one year before the official primary entry age), by sex","1","SE_PRE_PARTN","Participation rate in organized learning (one year before the official primary entry age), by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","MALE","Male","","","","","","","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.2","By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education","4.2.2","Participation rate in organized learning (one year before the official primary entry age), by sex","1","SE_PRE_PARTN","Participation rate in organized learning (one year before the official primary entry age), by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","BOTHSEX","Both sexes","","","","8.63972","11.26632","13.28957","33.94164","","43.31119","","88.74715","","","","","","","",2010.0,"88.74715","Country data","UNESCO Institute for Statistics"
"12","Algeria","DZA","2.678164227","28.15940032","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.2","By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education","4.2.2","Participation rate in organized learning (one year before the official primary entry age), by sex","1","SE_PRE_PARTN","Participation rate in organized learning (one year before the official primary entry age), by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","FEMALE","Female","","","","8.5725","11.31018","12.83344","33.77253","","42.06422","","86.32549","","","","","","","",2010.0,"86.32549","Country data","UNESCO Institute for Statistics"
"12","Algeria","DZA","2.678164227","28.15940032","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.2","By 2030, ensure that all girls and boys have access to quality early childhood development, care and pre-primary education so that they are ready for primary education","4.2.2","Participation rate in organized learning (one year before the official primary entry age), by sex","1","SE_PRE_PARTN","Participation rate in organized learning (one year before the official primary entry age), by sex (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","MALE","Male","","","","8.70416","11.2243","13.7265","34.1037","","44.50722","","91.07299","","","","","","","",2010.0,"91.07299","Country data","UNESCO Institute for Statistics"
