"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2018","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"4","Afghanistan","AFG","66.02688198","33.83160199","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.2","Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","1","SG_INF_ACCSS","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","2019.Q1.G.01","NUMBER","Number","G","Global","2014",2018.0,"2014","Estimated data","UNESCO World Trends in Freedom of Expression  and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article19","Observation value is the year of adoption of FOI law/policy' in a given country. Reference year represents the year of reporting."
"8","Albania","ALB","20.06660928","41.13897007","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.2","Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","1","SG_INF_ACCSS","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","2019.Q1.G.01","NUMBER","Number","G","Global","1999",2018.0,"1999","Estimated data","UNESCO World Trends in Freedom of Expression  and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article20","Observation value is the year of adoption of FOI law/policy' in a given country. Reference year represents the year of reporting."
"10","Antarctica","ATA","21.47585697","-80.40897662","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.2","Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","1","SG_INF_ACCSS","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.2","Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","1","SG_INF_ACCSS","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.2","Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","1","SG_INF_ACCSS","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.2","Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","1","SG_INF_ACCSS","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.2","Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","1","SG_INF_ACCSS","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","2019.Q1.G.01","NUMBER","Number","G","Global","2002",2018.0,"2002","Estimated data","UNESCO World Trends in Freedom of Expression  and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article21","Observation value is the year of adoption of FOI law/policy' in a given country. Reference year represents the year of reporting."
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.2","Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","1","SG_INF_ACCSS","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","2019.Q1.G.01","NUMBER","Number","G","Global","2004",2018.0,"2004","Estimated data","UNESCO World Trends in Freedom of Expression  and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article22","Observation value is the year of adoption of FOI law/policy' in a given country. Reference year represents the year of reporting."
"31","Azerbaijan","AZE","50.01064725","40.39229544","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.2","Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","1","SG_INF_ACCSS","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","2019.Q1.G.01","NUMBER","Number","G","Global","2005",2018.0,"2005","Estimated data","UNESCO World Trends in Freedom of Expression  and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article27","Observation value is the year of adoption of FOI law/policy' in a given country. Reference year represents the year of reporting."
"32","Argentina","ARG","-65.14563274","-35.19446255","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.2","Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","1","SG_INF_ACCSS","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","2019.Q1.G.01","NUMBER","Number","G","Global","2017",2018.0,"2017","Estimated data","UNESCO World Trends in Freedom of Expression  and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article23","Observation value is the year of adoption of FOI law/policy' in a given country. Reference year represents the year of reporting."
