series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Bounds	Units description	Bounds description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	271	271	270	270	270	270	270	270	270	270	270	270	270	270	270	270	270	270	2016	270	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	4	66.02688198	33.83160199	AFG	Afghanistan	2	PER_100000_POP	MP	Per 100,000 population	P	190	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	2016	189	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	4	66.02688198	33.83160199	AFG	Afghanistan	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	123	123	122	122	122	122	122	122	122	123	123	123	122	122	122	122	122	122	2016	122	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	8	20.06660928	41.13897007	ALB	Albania	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	26	24	25	24	23	22	20	19	19	20	19	19	19	22	19	19	19	19.6	2016	19	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	8	20.06660928	41.13897007	ALB	Albania	2	PER_100000_POP	MP	Per 100,000 population	P	22	20	22	21	20	19	18	17	16	17	17	17	16	19	16	16	16	16.6	2016	16	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	8	20.06660928	41.13897007	ALB	Albania	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	19	17	19	18	17	16	15	14	14	15	14	14	14	16	14	14	14	14.4	2016	14	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PER_100000_POP	UB	Per 100,000 population	Upper bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	10	21.47585697	-80.40897662	ATA	Antarctica	2	PER_100000_POP	MP	Per 100,000 population	P																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	10	21.47585697	-80.40897662	ATA	Antarctica	3	PER_100000_POP	LB	Per 100,000 population	Lower bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	12	2.678164227	28.15940032	DZA	Algeria	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	94	91	94	96	96	101	99	99	93	97	98	92	92	85	91	94	89	90.2	2016	89	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	12	2.678164227	28.15940032	DZA	Algeria	2	PER_100000_POP	MP	Per 100,000 population	P	74	72	74	76	76	80	78	78	74	76	77	73	73	67	72	74	70	71.2	2016	70	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	12	2.678164227	28.15940032	DZA	Algeria	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	57	55	57	58	58	61	60	60	57	59	59	56	56	52	55	57	54	54.8	2016	54	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	6.9	6.9	4.5	6.7	11	13	9.1	6.9	7	9.5	9.6	7.2	7.8	8.4	9	9.6	9.7	8.9	2016	9.7	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	PER_100000_POP	MP	Per 100,000 population	P	6	5.9	3.9	5.8	9.7	12	7.8	6	6	8.2	8.3	6.2	6.7	7.3	7.8	8.3	8.4	7.7	2016	8.4	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	5.1	5.1	3.4	5	8.3	10	6.7	5.1	5.2	7	7.1	5.3	5.8	6.2	6.6	7.1	7.2	6.58	2016	7.2	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	20	1.576257417	42.54548611	AND	Andorra	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	24	20	9.5	20	12	17	20	8	6.3	13	11	4.8	15	8.2	10	6.8	6.9	9.38	2016	6.9	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	20	1.576257417	42.54548611	AND	Andorra	2	PER_100000_POP	MP	Per 100,000 population	P	21	17	8.2	17	11	15	17	7	5.5	11	9.5	4.1	13	7.1	8.7	5.9	6	8.14	2016	6	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	20	1.576257417	42.54548611	AND	Andorra	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	18	15	7	15	9	12	15	6	4.7	9.3	8.2	3.5	11	6.1	7.5	5	5.1	6.94	2016	5.1	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	24	17.57817062	-12.33724746	AGO	Angola	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	424	440	458	478	500	526	487	542	545	549	549	546	543	537	529	529	543	536.2	2016	543	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	24	17.57817062	-12.33724746	AGO	Angola	2	PER_100000_POP	MP	Per 100,000 population	P	297	308	320	334	350	368	377	379	382	385	384	383	380	376	370	370	370	373.2	2016	370	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	24	17.57817062	-12.33724746	AGO	Angola	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	192	199	207	216	227	238	281	245	247	249	249	248	246	243	240	240	230	239.8	2016	230	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	6.4	1.6	6.2	1.5	6	8.9	5.9	2.9	1.4	4.3	9.8	8.3	4.1	14	4	5.8	3.9	6.36	2016	3.9	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	PER_100000_POP	MP	Per 100,000 population	P	5.5	1.4	5.3	1.3	5.2	7.7	5.1	2.5	1.2	3.7	8.5	7.2	3.6	12	3.5	5	3.4	5.5	2016	3.4	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	4.7	1.2	4.6	1.1	4.4	6.6	4.4	2.2	1.1	3.2	7.3	6.2	3.1	10	3	4.3	2.9	4.66	2016	2.9	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	101	94	98	73	101	112	105	100	137	168	132	158	109	99	96	90	84	95.6	2016	84	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	31	50.01064725	40.39229544	AZE	Azerbaijan	2	PER_100000_POP	MP	Per 100,000 population	P	80	75	78	57	80	88	83	79	108	133	104	125	86	78	76	71	66	75.4	2016	66	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	31	50.01064725	40.39229544	AZE	Azerbaijan	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	61	57	59	44	61	68	63	61	83	101	80	96	66	60	58	54	51	57.8	2016	51	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	42	41	40	38	39	36	32	34	30	25	24	31	28	28	28	29	28	28.2	2016	28	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	32	-65.14563274	-35.19446255	ARG	Argentina	2	PER_100000_POP	MP	Per 100,000 population	P	37	35	35	33	34	31	28	29	26	22	20	27	24	24	25	25	24	24.4	2016	24	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
