series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	Percentage																			2.78	1.22	2.15	1.03	1.23	1.55	1.3	1.57	2.21	1.572	2016	2.21	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	Percentage			21.4	27.03	15.47	17.62	16.62	12.73	18.62	11.92	16.46	17.22	16.54	15.46	15.87	15.81	15.12	13.72	14.49	14.26	13.34	12.04	11.53	8.56	8.63	9.24	8.86	9.364	2016	8.86	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	Percentage	0.57	2.82	2.9	2.28	3.28	2.68	1.87	2.2	2.2	1.62	1.44	1.22	1.89	2.58	2.88	0.16	0.16	0.07	0.06	0.11	0.12	0.1	0.1	0.1	0.14	0.17	0.17	0.136	2016	0.17	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	Percentage							0.07												0.1	0	0.02	0	0.03	0.03	0.02	0.01	0	0.018	2016	0	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	Percentage	2.73	0.63	0.54	2.17	2.03	0.58	1.41	1.4	2.58	2.4	2.09	2.96	1.75	1.91	1.91	1.79	1.67	1.58	1.6	1.69	1.75	1.78	1.72	1.77	2.24	2.12	2.01	1.972	2016	2.01	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PERCENT	Percentage						0.1	0.13	0.13	0.14	1.19	1.08	1.82	2.62	2.14	2.35	4.71	3.77	3.84	3.11	2.83	2.67	2.87	2.86	2.34	2.45	2.39	1.7	2.348	2016	1.7	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PERCENT	Percentage	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.07	0.21	0.21	0.19	0.22	0.23	0.21	0.2	0.19	0.15	0.13	0.11	0.1	0.1	0.08	0.1	0.098	2016	0.1	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	36	134.3499412	-25.57717202	AUS	Australia	1	PERCENT	Percentage	0.76	0.76	0.59	0.35	0.4	0.12	0.13	0.12	0.13	0.14	0.12	0.13	0.12	0.14	0.13	0.14	0.14	0.16	0.14	0.14	0.16	0.18	0.16	0.15	0.15	0.16	0.17	0.158	2016	0.17	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	40	14.14172472	47.58704857	AUT	Austria	1	PERCENT	Percentage	0.38	0.44	0.42	0.4	0.42	0.42	0.41	0.43	0.65	0.83	0.92	0.9	0.93	0.95	0.84	0.73	0.75	0.75	0.74	0.77	0.76	0.75	0.74	0.76	0.73	0.74	0.74	0.742	2016	0.74	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	PERCENT	Percentage	2.46	2.49	2.88	3.04	3.41	3.17	2.9	3.16	3.21	3.52	3.69	3.9	5.22	5.31	5.5	6.69	7.56	8.24	9.76	10.27	9.41	9.38	10.59	9.25	8.67	7.84	6.11	8.492	2016	6.11	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	51	44.93839317	40.29499741	ARM	Armenia	1	PERCENT	Percentage						4.86	9.63	13.97	8.8	9.9	9.53	9.88	11.1	11.96	22.02	18.68	18.31	17.86	16.33	16.65	18.03	17.73	18.03	19.71	17.9	14.13	13.08	16.57	2016	13.08	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	PERCENT	Percentage	1.87	2.25	2.79	2.71	2.66	2.69	2.82	3.02	3.02	3.28	3.63	4.17	3.95	3.98	3.71	2.42	2.06	3.07	2.2	2.58	1.83	3.16	2.6	2.35	2.35	2.36	2.39	2.41	2016	2.39	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	56	4.660976456	50.64104975	BEL	Belgium	1	PERCENT	Percentage	1.74	1.88	1.9	2.03	1.87	1.7	1.76	1.7	1.61	1.72	1.68	1.65	1.75	1.81	1.77	1.78	1.77	1.91	2.02	2.2	2.14	2.1	2.13	2.15	2.15	2.17	2.16	2.152	2016	2.16	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	60	-64.78155012	32.27881922	BMU	Bermuda	1	PERCENT	Percentage																	21.84	24.6	22.76	23.18	21.96	21.17	21.5	21.98				21.74	2013	21.98	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	64	90.45098484	27.39598568	BTN	Bhutan	1	PERCENT	Percentage																	0.25	0.25	0.28	0.38	0.52	0.57	0.99	0.66	0.73	0.95	1.55	0.976	2016	1.55	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	PERCENT	Percentage	0.09	0.06	0.07	0.07	0.08	0.08	0.14	1.07	1.04	1.16	1.51	1.66	1.43	1.96	2.4	3.53	5.27	8.04	6.81	6.1	4.89	4.35	4.1	3.92	3.57	3.61	3.6	3.76	2016	3.6	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	PERCENT	Percentage									48.2	39.97	28.71	26.09	22.49	20.77	20.49	18.15	16.7	17.03	14.22	12.08	10.61	10.5	10.71	10.77	11.35	11.11	10.92	10.972	2016	10.92	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	72	23.81380223	-22.18810073	BWA	Botswana	1	PERCENT	Percentage	2.26	2.12	2.27	1.79	1.64	1.17	0.89	0.82	0.76	0.48	0.32	0.33	0.35	0.36	0.88	1.19	1.03	0.84	0.43	0.15	0.17	0.13	0.14	0.24	0.28	0.21	0.16	0.206	2016	0.16	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	76	-53.08432878	-10.77668561	BRA	Brazil	1	PERCENT	Percentage	0.12	0.18	0.45	0.28	0.37	0.38	0.24	0.18	0.14	0.25	0.21	0.26	0.39	0.41	0.42	0.31	0.3	0.24	0.21	0.17	0.14	0.12	0.11	0.11	0.11	0.16	0.15	0.128	2016	0.15	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	84	-88.70199554	17.19965901	BLZ	Belize	1	PERCENT	Percentage	4.47	3.51	3.81	2.95	2.23	2.24	2.69	3.47	3.4	3.33	2.99	3.26	2.88	3.25	3.18	4.01	5.24	5.67	5.59	5.88	5.59	5.07	4.83	4.61	4.71	4.86	5.55	4.912	2016	5.55	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	PERCENT	Percentage										0.49	0.99	1.13	0.94	1.17	2.32	1.73	2.35	2.45	1.5	2.09	2.13	1.91	2.02	1.95	1.41	1.65	1.69	1.744	2016	1.69	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	100	25.23763153	42.75731323	BGR	Bulgaria	1	PERCENT	Percentage							0.41	0.45	0.35	0.32	0.44	5.84	7.19	8.15	6.6	5.41	5	3.78	3.53	3.07	2.63	2.58	2.69	2.99	2.97	2.98	3.13	2.952	2016	3.13	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	104	96.51752295	21.19332882	MMR	Myanmar	1	PERCENT	Percentage											1.15	1.79	1.55	0.81	1.1	1.08	0.79	0.4	0.17	0.15	0.23	0.21	0.46	2.73	0.43	0.65	1.08	1.07	2016	1.08	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	108	29.89080992	-3.366387428	BDI	Burundi	1	PERCENT	Percentage															0	0.01	0	0.01	0.23	1.62	1.7	1.93	1.88	1.79	1.82	1.66	1.04	1.638	2016	1.04	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	112	28.04940161	53.54193075	BLR	Belarus	1	PERCENT	Percentage				0	0	0.2	0.63	0.33	0.35	0.51	0.9	0.54	0.55	0.92	1.03	0.66	0.73	0.64	0.96	1.02	1.01	1.44	1.6	1.61	1.56	1.65	2.03	1.69	2016	2.03	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	116	104.922836	12.71163737	KHM	Cambodia	1	PERCENT	Percentage				0.37	0.4	0.34	0.33	0.34	2.31	2.34	2.81	2.83	2.87	2.75	2.76	2.6	2.53	2.15	1.82	1.37	1.36	1.25	1.23	1.14	2.25	2.22	1.85	1.738	2016	1.85	World Development Indicators, World Bank	
