"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Footnotes_2017","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Nature_Code_2017","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","Source_2017","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","TimeDetail_2017","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value"
"","","","1","World","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.1","Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month","1","VC_VAW_PHYPYV","Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)","2019.Q1.G.01","1-14","1 to 14 years old","G","Global","PER_POP_1T14Y","% of children aged 1-14 years","","","","","","","","","","","","","Based on 81 countries with a population coverage of 29 per cent","","","","","","","","","","","","","E","","","","","","","","","","","","","DHS, MICS and other national surveys","","","","","","","","","","","","","","","","","","","","","","","","","","78.51",2017.0,"78.51"
"MMR","96.51752295","21.19332882","104","Myanmar","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.1","Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month","1","VC_VAW_PHYPYV","Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)","2019.Q1.G.01","1-14","1 to 14 years old","G","Global","PER_POP_1T14Y","% of children aged 1-14 years","","","","","","","","","","","","Refers to children aged 2-14 years","","","","","","","","","","","","","C","","","","","","","","","","","","","DHS","","","","","","","","","","","","","","","","","","","","","","","","","","77.20","",2016.0,"77.20"
"BLR","28.04940161","53.54193075","112","Belarus","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.1","Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month","1","VC_VAW_PHYPYV","Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)","2019.Q1.G.01","1-14","1 to 14 years old","G","Global","PER_POP_1T14Y","% of children aged 1-14 years","","","","","","","","Refers to children aged 2-14 years. differs from standard definition","","","","","","","","","","","","","C","","","","","","","","","","","","","MICS","","","","","","","","","","","","","","","","","","","","","","","","","","64.50","","","","","",2012.0,"64.50"
"DZA","2.678164227","28.15940032","12","Algeria","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.1","Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month","1","VC_VAW_PHYPYV","Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)","2019.Q1.G.01","1-14","1 to 14 years old","G","Global","PER_POP_1T14Y","% of children aged 1-14 years","","","","","","","","","Refers to children aged 2-14 years","","","","","","","","","","","","","C","","","","","","","","","","","","","MICS","","","","","","","","","","","","","","","","","","","","","","","","","","86.30","","","","",2013.0,"86.30"
"CMR","12.7419827","5.692387031","120","Cameroon","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.1","Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month","1","VC_VAW_PHYPYV","Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)","2019.Q1.G.01","1-14","1 to 14 years old","G","Global","PER_POP_1T14Y","% of children aged 1-14 years","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","MICS","","","","","","","","","","","","","","","","","","","","","","","","","","85.00","","","",2014.0,"85.00"
"CAF","20.93559492","7.003720791","140","Central African Republic","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.1","Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month","1","VC_VAW_PHYPYV","Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)","2019.Q1.G.01","1-14","1 to 14 years old","G","Global","PER_POP_1T14Y","% of children aged 1-14 years","","","","","","Refers to children aged 2-14 years","","","","","","","","","","","","","C","","","","","","","","","","","","","MICS","","","","","","","","","","","","","","","","","","","","","","","","","","92.00","","","","","","","",2010.0,"92.00"
"","","","143","Central Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.1","Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month","1","VC_VAW_PHYPYV","Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)","2019.Q1.G.01","1-14","1 to 14 years old","G","Global","PER_POP_1T14Y","% of children aged 1-14 years","","","","","","","","","","","","","Based on 4 countries with a population coverage of 57 per cent","","","","","","","","","","","","","E","","","","","","","","","","","","","DHS, MICS and other national surveys","","","","","","","","","","","","","","","","","","","","","","","","","","57.66",2017.0,"57.66"
"","","","145","Western Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.1","Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month","1","VC_VAW_PHYPYV","Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)","2019.Q1.G.01","1-14","1 to 14 years old","G","Global","PER_POP_1T14Y","% of children aged 1-14 years","","","","","","","","","","","","","Based on 10 countries with a population coverage of 56 per cent","","","","","","","","","","","","","E","","","","","","","","","","","","","DHS, MICS and other national surveys","","","","","","","","","","","","","","","","","","","","","","","","","","81.33",2017.0,"81.33"
"TCD","18.66618401","15.36279341","148","Chad","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.1","Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month","1","VC_VAW_PHYPYV","Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)","2019.Q1.G.01","1-14","1 to 14 years old","G","Global","PER_POP_1T14Y","% of children aged 1-14 years","","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","DHS","","","","","","","","","","","","","","","","","","","","","","","","","","71.10","","",2015.0,"71.10"
"","","","15","Northern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.1","Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month","1","VC_VAW_PHYPYV","Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years)","2019.Q1.G.01","1-14","1 to 14 years old","G","Global","PER_POP_1T14Y","% of children aged 1-14 years","","","","","","","","","","","","","Based on 5 countries with a population coverage of 98 per cent","","","","","","","","","","","","","E","","","","","","","","","","","","","DHS, MICS and other national surveys","","","","","","","","","","","","","","","","","","","","","","","","","","85.09",2017.0,"85.09"
