"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2011","Value_2014","Value_2017","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"4","Afghanistan","AFG","66.02688198","33.83160199","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","9.01","9.96","14.89",2017.0,"14.89","Global monitoring data","Global Financial Inclusion Database, World Bank.","Gender-matched sampling was used during the final stage of selection."
"4","Afghanistan","AFG","66.02688198","33.83160199","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","2.62","3.81","7.16",2017.0,"7.16","Global monitoring data","Global Financial Inclusion Database, World Bank.","Gender-matched sampling was used during the final stage of selection."
"4","Afghanistan","AFG","66.02688198","33.83160199","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","15.42","15.78","22.54",2017.0,"22.54","Global monitoring data","Global Financial Inclusion Database, World Bank.","Gender-matched sampling was used during the final stage of selection."
"8","Albania","ALB","20.06660928","41.13897007","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","22.67","33.59","38.10",2017.0,"38.10","Global monitoring data","Global Financial Inclusion Database, World Bank.",""
"8","Albania","ALB","20.06660928","41.13897007","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","33.66","42.52","42.04",2017.0,"42.04","Global monitoring data","Global Financial Inclusion Database, World Bank.",""
"8","Albania","ALB","20.06660928","41.13897007","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","28.27","37.99","40.02",2017.0,"40.02","Global monitoring data","Global Financial Inclusion Database, World Bank.",""
"10","Antarctica","ATA","21.47585697","-80.40897662","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","46.13","60.91","56.25",2017.0,"56.25","Global monitoring data","Global Financial Inclusion Database, World Bank.","[2017]: Global Findex data exclude sparsely populated areas in the far South, representing about 10 percent of the population. // [2014]: Sparsely populated areas in the far South were excluded, representing approximately 10% of the population. // [2011]: The sample excludes the deep South and governorates that represent security risks within Algiers Province. The excluded area represents approximately 25% of the total adult population."
