"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","1996792933","1983483738","1930801735","1820511787","1720129131","1585109395","1499735642",2016.0,"1499735642","Estimated data","WHO Global Health Observatory","Imputation of incomplete reports and aggregation across diseases"
"2","Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"5","South America","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"9","Oceania","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"11","Western Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"13","Central America","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"14","Eastern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"15","Northern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"17","Middle Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"18","Southern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
