"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Cities_Code","Cities_Desc","ReportingType_Code","ReportingType_Desc","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","74.2",2017.0,"74.2","Data nature not available","United Nations Human Settlements Programme (UN-Habitat)","Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated."
"2","Africa","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"5","South America","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"9","Oceania","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"11","Western Africa","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"13","Central America","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"14","Eastern Africa","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"15","Northern Africa","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"17","Middle Africa","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"18","Southern Africa","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"19","Americas","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"21","Northern America","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"29","Caribbean","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"30","Eastern Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"34","Southern Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
