series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Units	Age description	Units description	2000	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	30-34	PERCENT	30 to 34 years old	Percentage												49.3		49.3	2015	49.3	DHS	C
2018.Q2.G.01	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	2	25-29	PERCENT	25 to 29 years old	Percentage												48.6		48.6	2015	48.6	DHS	C
2018.Q2.G.01	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	3	15-19	PERCENT	15 to 19 years old	Percentage												28.7		28.7	2015	28.7	DHS	C
2018.Q2.G.01	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	4	40-44	PERCENT	40 to 44 years old	Percentage												45.2		45.2	2015	45.2	DHS	C
2018.Q2.G.01	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	5	35-39	PERCENT	35 to 39 years old	Percentage												49.1		49.1	2015	49.1	DHS	C
2018.Q2.G.01	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	6	15-49	PERCENT	15 to 49 years old	Percentage												46.1		46.1	2015	46.1	DHS	C
2018.Q2.G.01	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	7	45-49	PERCENT	45 to 49 years old	Percentage												51.9		51.9	2015	51.9	DHS	C
2018.Q2.G.01	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	8	20-24	PERCENT	20 to 24 years old	Percentage												41.1		41.1	2015	41.1	DHS	C
2018.Q2.G.01	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	9	40-49	PERCENT	40 to 49 years old	Percentage																		
2018.Q2.G.01	VC_VAW_MARR	Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)	4	66.02688198	33.83160199	AFG	Afghanistan	10	30-39	PERCENT	30 to 39 years old	Percentage																		
