"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_1995.0","Value_1996.0","Value_1997.0","Value_1998.0","Value_1999.0","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","4601.57881","5238.8046","4610.7117","5461.01718","6691.34246","2972.92278","2646.3307","3321.50467","3827.18244","3693.06659","2718.03949","2157.65159","1465.54808","1011.57188","908.88874","490.52336","461.80841","319.04559","232.02748","182.4487","180.3603",2015.0,"180.3603","Data nature not available","NA","The notification record varies from year to year and therefore the set of countries represented in the data may differ among the years reported, particularly in more recent periods."
"2","Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","South America","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","Oceania","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","0.0105","0","0","1.26049","2.41077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2015.0,"0","Data nature not available","NA","The notification record varies from year to year and therefore the set of countries represented in the data may differ among the years reported, particularly in more recent periods."
"11","Western Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","Central America","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","Eastern Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","Northern Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","0.5862","1.84917","6.14128","6.57697","6.03646","6.31312","3.81335","3.27831","3.96506","3.58671","4.01793","5.86681","7.36384","9.10746","6.32313","4.35649","14.21008","0","0","0","0",2015.0,"0","Data nature not available","NA","The notification record varies from year to year and therefore the set of countries represented in the data may differ among the years reported, particularly in more recent periods."
"17","Middle Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","Southern Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
