"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_1990","Value_1991","Value_1992","Value_1993","Value_1994","Value_1995","Value_1996","Value_1997","Value_1998","Value_1999","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","15.0","","","15.0","14.3","","","19.0","","24.0","","34.3","38.6","39.9","","45.2","50.5","",2015.0,"50.5","Country data","[2014]: Afghanistan Living Conditions Survey 2013-14. National Risk and Vulnerability Assessment. Kabul: Central Statistics Organization (CSO); 2016. // [2010]: Afghanistan Mortality Survey 2010. Calverton: Afghan Public Health Institute, Ministry of Public Health (APHI/MoPH) [Afghanistan], Central Statistics Organization (CSO) [Afghanistan], ICF Macro, Indian Institute of Health Management Research (IIHMR) [India], and World Health Organization Regional Office for the Eastern Mediterranean (WHO/EMRO) [Egypt]; 2011. // [2011]: Central Statistics Organisation (CSO), UNICEF. Afghanistan Multiple Indicator Cluster Survey 2010-2011: Final Report. Kabul: Central Statistics Organisation (CSO), UNICEF; 2012. // [2015]: Central Statistics Organization (CSO), Ministry of Public Health (MoPH), ICF. Afghanistan Demographic and Health Survey 2015. Kabul, Afghanistan: Central Statistics Organization; 2017. // [1999,2002,2006]: Making Pregnancy Safer Database in the EMR [online database]. Cairo: World Health Organization Regional Office for the Eastern Mediterranean (WHO/EMRO); 2011 (http://www.emro.who.int/mps/statistics.htm, accessed 9 May 2011). // [2008]: Making Pregnancy Safer Database in the EMR: 2009 [online database]. Cairo: World Health Organization Regional Office for the Eastern Mediterranean (WHO/EMRO); 2011 (http://www.emro.who.int/mps/statistics.htm, accessed 9 May 2011). // [2003]: Multiple Indicator Cluster Survey - 2003 Afghanistan. Afghanistan: Central Statistics Office, Afghanistan, United Nations Children’s Fund (UNICEF); 2004. // [2012]: National Risk and Vulnerability Assessment 2011-12. Afghanistan Living Condition Survey. Kabul: Central Statistics Organization (CSO); 2014.","[2003,2010-2012,2014]: SAB Definition 1 // [2015]: SAB Definition 2 // [1999,2002,2006,2008]: SAB Definition 3"
"8","Albania","ALB","20.06660928","41.13897007","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","93.0","92.6","86.4","87.2","89.1","89.1","91.2","98.8","99.1","99.0","99.1","99.0","98.0","98.8","99.3","99.8","99.0","99.1","99.5","99.4","","","","","","","",2009.0,"99.4","Country data","[2002]: Albania Poverty Assessment. Report No. 26213-AL. Washington DC: World Bank; 2003.  // [2005]: Albanian National Institute of Statistics. Albania Multiple Indicator Cluster Survey 2005, Final Report. Tirana, Albania: Albanian National Institute of Statistics; 2007. // [2000]: Multiple Indicator Cluster Survey Report Albania 2000. Tirana: National Institute of Statistics, United Nations Children’s Fund (UNICEF); 2000. // [1990-1999,2001,2003-2004,2006-2009]: Transformative Monitoring for Enhanced Equity (TransMonEE) 2012 Database [online database]. Geneva: UNICEF Europe and Central Asia Regional Office; 2012 (www.transmonee.org, accessed 1 November 2012). ","[2002]: SAB Definition 1 // [2000,2005]: SAB Definition 2 // [1990-1999,2001,2003-2004,2006-2009]: SAB Definition 3"
"10","Antarctica","ATA","21.47585697","-80.40897662","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","76.5","","","","","","","","92.0","","90.2","","","","95.2","","","","","","96.6","","","","",2012.0,"96.6","Country data","[1992]: Enquête Algérienne sur la Santé de la Mère et de l'Enfant. Rapport Principal. Alger: Ministère de la Santé et de la Population, Office National des Statistique, Ligue des Etats Arabes; 1993 (in French). // [2000]: Enquête nationale sur les objectifs de la fin décennie santé mère et enfant EDG Algérie 2000 MICS2. Alger: Ministère de la Santé et de la Population, Algérie, Fonds des Nations unies pour l’enfance (UNICEF); 2001 (in French). // [2006]: Enquête nationale à indicateurs multiples. République Algérienne Démocratique et Populaire 2006. Rapport Principal. Alger: Ministère de la Santé, de la Population et de la Réforme Hospitalière, Office National des Statistiques, Fonds des Nations unies pour l’enfance (UNICEF), Fonds des Nations Unies pour la Population (UNFPA); 2008 (in French). // [2012]: Enquête par Grappes à Indicateurs Multiples (MICS) [Multiple Indicator Cluster Survey (MICS)] République Algérienne Démocratique et Populaire 2012-2013. Rapport final. Algérie: Ministère de la Santé, de la Population et de la Réforme Hospitalière, Fonds des Nations unies pour l’enfance (UNICEF), Fonds des Nations Unies pour la Population (FNUAP/UNFPA); 2015 (in French).   // [2002]: Ministère de la Santé, de la Population et de la Réforme Hospitalière, Office National des Statistiques; Ligue des Etats Arabes. Enquête Algérienne sur la Santé de la Famille 2002, Rapport Principal. Alger: Ministère de la Santé, de la Population et de la Réforme Hospitalière; 2004 (in French). ","[1992,2006,2012]: SAB Definition 1 // [2000,2002]: SAB Definition 4"
"16","American Samoa","ASM","-170.7187269","-14.30587306","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","22.5","","","","","37.8","","","","","","47.3","","49.4","","","","","","","46.9",2016.0,"46.9","Country data","[1996]: Angola Multiple Indicator Survey 1996. Luanda: National Statistics Office, United Nations Children's Fund (UNICEF); 1998. // [2007]: Consultoria de Serviços e Pesquisas–COSEP Lda., Consultoria de Gestão e Administração em Saúde–Consaúde Lda. [Angola], Macro International Inc. Angola Malaria Indicator Survey 2006-07. Calverton, Maryland, USA: COSEP Lda., Consaúde Lda., Macro International Inc.; 2007. // [2009]: Inquérito Integrado Sobre o Bem-Estar da População (IBEP) 2008-09. Principais Resultados Definitivos. Versão Resumida. Luanda: Instituto Nacional de Estatística (INE);  2010 (in Portuguese). // [2016]: Instituto Nacional de Estatística (INE), Ministério da Saúde (MINSA), Ministério do Planeamento e do Desenvolvimento Territorial (MINPLAN), ICF. Inquérito de Indicadores Múltiplos e de Saúde em Angola 2015-2016. Luanda, Angola e Rockville, Maryland, EUA: INE, MINSA, MINPLAN, ICF; 2017 (in Portuguese).  // [2001]: Resultados do Inquérito de iIndicadores Múltiplos (MICS 2) 2001. Luanda: Instituto Nacional de Estatística (INE), Fundo das Nações Unidas para a Infância (UNICEF); 2002 (in Portuguese).","[2001,2016]: SAB Definition 1 // [2007]: SAB Definition 2 // [1996,2009]: SAB Definition 3"
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","100.0","","100.0","","99.9","100.0","","99.0","100.0","99.9","99.9","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","","",2014.0,"100.0","Country data","[2000]: Health Situation in the Americas: Basic Indicators 2000. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2000. // [2001]: Health Situation in the Americas: Basic Indicators 2002. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Special Program for Health Analysis; 2002. // [2003]: Health Situation in the Americas: Basic Indicators 2004. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Area of Health Analysis and Information Systems (AIS); 2004. // [2004]: Health Situation in the Americas: Basic Indicators 2005. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Area of Health Analysis and Information Systems (AIS); 2005. // [2005]: Health Situation in the Americas: Basic Indicators 2006. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Health Analysis and Statistics Unit (HA); 2006. // [2006]: Health Situation in the Americas: Basic Indicators 2007. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Health Analysis and Statistics Unit (HA); 2007. // [2007]: Health Situation in the Americas: Basic Indicators 2008. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Health Information and Analysis; 2008. // [2008]: Health Situation in the Americas: Basic Indicators 2009. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Health Information and Analysis Project; 2009. // [2009]: Health Situation in the Americas: Basic Indicators 2010. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Health Information and Analysis Project (HSD/HA); 2010. // [2010]: Health Situation in the Americas: Basic Indicators 2011. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Health Information and Analysis Project; 2011. // [2012]: Health Situation in the Americas: Basic Indicators 2013. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Communicable Diseases and Health Analysis/ Health Information and Analysis; 2013. // [2013]: Health Situation in the Americas: Basic Indicators 2014. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Communicable Diseases and Health Analysis/ Health Information and Analysis; 2014. // [2014]: Health Situation in the Americas: Basic Indicators 2015. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Communicable Diseases and Health Analysis/ Health Information and Analysis; 2015. // [1996]: UNICEF CRING: Antigua and Barbuda; 1996.  // [1998]: UNICEF CRING: Antigua and Barbuda; 1998. ","[1996]: SAB Definition 1 // [1998,2000-2001,2003-2010,2012-2014]: SAB Definition 3"
"31","Azerbaijan","AZE","50.01064725","40.39229544","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","97.3","97.2","96.5","96.3","99.6","91.5","87.9","90.4","91.5","92.4","80.7","88.0","94.0","95.8","95.9","94.4","88.6","93.0","98.0","99.8","99.4","97.2","99.8","99.9","99.9","99.8","99.8",2016.0,"99.8","Country data","[2000]: Azerbaijan Multiple Indicator Cluster Survey 2000. Baku: Ministry of Health, Azerbaijan, United Nations Children's Fund (UNICEF); 2000. // [2001]: Ministry of Health, Azerbaijan, Division of Reproductive Health - Centers for Disease Control and Prevention (DRH/CDC). Reproductive Health Survey Azerbaijan, 2001. Final Report. Atlanta: CDC; 2003. // [2011]: Public Health and Reforms Centre (PHRC) [Azerbaijan]. Demographic and Health Survey, Azerbaijan, 2011. Baku: Ministry of Health (MoH) [Azerbaijan]; 2013. // [2006]: State Statistical Committee (SSC) [Azerbaijan], Macro International Inc. Azerbaijan Demographic and Health Survey 2006. Calverton, Maryland, USA: State Statistical Committee, Macro International Inc.; 2008. // [1995-1999,2002-2005,2007-2010,2012]: Statistical Yearbook of Azerbaijan 2013. Baku: State Statistical Committee of the Republic of Azerbaijan; 2013. // [2013-2014]: Statistical Yearbook of Azerbaijan 2015. Baku: State Statistical Committee of the Republic of Azerbaijan; 2015. // [2015]: Statistical Yearbook of Azerbaijan 2016. Baku: State Statistical Committee of the Republic of Azerbaijan; 2016. // [2016]: Statistical Yearbook of Azerbaijan 2017. Baku: State Statistical Committee of the Republic of Azerbaijan; 2017. // [1990-1994]: Transformative Monitoring for Enhanced Equity (TransMonEE) 2012 Database [online database]. Geneva: UNICEF Europe and Central Asia Regional Office; 2012 (www.transmonee.org, accessed 1 November 2012). ","[2000]: SAB Definition 1. Alternative value/source: 92.1% (source: Statistical Yearbook of Azerbaijan 2013. Baku: State Statistical Committee of the Republic of Azerbaijan; 2013. Definition used: SAB Definition 3) // [2001]: SAB Definition 1. Alternative value/source: 94% (source: Statistical Yearbook of Azerbaijan 2013. Baku: State Statistical Committee of the Republic of Azerbaijan; 2013. Definition used: SAB Definition 3) // [2006]: SAB Definition 1. Alternative value/source: 95.8% (source: Statistical Yearbook of Azerbaijan 2013. Baku: State Statistical Committee of the Republic of Azerbaijan; 2013. Definition used: SAB Definition 3) // [2011]: SAB Definition 2. Alternative value/source: 99.7% (source: Statistical Yearbook of Azerbaijan 2013. Baku: State Statistical Committee of the Republic of Azerbaijan; 2013. Definition used: SAB Definition 3) // [1990-1999,2002-2005,2007-2010,2012-2016]: SAB Definition 3"
"32","Argentina","ARG","-65.14563274","-35.19446255","3","Ensure healthy lives and promote well-being for all at all ages","3.1","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births","3.1.2","Proportion of births attended by skilled health personnel","1","SH_STA_BRTC","Proportion of births attended by skilled health personnel (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","96.9","","95.8","","","98.5","","97.2","97.5","97.5","99.1","98.4","98.9","98.7","99.1","99.1","99.4","99.4","94.8","97.9","95.0","97.1","98.2","97.0","99.6","99.6","",2015.0,"99.6","Country data","[2002]: Estadísticas Vitales. Información Básica – Año 2002. Buenos Aires: Ministerio de Salud, Argentina; 2003 (in Spanish). // [2003]: Estadísticas Vitales. Información Básica – Año 2003. Buenos Aires: Ministerio de Salud, Argentina; 2004 (in Spanish). // [2004]: Estadísticas Vitales. Información Básica – Año 2004. Buenos Aires: Ministerio de Salud, Argentina; 2005 (in Spanish). // [2005]: Estadísticas Vitales. Información Básica – Año 2005. Buenos Aires: Ministerio de Salud, Argentina; 2006 (in Spanish). // [2006]: Estadísticas Vitales. Información Básica – Año 2006. Buenos Aires: Ministerio de Salud, Argentina; 2007 (in Spanish). // [2007]: Estadísticas Vitales. Información Básica – Año 2007. Buenos Aires: Ministerio de Salud, Argentina; 2008 (in Spanish). // [2008]: Estadísticas Vitales. Información Básica – Año 2008. Buenos Aires: Ministerio de Salud, Argentina; 2009 (in Spanish). // [2009]: Estadísticas Vitales. Información Básica – Año 2009. Buenos Aires: Ministerio de Salud, Argentina; 2010 (in Spanish). // [2010]: Estadísticas Vitales. Información Básica – Año 2010. Buenos Aires: Ministerio de Salud, Argentina; 2011 (in Spanish). // [2011]: Estadísticas Vitales. Información Básica – Año 2011. Buenos Aires: Ministerio de Salud, Argentina; 2012 (in Spanish). // [2012]: Estadísticas Vitales. Información Básica – Año 2012. Buenos Aires: Ministerio de Salud, Argentina; 2013 (in Spanish). // [2013]: Estadísticas Vitales. Información Básica – Año 2013. Buenos Aires: Ministerio de Salud, Argentina; 2014 (in Spanish). // [2014]: Estadísticas Vitales. Información Básica – Año 2014. Buenos Aires: Ministerio de Salud, Argentina; 2015 (in Spanish). // [2015]: Estadísticas Vitales. Información Básica – Año 2015. Buenos Aires: Ministerio de Salud, Argentina; 2016 (in Spanish). // [1990,1995,2000-2001]: Indicadores básicos Argentina 2010. Buenos Aires: Ministerio de Salud, Argentina, Organización Panamericana de la Salud/Organización Mundial de la Salud (OPS/OMS) [Pan American Health Organization/World Health Organization (PAHO/WHO)]; 2010 (in Spanish).  // [1992]: National Health Statistics Bureau, Ministry of Health and Social Action Argentina; 1993. // [1997]: UNICEF CRING: Argentina; 1997.  // [1998]: UNICEF CRING: Argentina; 1998.  // [1999]: UNICEF CRING: Argentina; 1999. ","[1990,1995,2000-2015]: SAB Definition 1 // [1992,1997-1999]: SAB Definition 3"
