series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Type of occupation	Units description	Type of occupation description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_MED_HEAWOR	Health worker density, by type of occupation (per 1,000 population)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PER_1000_POP	PHYS	Per 1,000 population	physicians		0.2					0.168	0.183	0.182	0.222	0.247	0.263	0.253	0.299	0.315	0.302	0.295	0.2928	2016	0.295	Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	C
2018.Q2.G.01	SH_MED_HEAWOR	Health worker density, by type of occupation (per 1,000 population)	4	66.02688198	33.83160199	AFG	Afghanistan	2	PER_1000_POP	PHAR	Per 1,000 population	pharmaceutical personnel		0.026				0.037	0.033	0.032	0.031	0.031	0.029	0.029	0.028		0.054	0.053	0.05	0.04625	2016	0.05	Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	C
2018.Q2.G.01	SH_MED_HEAWOR	Health worker density, by type of occupation (per 1,000 population)	4	66.02688198	33.83160199	AFG	Afghanistan	3	PER_1000_POP	NURS	Per 1,000 population	nursing and midwifery personnel						0.612	0.462	0.519	0.519	0.634					0.36			0.36	2014	0.36	Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	C
2018.Q2.G.01	SH_MED_HEAWOR	Health worker density, by type of occupation (per 1,000 population)	4	66.02688198	33.83160199	AFG	Afghanistan	4	PER_1000_POP	DENT	Per 1,000 population	dentistry personnel							0.013	0.012	0.014						0.004	0.004	0.004	0.004	2016	0.004	Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	C
2018.Q2.G.01	SH_MED_HEAWOR	Health worker density, by type of occupation (per 1,000 population)	8	20.06660928	41.13897007	ALB	Albania	1	PER_1000_POP	PHYS	Per 1,000 population	physicians											1.254	1.24	1.283	1.286				1.2845	2013	1.286	Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	C
2018.Q2.G.01	SH_MED_HEAWOR	Health worker density, by type of occupation (per 1,000 population)	8	20.06660928	41.13897007	ALB	Albania	2	PER_1000_POP	PHAR	Per 1,000 population	pharmaceutical personnel											0.456	0.481		0.847				0.847	2013	0.847	Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	C
2018.Q2.G.01	SH_MED_HEAWOR	Health worker density, by type of occupation (per 1,000 population)	8	20.06660928	41.13897007	ALB	Albania	3	PER_1000_POP	NURS	Per 1,000 population	nursing and midwifery personnel																						
2018.Q2.G.01	SH_MED_HEAWOR	Health worker density, by type of occupation (per 1,000 population)	8	20.06660928	41.13897007	ALB	Albania	4	PER_1000_POP	DENT	Per 1,000 population	dentistry personnel							0.339												2006	0.339	Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.	C
2018.Q2.G.01	SH_MED_HEAWOR	Health worker density, by type of occupation (per 1,000 population)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PER_1000_POP	PHYS	Per 1,000 population	physicians																						
2018.Q2.G.01	SH_MED_HEAWOR	Health worker density, by type of occupation (per 1,000 population)	10	21.47585697	-80.40897662	ATA	Antarctica	2	PER_1000_POP	PHAR	Per 1,000 population	pharmaceutical personnel																						
