"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","NameOfNon-CommunicableDisease_Code","NameOfNon-CommunicableDisease_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2000","Value_2005","Value_2010","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_RNCOM","Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)","2019.Q1.G.01","NUMBER","Number","CAN","Cancer","G","Global","BOTHSEX","Both sexes","11473","14574","16199","19290","19965",2016.0,"19965","Modeled data","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_RNCOM","Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)","2019.Q1.G.01","NUMBER","Number","CAN","Cancer","G","Global","FEMALE","Female","5491","6899","7659","8972","9263",2016.0,"9263","Modeled data","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_RNCOM","Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)","2019.Q1.G.01","NUMBER","Number","RES","Chronic respiratory disease","G","Global","FEMALE","Female","1839","2362","2558","3008","3154",2016.0,"3154","Modeled data","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_RNCOM","Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)","2019.Q1.G.01","NUMBER","Number","RES","Chronic respiratory disease","G","Global","BOTHSEX","Both sexes","4391","5496","5706","6440","6715",2016.0,"6715","Modeled data","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_RNCOM","Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)","2019.Q1.G.01","NUMBER","Number","DIA","Diabetes","G","Global","MALE","Male","1182","1549","1797","2276","2437",2016.0,"2437","Modeled data","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_RNCOM","Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)","2019.Q1.G.01","NUMBER","Number","DIA","Diabetes","G","Global","FEMALE","Female","1794","2560","3056","4247","4620",2016.0,"4620","Modeled data","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_RNCOM","Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)","2019.Q1.G.01","NUMBER","Number","RES","Chronic respiratory disease","G","Global","MALE","Male","2552","3134","3148","3432","3560",2016.0,"3560","Modeled data","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_RNCOM","Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)","2019.Q1.G.01","NUMBER","Number","CAR","Cardiovascular disease","G","Global","MALE","Male","18021","22242","23248","25728","26828",2016.0,"26828","Modeled data","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_RNCOM","Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)","2019.Q1.G.01","NUMBER","Number","CAR","Cardiovascular disease","G","Global","FEMALE","Female","15406","18936","20594","23322","24416",2016.0,"24416","Modeled data","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_RNCOM","Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)","2019.Q1.G.01","NUMBER","Number","CAR","Cardiovascular disease","G","Global","BOTHSEX","Both sexes","33427","41179","43842","49050","51244",2016.0,"51244","Modeled data","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
