ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Sex_Code,Sex_Desc,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2000,Footnotes_2001,Footnotes_2002,Footnotes_2003,Footnotes_2004,Footnotes_2005,Footnotes_2006,Footnotes_2007,Footnotes_2008,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Nature_Code_2000,Nature_Code_2001,Nature_Code_2002,Nature_Code_2003,Nature_Code_2004,Nature_Code_2005,Nature_Code_2006,Nature_Code_2007,Nature_Code_2008,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Source_2000,Source_2001,Source_2002,Source_2003,Source_2004,Source_2005,Source_2006,Source_2007,Source_2008,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,TimeDetail_2000,TimeDetail_2001,TimeDetail_2002,TimeDetail_2003,TimeDetail_2004,TimeDetail_2005,TimeDetail_2006,TimeDetail_2007,TimeDetail_2008,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,Value_2000,Value_2001,Value_2002,Value_2003,Value_2004,Value_2005,Value_2006,Value_2007,Value_2008,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Latest_Year,Latest_Value
BGR,25.23763153,42.75731323,100,Bulgaria,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,,,,,,,,,,,,,,,,,,37.46,40.52,42.31,37.8,41.43,40.61,37.56,36.41,36.51,35.79,38.63,37,35.5,36,35.36,37.38,39.28,2016.0,39.28
MMR,96.51752295,21.19332882,104,Myanmar,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Micro data processing | Data reference period: Annual or annual average,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,ILOSTAT - LFS - Labour force survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.34,,2015.0,28.34
BLR,28.04940161,53.54193075,112,Belarus,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,0,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,ILOSTAT - PC - Population census,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.97,,,,,,,,2009.0,46.97
KHM,104.922836,12.71163737,116,Cambodia,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,Data reference period: Annual or annual average | Age coverage - maximum age: 64 years old,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Micro data processing,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,ILOSTAT - HIES - National Socio-Economic Survey,,ILOSTAT - LFS - Labour force survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.13,,16.67,,,,,2012.0,16.67
DZA,2.678164227,28.15940032,12,Algeria,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,Data reference period: September,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,ILOSTAT - LFS - Household Employment Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92,,,2014.0,6.92
LKA,80.70489654,7.614693343,144,Sri Lanka,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,"Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old",Data reference period: Annual or annual average,Data reference period: Annual or annual average,"Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts","Data reference period: Annual or annual average | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts",,,,,,,,,,,,C,C,C,C,C,C,,,,,,,,,,,,ILOSTAT - LFS - Sri Lanka Labour Force Survey,ILOSTAT - LFS - Sri Lanka Labour Force Survey,ILOSTAT - LFS - Sri Lanka Labour Force Survey,ILOSTAT - LFS - Sri Lanka Labour Force Survey,ILOSTAT - LFS - Sri Lanka Labour Force Survey,ILOSTAT - LFS - Sri Lanka Labour Force Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.96,23.73,21.87,22.69,23.48,23.97,,,2014.0,23.97
CRI,-84.19712782,9.970998683,188,Costa Rica,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,Data reference period: July,,Data reference period: July | Age coverage - maximum age: 65 years old,Data reference period: July,,,,,,,,,,,,,,C,,C,C,,,,,,,,,,,,,,ILOSTAT - LFS - National Household Survey,,ILOSTAT - LFS - National Household Survey,ILOSTAT - LFS - National Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.69,,29.21,36.59,,,,2013.0,36.59
HRV,17.95874553,45.45172212,191,Croatia,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,,,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,,,,,,,,,,,,,,,,,,,,26.75,28.26,17.51,28.21,27.47,22.72,32.1,37.2,27.43,23.57,25.77,23.87,24.37,26.12,29.5,2016.0,29.5
CYP,33.22285964,35.05659437,196,Cyprus,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,,,,,,,,,,,,,,,,,,18.49,18.55,17.3,17.94,17,17.07,17.23,17.69,20.44,13.76,14.32,14.67,16.44,18.7,18.14,25.22,26.99,2016.0,26.99
CZE,15.33151382,49.73913871,203,Czechia,5,Achieve gender equality and empower all women and girls,5.5,"Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",5.5.2,Proportion of women in managerial positions,1,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),2019.Q1.G.01,FEMALE,Female,G,Global,PERCENT,Percentage,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Break in series: Methodology revised | Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,Repository: Eurostat special tabulation | Data reference period: Annual or annual average,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,ILOSTAT - LFS - EU Labour Force Survey,,,,,,,,,,,,,,,,,,26.38,29.07,27.85,31.52,30.29,31.54,30.68,29.47,29.22,28.73,27.75,24.04,23.11,24.54,26.62,27.8,23.11,2016.0,23.11
