"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","14.8","14.8","14.9","14.8","14.6","14.1","13.5","12.9","12.3","11.9","11.5","11.2","11","10.8","10.7","10.7",2015.0,"10.7","Estimated data","FAO, Statistics Division","Data refer to provisional estimates"
"2","Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","24.4","23.7","23.2","22.5","21.7","20.8","20.1","19.6","19.2","18.8","18.4","18","17.9","17.9","18.1","18.9",2015.0,"18.9","Estimated data","FAO, Statistics Division","Data refer to provisional estimates"
"5","South America","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","12.2","11.5","10.7","9.7","8.7","7.9","7.1","6.4","5.9","5.6","5.3","5.1","4.9","4.8","4.8","5.1",2015.0,"5.1","Estimated data","FAO, Statistics Division","Data refer to provisional estimates"
"9","Oceania","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","5.3","5.2","5.3","5.4","5.4","5.3","5.1","5","5","5","5.1","5.2","5.4","5.6","6","6.4",2015.0,"6.4","Estimated data","FAO, Statistics Division","Data refer to provisional estimates"
"11","Western Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","15.4","14.9","14.6","13.9","13","12","11.3","10.8","10.4","10.2","10","9.9","9.9","9.8","10","10.6",2015.0,"10.6","Estimated data","FAO, Statistics Division","Data refer to provisional estimates"
"13","Central America","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","8.3","7.8","7.9","8.3","8.5","8.3","7.8","7.4","7.3","7.3","7.2","7.1","7.1","7","6.9","6.7",2015.0,"6.7","Estimated data","FAO, Statistics Division","Data refer to provisional estimates"
"14","Eastern Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","39.4","38.4","37.7","36.8","35.7","34.3","33.5","32.9","32.5","31.7","31","30.3","30.7","30.7","30.8","32",2015.0,"32","Estimated data","FAO, Statistics Division","Data refer to provisional estimates"
"15","Northern Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","6.8","6.6","6.5","6.4","6.4","6.3","6","5.7","5.5","5.3","5.1","4.9","8.5","8.4","8.3","8.3",2015.0,"8.3","Estimated data","FAO, Statistics Division","Data refer to provisional estimates"
"17","Middle Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","37.2","35.5","34","32.5","31","29.4","27.9","26.6","25.6","24.7","23.9","23.1","22.6","22.9","23.6","24.8",2015.0,"24.8","Estimated data","FAO, Statistics Division","Data refer to provisional estimates"
"18","Southern Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","7.1","6.8","6.6","6.5","6.4","6.5","6.7","7","7.1","7","6.7","6.4","6.2","6.3","6.4","7",2015.0,"7","Estimated data","FAO, Statistics Division","Data refer to provisional estimates"
