"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2017","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"4","Afghanistan","AFG","66.02688198","33.83160199","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","304.39251",2017.0,"304.39251","Data nature not available","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast."
"10","Antarctica","ATA","21.47585697","-80.40897662","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","110.26722",2017.0,"110.26722","Data nature not available","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast."
"16","American Samoa","ASM","-170.7187269","-14.30587306","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","35457.57734",2017.0,"35457.57734","Data nature not available","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast."
"20","Andorra","AND","1.576257417","42.54548611","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","24.34117",2017.0,"24.34117","Data nature not available","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast."
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","171.59498",2017.0,"171.59498","Data nature not available","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast."
"31","Azerbaijan","AZE","50.01064725","40.39229544","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","345.30677",2017.0,"345.30677","Data nature not available","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast."
"32","Argentina","ARG","-65.14563274","-35.19446255","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","43542.04798",2017.0,"43542.04798","Data nature not available","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast."
