"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Freq_Code","Freq_Desc","ReportingType_Code","ReportingType_Desc","Value_2017","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVRICTRY","Proportion of results indicators drawn from country-led results frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVRICTRY","Proportion of results indicators drawn from country-led results frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVRICTRY","Proportion of results indicators drawn from country-led results frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVRICTRY","Proportion of results indicators drawn from country-led results frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVRICTRY","Proportion of results indicators drawn from country-led results frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVRICTRY","Proportion of results indicators drawn from country-led results frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVRICTRY","Proportion of results indicators drawn from country-led results frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVRICTRY","Proportion of results indicators drawn from country-led results frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"31","Azerbaijan","AZE","50.01064725","40.39229544","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVRICTRY","Proportion of results indicators drawn from country-led results frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"32","Argentina","ARG","-65.14563274","-35.19446255","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVRICTRY","Proportion of results indicators drawn from country-led results frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
