"GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","TypeOfOccupation_Code","TypeOfOccupation_Desc","ReportingType_Code","ReportingType_Desc","Nature_Code","Nature_Desc","Units_Code","Units_Desc","GeoArea_Code","GeoArea_Desc","Year","TimeDetail","Value","ValueType","Source","Footnotes","ISO3CD","X","Y"
"3","Ensure healthy lives and promote well-being for all at all ages","3.c","Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States","3.c.1","Health worker density and distribution","1","SH_MED_HEAWOR","Health worker density, by type of occupation (per 1,000 population)","2019.Q1.G.01","PHAR","Pharmaceutical personnel","G","Global","C","Country data","PER_1000_POP","Per 1,000 population","4","Afghanistan",2001.0,"","0.026","Float","Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.","","AFG","66.02688198","33.83160199"
"3","Ensure healthy lives and promote well-being for all at all ages","3.c","Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States","3.c.1","Health worker density and distribution","1","SH_MED_HEAWOR","Health worker density, by type of occupation (per 1,000 population)","2019.Q1.G.01","PHYS","Physicians","G","Global","C","Country data","PER_1000_POP","Per 1,000 population","4","Afghanistan",2001.0,"","0.2","Float","Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.","","AFG","66.02688198","33.83160199"
"3","Ensure healthy lives and promote well-being for all at all ages","3.c","Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States","3.c.1","Health worker density and distribution","1","SH_MED_HEAWOR","Health worker density, by type of occupation (per 1,000 population)","2019.Q1.G.01","NURS","Nursing and midwifery personnel","G","Global","C","Country data","PER_1000_POP","Per 1,000 population","4","Afghanistan",2005.0,"","0.612","Float","Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.","","AFG","66.02688198","33.83160199"
"3","Ensure healthy lives and promote well-being for all at all ages","3.c","Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States","3.c.1","Health worker density and distribution","1","SH_MED_HEAWOR","Health worker density, by type of occupation (per 1,000 population)","2019.Q1.G.01","PHAR","Pharmaceutical personnel","G","Global","C","Country data","PER_1000_POP","Per 1,000 population","4","Afghanistan",2005.0,"","0.037","Float","Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.","","AFG","66.02688198","33.83160199"
"3","Ensure healthy lives and promote well-being for all at all ages","3.c","Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States","3.c.1","Health worker density and distribution","1","SH_MED_HEAWOR","Health worker density, by type of occupation (per 1,000 population)","2019.Q1.G.01","PHAR","Pharmaceutical personnel","G","Global","C","Country data","PER_1000_POP","Per 1,000 population","4","Afghanistan",2006.0,"","0.033","Float","Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.","","AFG","66.02688198","33.83160199"
"3","Ensure healthy lives and promote well-being for all at all ages","3.c","Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States","3.c.1","Health worker density and distribution","1","SH_MED_HEAWOR","Health worker density, by type of occupation (per 1,000 population)","2019.Q1.G.01","NURS","Nursing and midwifery personnel","G","Global","C","Country data","PER_1000_POP","Per 1,000 population","4","Afghanistan",2006.0,"","0.462","Float","Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.","","AFG","66.02688198","33.83160199"
"3","Ensure healthy lives and promote well-being for all at all ages","3.c","Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States","3.c.1","Health worker density and distribution","1","SH_MED_HEAWOR","Health worker density, by type of occupation (per 1,000 population)","2019.Q1.G.01","PHYS","Physicians","G","Global","C","Country data","PER_1000_POP","Per 1,000 population","4","Afghanistan",2006.0,"","0.168","Float","Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.","","AFG","66.02688198","33.83160199"
"3","Ensure healthy lives and promote well-being for all at all ages","3.c","Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States","3.c.1","Health worker density and distribution","1","SH_MED_HEAWOR","Health worker density, by type of occupation (per 1,000 population)","2019.Q1.G.01","DENT","Dentistry personnel","G","Global","C","Country data","PER_1000_POP","Per 1,000 population","4","Afghanistan",2006.0,"","0.013","Float","Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.","","AFG","66.02688198","33.83160199"
"3","Ensure healthy lives and promote well-being for all at all ages","3.c","Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States","3.c.1","Health worker density and distribution","1","SH_MED_HEAWOR","Health worker density, by type of occupation (per 1,000 population)","2019.Q1.G.01","DENT","Dentistry personnel","G","Global","C","Country data","PER_1000_POP","Per 1,000 population","4","Afghanistan",2007.0,"","0.012","Float","Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.","","AFG","66.02688198","33.83160199"
"3","Ensure healthy lives and promote well-being for all at all ages","3.c","Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States","3.c.1","Health worker density and distribution","1","SH_MED_HEAWOR","Health worker density, by type of occupation (per 1,000 population)","2019.Q1.G.01","PHYS","Physicians","G","Global","C","Country data","PER_1000_POP","Per 1,000 population","4","Afghanistan",2007.0,"","0.183","Float","Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.","","AFG","66.02688198","33.83160199"
