series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	8	20.06660928	41.13897007	ALB	Albania	1	PER_100000_POP	Per 100,000 population	566.2	52.16	7.68	3.9	475.86	2791.84	20.93	102.05	326.17	145.72	67.28	2.29		135.365	2016	2.29	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	12	2.678164227	28.15940032	DZA	Algeria	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PER_100000_POP	Per 100,000 population					0					0	0			0	2015	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	20	1.576257417	42.54548611	AND	Andorra	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	24	17.57817062	-12.33724746	AGO	Angola	1	PER_100000_POP	Per 100,000 population	2511.5		357.3	149.63	14.93	89.79	127.07	380.88	4119.68		179.91	10561.07	112.57	3743.3075	2017	112.57	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PER_100000_POP	Per 100,000 population	235.29			20342.14	3.21	4655.56	2.09	37.2	1279.85	19.22				649.535	2014	19.22	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PER_100000_POP	Per 100,000 population													0	0	2017	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PER_100000_POP	Per 100,000 population	19.92	155.64	405.25	25.56	102.06										2009	102.06	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	36	134.3499412	-25.57717202	AUS	Australia	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	40	14.14172472	47.58704857	AUT	Austria	1	PER_100000_POP	Per 100,000 population													0	0	2017	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	44	-78.05111663	24.69546597	BHS	Bahamas	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	48	50.5490754	26.04407747	BHR	Bahrain	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	50	89.17660788	22.86961622	BGD	Bangladesh	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	51	44.93839317	40.29499741	ARM	Armenia	1	PER_100000_POP	Per 100,000 population													207.43	207.43	2017	207.43	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	52	-59.5346489	13.13648273	BRB	Barbados	1	PER_100000_POP	Per 100,000 population	29.56	30.9	71.7	47.96	122.81	78.33	35.99	17.4	44.6					44.6	2013	44.6	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	56	4.660976456	50.64104975	BEL	Belgium	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	60	-64.78155012	32.27881922	BMU	Bermuda	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	64	90.45098484	27.39598568	BTN	Bhutan	1	PER_100000_POP	Per 100,000 population					7945.46	3.99	13518.66	39.84	1308.56	317.86	16.38	26.57	33.59	340.592	2017	33.59	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	PER_100000_POP	Per 100,000 population	63	304.84	31.86	415.42	954.96	220.46	653.08	590.83	54.92					54.92	2013	54.92	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	72	23.81380223	-22.18810073	BWA	Botswana	1	PER_100000_POP	Per 100,000 population									0	0.28	0	0	52.13	10.482	2017	52.13	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	76	-53.08432878	-10.77668561	BRA	Brazil	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	84	-88.70199554	17.19965901	BLZ	Belize	1	PER_100000_POP	Per 100,000 population	0		5.36	3015.37	38.23	2745.27	0								2011	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	PER_100000_POP	Per 100,000 population		0	5684.06	0	81.96	270.56	7.41	34.81	1327.39	0				663.695	2014	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	100	25.23763153	42.75731323	BGR	Bulgaria	1	PER_100000_POP	Per 100,000 population													0	0	2017	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	104	96.51752295	21.19332882	MMR	Myanmar	1	PER_100000_POP	Per 100,000 population	26.78	35.3	7.19	1498.62	47.64	11.26	335.94	356.11	446.3	1572.75	8472.9	4063.85	704.19	3051.998	2017	704.19	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	108	29.89080992	-3.366387428	BDI	Burundi	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	112	28.04940161	53.54193075	BLR	Belarus	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	116	104.922836	12.71163737	KHM	Cambodia	1	PER_100000_POP	Per 100,000 population	74.9	80.04	80.71	107.78	262.37	226.66	130.63	120.88	531.47	57.62	268.07	308.3	466.87	326.466	2017	466.87	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	120	12.7419827	5.692387031	CMR	Cameroon	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	124	-101.6575058	57.72360191	CAN	Canada	1	PER_100000_POP	Per 100,000 population																		
2018.Q2.G.01	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	PER_100000_POP	Per 100,000 population		0		0	0					0	0		0.93	0.31	2017	0.93	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
