ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_1990,Footnotes_1991,Footnotes_1992,Footnotes_1993,Footnotes_1994,Footnotes_1995,Footnotes_1996,Footnotes_1997,Footnotes_1998,Footnotes_1999,Footnotes_2000,Footnotes_2001,Footnotes_2002,Footnotes_2003,Footnotes_2004,Footnotes_2005,Footnotes_2006,Footnotes_2007,Footnotes_2008,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Nature_Code_1990,Nature_Code_1991,Nature_Code_1992,Nature_Code_1993,Nature_Code_1994,Nature_Code_1995,Nature_Code_1996,Nature_Code_1997,Nature_Code_1998,Nature_Code_1999,Nature_Code_2000,Nature_Code_2001,Nature_Code_2002,Nature_Code_2003,Nature_Code_2004,Nature_Code_2005,Nature_Code_2006,Nature_Code_2007,Nature_Code_2008,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Source_1990,Source_1991,Source_1992,Source_1993,Source_1994,Source_1995,Source_1996,Source_1997,Source_1998,Source_1999,Source_2000,Source_2001,Source_2002,Source_2003,Source_2004,Source_2005,Source_2006,Source_2007,Source_2008,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,TimeDetail_1990,TimeDetail_1991,TimeDetail_1992,TimeDetail_1993,TimeDetail_1994,TimeDetail_1995,TimeDetail_1996,TimeDetail_1997,TimeDetail_1998,TimeDetail_1999,TimeDetail_2000,TimeDetail_2001,TimeDetail_2002,TimeDetail_2003,TimeDetail_2004,TimeDetail_2005,TimeDetail_2006,TimeDetail_2007,TimeDetail_2008,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,Value_1990,Value_1991,Value_1992,Value_1993,Value_1994,Value_1995,Value_1996,Value_1997,Value_1998,Value_1999,Value_2000,Value_2001,Value_2002,Value_2003,Value_2004,Value_2005,Value_2006,Value_2007,Value_2008,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Latest_Year,Latest_Value
,,,1,World,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,0.33,0.34,0.34,0.35,0.32,0.32,0.37,0.37,0.37,0.37,0.41,0.45,0.50,0.51,0.55,0.59,0.62,0.65,0.66,0.65,0.65,0.67,0.69,0.71,0.76,0.72,2016.0,0.72
BGR,25.23763153,42.75731323,100,Bulgaria,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.45,0.35,0.32,0.44,5.84,7.19,8.15,6.60,5.41,5.00,3.78,3.53,3.07,2.63,2.58,2.69,2.99,2.97,2.98,3.13,2016.0,3.13
MMR,96.51752295,21.19332882,104,Myanmar,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,1.79,1.55,0.81,1.10,1.08,0.79,0.40,0.17,0.15,0.23,0.21,0.46,2.73,0.43,0.65,1.08,2016.0,1.08
BDI,29.89080992,-3.366387428,108,Burundi,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.01,0.00,0.01,0.23,1.62,1.70,1.93,1.88,1.79,1.82,1.66,1.04,2016.0,1.04
,,,11,Western Africa,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.10,1.22,2.78,2.41,2.36,2.26,3.45,3.09,2.64,2.65,2.51,2.24,2.12,2.69,9.48,8.64,8.06,7.10,7.83,4.81,4.98,4.56,4.14,3.94,5.07,5.05,2016.0,5.05
BLR,28.04940161,53.54193075,112,Belarus,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.20,0.63,0.33,0.35,0.51,0.90,0.54,0.55,0.92,1.03,0.66,0.73,0.64,0.96,1.02,1.01,1.44,1.60,1.61,1.56,1.65,2.03,2016.0,2.03
KHM,104.922836,12.71163737,116,Cambodia,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.40,0.34,0.33,0.34,2.31,2.34,2.81,2.83,2.87,2.75,2.76,2.60,2.53,2.15,1.82,1.37,1.36,1.25,1.23,1.14,2.25,2.22,1.85,2016.0,1.85
DZA,2.678164227,28.15940032,12,Algeria,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,2.82,2.90,2.28,3.28,2.68,1.87,2.20,2.20,1.62,1.44,1.22,1.89,2.58,2.88,0.16,0.16,0.07,0.06,0.11,0.12,0.10,0.10,0.10,0.14,0.17,0.17,2016.0,0.17
CMR,12.7419827,5.692387031,120,Cameroon,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.06,0.22,0.13,0.11,0.12,0.13,0.13,0.21,0.14,0.22,0.16,0.25,0.52,0.59,0.43,0.67,0.75,0.61,0.71,0.44,0.75,0.72,0.75,0.81,0.78,0.75,2016.0,0.75
CAN,-101.6575058,57.72360191,124,Canada,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.09,0.08,0.08,0.10,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.09,0.09,2016.0,0.09
