series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)	4	66.02688198	33.83160199	AFG	Afghanistan	1	MJ_PER_GDP_CON_PPP_USD	Megajoules per USD constant 2011 PPP GDP	1.69	1.83	1.36	1.34	1.14	1.27	1.41	1.46	2.15	2.62	2.94	3.76	2.98	2.52	2.32	2.46	2.808	2015	2.46	Source: Energy Balances, UN Statistics Division (2017)	E
2018.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)	8	20.06660928	41.13897007	ALB	Albania	1	MJ_PER_GDP_CON_PPP_USD	Megajoules per USD constant 2011 PPP GDP	4.44	4.2	4.44	4.1	4.27	4.04	3.74	3.37	3.25	3.22	3.08	3.14	2.78	3.19	3.16	2.89	3.032	2015	2.89	Source: World Energy Balances, IEA (2017)	E
2018.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)	10	21.47585697	-80.40897662	ATA	Antarctica	1	MJ_PER_GDP_CON_PPP_USD	Megajoules per USD constant 2011 PPP GDP																					
2018.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)	12	2.678164227	28.15940032	DZA	Algeria	1	MJ_PER_GDP_CON_PPP_USD	Megajoules per USD constant 2011 PPP GDP	3.55	3.45	3.5	3.47	3.37	3.31	3.48	3.58	3.54	3.8	3.61	3.66	3.89	3.92	4.1	4.13	3.94	2015	4.13	Source: World Energy Balances, IEA (2017)	E
2018.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	MJ_PER_GDP_CON_PPP_USD	Megajoules per USD constant 2011 PPP GDP																					
2018.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)	20	1.576257417	42.54548611	AND	Andorra	1	MJ_PER_GDP_CON_PPP_USD	Megajoules per USD constant 2011 PPP GDP																					
2018.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)	24	17.57817062	-12.33724746	AGO	Angola	1	MJ_PER_GDP_CON_PPP_USD	Megajoules per USD constant 2011 PPP GDP	5.22	5.23	5.88	6.03	5.59	4.57	4.15	3.61	3.44	3.65	3.7	3.7	3.86	3.62	3.65	3.61	3.688	2015	3.61	Source: World Energy Balances, IEA (2017)	E
2018.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	MJ_PER_GDP_CON_PPP_USD	Megajoules per USD constant 2011 PPP GDP	3.22	3.42	3.61	3.67	3.62	3.48	3.21	3.09	3.16	3.79	4.15	4.15	4.1	4.11	3.96	3.89	4.042	2015	3.89	Source: Energy Balances, UN Statistics Division (2017)	E
2018.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	MJ_PER_GDP_CON_PPP_USD	Megajoules per USD constant 2011 PPP GDP	13.18	12.15	11.09	10.49	10.01	8.32	6.1	4.46	4.43	3.63	3.36	3.64	3.88	3.72	3.76	3.73	3.746	2015	3.73	Source: World Energy Balances, IEA (2017)	E
2018.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)	32	-65.14563274	-35.19446255	ARG	Argentina	1	MJ_PER_GDP_CON_PPP_USD	Megajoules per USD constant 2011 PPP GDP	4.67	4.64	5.07	4.98	4.99	4.61	4.64	4.32	4.37	4.51	4.27	4.12	4.18	4.19	4.34	4.34	4.234	2015	4.34	Source: World Energy Balances, IEA (2017)	E
