"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBSVR","Developing countries’ and least developed countries’ share of global services imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00",2016.0,"100.00","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Estimate based on BPM5. "
"2","Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBSVR","Developing countries’ and least developed countries’ share of global services imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","2.58","2.72","2.67","2.64","2.74","2.95","3.21","3.43","3.89","3.94","4.02","4.00","3.90","3.75","3.63","3.37","3.01",2016.0,"3.01","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","[2000-2004]: Estimate based on BPM5. Excluding Mayotte, Réunion. // [2005-2016]: Excluding Mayotte, Réunion."
"5","South America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBSVR","Developing countries’ and least developed countries’ share of global services imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","2.75","2.74","2.19","2.02","1.95","2.20","2.25","2.50","2.71","2.92","3.28","3.52","3.62","3.61","3.36","3.09","2.88",2016.0,"2.88","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Estimate based on BPM5. "
"9","Oceania","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBSVR","Developing countries’ and least developed countries’ share of global services imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.58","1.44","1.51","1.58","1.66","1.66","1.56","1.63","1.64","1.59","1.76","1.89","1.94","1.87","1.62","1.54","1.50",2016.0,"1.50","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Estimate based on BPM5. "
"11","Western Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBSVR","Developing countries’ and least developed countries’ share of global services imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.46","0.55","0.56","0.58","0.57","0.56","0.79","0.85","0.95","0.90","0.91","0.93","0.91","0.87","0.88","0.84","0.67",2016.0,"0.67","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Estimate based on BPM5. "
"13","Central America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBSVR","Developing countries’ and least developed countries’ share of global services imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.49","1.46","1.44","1.30","1.19","1.16","1.09","0.99","0.91","0.97","0.94","1.00","0.98","0.97","0.95","0.99","0.99",2016.0,"0.99","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Estimate based on BPM5. "
"14","Eastern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBSVR","Developing countries’ and least developed countries’ share of global services imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.38","0.39","0.37","0.33","0.32","0.34","0.33","0.35","0.37","0.40","0.43","0.49","0.56","0.53","0.51","0.51","0.51",2016.0,"0.51","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","[2000-2004]: Estimate based on BPM5. Excluding Mayotte, Réunion, South Sudan. // [2005-2011]: Excluding Mayotte, Réunion, South Sudan. // [2012-2016]: Excluding Mayotte, Réunion."
"15","Northern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBSVR","Developing countries’ and least developed countries’ share of global services imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.89","0.89","0.88","0.82","0.85","0.96","0.97","1.00","1.16","1.22","1.20","1.07","1.08","1.03","1.01","0.97","0.94",2016.0,"0.94","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","[2000-2004]: Estimate based on BPM5. Including South Sudan.  // [2005-2011]: Including South Sudan. "
"17","Middle Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBSVR","Developing countries’ and least developed countries’ share of global services imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.40","0.49","0.47","0.43","0.49","0.56","0.57","0.70","0.92","0.91","0.89","0.95","0.86","0.87","0.84","0.67","0.54",2016.0,"0.54","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Estimate based on BPM5. "
"18","Southern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_IMP_GBSVR","Developing countries’ and least developed countries’ share of global services imports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.44","0.39","0.38","0.48","0.51","0.53","0.54","0.53","0.49","0.51","0.59","0.56","0.49","0.45","0.39","0.38","0.35",2016.0,"0.35","[2005-2016]: Country adjusted data // [2000-2004]: Estimated data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Estimate based on BPM5. "
