"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2001","Footnotes_2002","Footnotes_2003","Footnotes_2004","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Footnotes_2017","Nature_Code_2000","Nature_Code_2001","Nature_Code_2002","Nature_Code_2003","Nature_Code_2004","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Nature_Code_2017","Source_2000","Source_2001","Source_2002","Source_2003","Source_2004","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","Source_2017","TimeDetail_2000","TimeDetail_2001","TimeDetail_2002","TimeDetail_2003","TimeDetail_2004","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","TimeDetail_2017","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value"
"BGR","25.23763153","42.75731323","100","Bulgaria","1","End poverty in all its forms everywhere","1.a","Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions","1.a.2","Proportion of total government spending on essential services (education, health and social protection)","2","SD_XPD_ESED","Proportion of total government spending on essential services, education (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","C","","","","","","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","","","","","","","","","","","","","","","","","","","","","","","","9.27774","9.65432","11.18025","6.703","12.07252","12.01048","11.11392","12.61226","12.65675","11.16342","11.10005","10.69092","11.4398","","","","",2013.0,"11.4398"
"MMR","96.51752295","21.19332882","104","Myanmar","1","End poverty in all its forms everywhere","1.a","Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions","1.a.2","Proportion of total government spending on essential services (education, health and social protection)","2","SD_XPD_ESED","Proportion of total government spending on essential services, education (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","","","","UNESCO Institute of Statistics (UIS).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3992","","","","","","",2011.0,"5.3992"
"BDI","29.89080992","-3.366387428","108","Burundi","1","End poverty in all its forms everywhere","1.a","Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions","1.a.2","Proportion of total government spending on essential services (education, health and social protection)","2","SD_XPD_ESED","Proportion of total government spending on essential services, education (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","C","C","C","","C","C","","","C","C","C","C","C","C","","","","","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","","","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","","","","","","","","","","","","","","","","","","","","","","","10.73526","11.43313","12.48608","","9.17908","10.95927","","","12.61554","16.30169","16.5881","14.9793","16.42832","17.24326","","","","",2013.0,"17.24326"
"BLR","28.04940161","53.54193075","112","Belarus","1","End poverty in all its forms everywhere","1.a","Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions","1.a.2","Proportion of total government spending on essential services (education, health and social protection)","2","SD_XPD_ESED","Proportion of total government spending on essential services, education (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","C","C","C","C","","C","C","C","C","C","C","C","C","","","","","","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","","","","","","","","","","","","","","","","","","","","","","","","12.55235","12.62011","12.45032","10.13372","","8.44955","11.77813","11.62665","12.7523","12.27399","12.40672","11.01362","10.79874","",2016.0,"10.79874"
"KHM","104.922836","12.71163737","116","Cambodia","1","End poverty in all its forms everywhere","1.a","Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions","1.a.2","Proportion of total government spending on essential services (education, health and social protection)","2","SD_XPD_ESED","Proportion of total government spending on essential services, education (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","C","C","C","","C","","","C","","C","C","C","C","C","C","","","","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","","UNESCO Institute of Statistics (UIS).","","","UNESCO Institute of Statistics (UIS).","","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","","","","","","","","","","","","","","","","","","","","","","11.07901","11.38079","10.13757","","12.40431","","","11.10351","","8.38663","7.7071","7.68447","7.53576","9.91272","9.09353","","","",2014.0,"9.09353"
"DZA","2.678164227","28.15940032","12","Algeria","1","End poverty in all its forms everywhere","1.a","Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions","1.a.2","Proportion of total government spending on essential services (education, health and social protection)","2","SD_XPD_ESED","Proportion of total government spending on essential services, education (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","","","","UNESCO Institute of Statistics (UIS).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.42835","","","","","","","","","",2008.0,"11.42835"
"CMR","12.7419827","5.692387031","120","Cameroon","1","End poverty in all its forms everywhere","1.a","Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions","1.a.2","Proportion of total government spending on essential services (education, health and social protection)","2","SD_XPD_ESED","Proportion of total government spending on essential services, education (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","C","C","","C","C","C","C","C","C","C","C","C","C","C","","","","","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","","","","","","","","","","","","","","","","","","","","","","","11.6837","15.73394","","21.44202","20.84712","21.37761","20.31265","21.56822","15.58864","19.77979","18.75389","14.86777","15.17622","13.82495","","","","",2013.0,"13.82495"
"CAN","-101.6575058","57.72360191","124","Canada","1","End poverty in all its forms everywhere","1.a","Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions","1.a.2","Proportion of total government spending on essential services (education, health and social protection)","2","SD_XPD_ESED","Proportion of total government spending on essential services, education (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","C","C","C","","","C","","C","C","C","C","C","","","","","","","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","","","UNESCO Institute of Statistics (UIS).","","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","","","","","","","","","","","","","","","","","","","","","","","","","12.9826","12.21224","12.1479","","","12.17807","","12.32856","12.00996","12.48364","12.33596","12.21914","","","","","","",2011.0,"12.21914"
"CPV","-23.63544151","15.07791834","132","Cabo Verde","1","End poverty in all its forms everywhere","1.a","Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions","1.a.2","Proportion of total government spending on essential services (education, health and social protection)","2","SD_XPD_ESED","Proportion of total government spending on essential services, education (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","C","","C","","C","C","C","C","C","C","","C","C","C","C","","","","UNESCO Institute of Statistics (UIS).","","UNESCO Institute of Statistics (UIS).","","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","","","","","","","","","","","","","","","","","","","","","","19.76623","","20.84048","","17.54058","18.32875","18.24099","15.88655","14.2169","15.15328","","14.77823","16.28219","16.74823","17.88742","",2016.0,"17.88742"
"CAF","20.93559492","7.003720791","140","Central African Republic","1","End poverty in all its forms everywhere","1.a","Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions","1.a.2","Proportion of total government spending on essential services (education, health and social protection)","2","SD_XPD_ESED","Proportion of total government spending on essential services, education (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","C","","C","C","C","C","C","C","C","C","C","C","","","","","","","UNESCO Institute of Statistics (UIS).","","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","UNESCO Institute of Statistics (UIS).","","","","","","","","","","","","","","","","","","","","","","","","","9.93077","","9.21473","12.02802","12.06446","9.68047","10.05424","9.86948","7.86","7.83693","6.47538","7.82546","","","","","","",2011.0,"7.82546"
