"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2015.0","Value_2016.0","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Both sexes","339","366","314",2017.0,"314","Data nature not available","The figures included here concern only verified cases of human rights defenders, journalists and trade unionists killed. OHCHR, UNESCO and ILO does not collect data on the number of cases of kidnapping, enforced disappearance, arbitrary detention or torture of human rights defenders, journalists and trade unionists.","[2015]: Incidents that occurred from 1 Jan to 31 Dec 2015 compiled by OHCHR in collaboration with UNESCO and ILO, as of 28 February 2018 // [2016]: Incidents that occurred from 1 Jan to 31 Dec 2016 compiled by OHCHR in collaboration with UNESCO and ILO, as of 28 February 2018 // [2017]: Incidents that occurred from 1 Jan to 31 October 2017 compiled by OHCHR in collaboration with UNESCO and ILO, as of 28 February 2018"
"1","World","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","44","45","38",2017.0,"38","Data nature not available","[2016-2017]: The figures included here concern only verified cases of human rights defenders, journalists and trade unionists killed. OHCHR, UNESCO and ILO does not collect data on the number of cases of kidnapping, enforced disappearance, arbitrary detention or torture of human rights defenders, journalists and trade unionists. // [2015]: The figures included here concern only verified cases of human rights defenders, journalists and trade unionists killed. OHCHR, UNESCO and ILO does not collect data on the number of cases of kidnapping, enforced disappearance, arbitrary detention or torture of human rights defenders, journalists and trade unionists. Due to limitations in data coverage and given the sensitive nature of the data, country data is only available on request from OHCHR. ","[2015]: Incidents that occurred from 1 Jan to 31 Dec 2015 compiled by OHCHR in collaboration with UNESCO and ILO, as of 28 February 2018 // [2016]: Incidents that occurred from 1 Jan to 31 Dec 2016 compiled by OHCHR in collaboration with UNESCO and ILO, as of 28 February 2018 // [2017]: Incidents that occurred from 1 Jan to 31 October 2017 compiled by OHCHR in collaboration with UNESCO and ILO, as of 28 February 2018"
"1","World","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","MALE","Male","295","321","276",2017.0,"276","Data nature not available","The figures included here concern only verified cases of human rights defenders, journalists and trade unionists killed. OHCHR, UNESCO and ILO does not collect data on the number of cases of kidnapping, enforced disappearance, arbitrary detention or torture of human rights defenders, journalists and trade unionists.","[2015]: Incidents that occurred from 1 Jan to 31 Dec 2015 compiled by OHCHR in collaboration with UNESCO and ILO, as of 28 February 2018 // [2016]: Incidents that occurred from 1 Jan to 31 Dec 2016 compiled by OHCHR in collaboration with UNESCO and ILO, as of 28 February 2018 // [2017]: Incidents that occurred from 1 Jan to 31 October 2017 compiled by OHCHR in collaboration with UNESCO and ILO, as of 28 February 2018"
"2","Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Both sexes","","","","","","","",""
"2","Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","",""
"2","Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","MALE","Male","","","","","","","",""
"5","South America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Both sexes","","","","","","","",""
"5","South America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","",""
"5","South America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","MALE","Male","","","","","","","",""
"9","Oceania","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Both sexes","","","","","","","",""
