ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Age_Code,Age_Desc,Sex_Code,Sex_Desc,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2000,Footnotes_2001,Footnotes_2002,Footnotes_2003,Footnotes_2004,Footnotes_2005,Footnotes_2006,Footnotes_2007,Footnotes_2008,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Footnotes_2017,Footnotes_2018,Nature_Code_2000,Nature_Code_2001,Nature_Code_2002,Nature_Code_2003,Nature_Code_2004,Nature_Code_2005,Nature_Code_2006,Nature_Code_2007,Nature_Code_2008,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Nature_Code_2017,Nature_Code_2018,Source_2000,Source_2001,Source_2002,Source_2003,Source_2004,Source_2005,Source_2006,Source_2007,Source_2008,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,Source_2017,Source_2018,TimeDetail_2000,TimeDetail_2001,TimeDetail_2002,TimeDetail_2003,TimeDetail_2004,TimeDetail_2005,TimeDetail_2006,TimeDetail_2007,TimeDetail_2008,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,TimeDetail_2017,TimeDetail_2018,Value_2000,Value_2001,Value_2002,Value_2003,Value_2004,Value_2005,Value_2006,Value_2007,Value_2008,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Value_2017,Value_2018,Latest_Year,Latest_Value
,,,1,World,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",E,,,,,E,,,,,E,,,,,E,,,E,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,,,,,,,,,,,,,,,,74.9,,,,,75.8,,,,,76.6,,,,,77.2,,,77.4,2018.0,77.4
MMR,96.51752295,21.19332882,104,Myanmar,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,Data pertain to a non-standard definition of unmet need for family planning.,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,Myanmar 2001 Fertility and Reproductive Health Survey,,,,,,,,,,,,,,,Myanmar 2015-2016 Demographic and Health Survey,,,,,,,,,,,,,,,,,,,,,,,58.5,,,,,,,,,,,,,,,75.0,,,2016.0,75.0
BDI,29.89080992,-3.366387428,108,Burundi,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,Data pertain to a non-standard definition of unmet need for family planning.,,,,,,,,,,,,,,,Preliminary data.,,,,C,,,,,,,,,,,,,,,C,,,,Burundi 2002 Enquête Socio-démographique et de Santé de la Reproduction,,,,,,,,,,,,,,,Burundi 2016 Demographic and Health Survey (DHS),,,,,,,,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,39.3,,2017.0,39.3
BLR,28.04940161,53.54193075,112,Belarus,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,"Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception.",,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,Belarus 2012 Multiple Indicator Cluster Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.2,,,,,,,2012.0,74.2
KHM,104.922836,12.71163737,116,Cambodia,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,C,,,,,,C,,,,,C,,,C,,,,,Cambodia 2000 Demographic and Health Survey,,,,,,Cambodia 2005 Demographic and Health Survey,,,,,Cambodia 2010 Demographic and Health Survey,,,Cambodia 2014 Demographic and Health Survey,,,,,,,,,,,,,,,,,,,,,,,,33.1,,,,,,41.7,,,,,51.8,,,56.4,,,,,2014.0,56.4
DZA,2.678164227,28.15940032,12,Algeria,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,"Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception.",,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,Algeria 2012-2013 Multiple Indicator Cluster Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.2,,,,,,2013.0,77.2
CMR,12.7419827,5.692387031,120,Cameroon,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,Figures by method do not add up to the total.,,,,,,,,,C,,,,,,,C,,,C,,,,,,,,,Cameroon 2004 Demographic and Health Survey,,,,,,,Cameroon 2011 Demographic and Health Survey,,,Cameroon 2014 Multiple Indicator Cluster Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,,,,,,,30.7,,,40.1,,,,,2014.0,40.1
CPV,-23.63544151,15.07791834,132,Cabo Verde,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,Cape Verde 2005 Demographic and Reproductive Health Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2,,,,,,,,,,,,,,2005.0,73.2
CAF,20.93559492,7.003720791,140,Central African Republic,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,"Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception.",,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,Central African Republic 2010 Multiple Indicator Cluster Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,,,,,,,,2011.0,28.7
,,,143,Central Asia,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",E,,,,,E,,,,,E,,,,,E,,,E,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,,,,,,,,,,,,,,,,74.3,,,,,76.1,,,,,76.1,,,,,76.8,,,77.4,2018.0,77.4
