"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2015","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","","",""
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","","","","",""
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","29.1",2015.0,"29.1","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"8","Albania","ALB","20.06660928","41.13897007","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","7.3",2015.0,"7.3","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"8","Albania","ALB","20.06660928","41.13897007","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","51.7",2015.0,"51.7","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"10","Antarctica","ATA","21.47585697","-80.40897662","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","0.8",2015.0,"0.8","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"12","Algeria","DZA","2.678164227","28.15940032","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","15.6",2015.0,"15.6","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
