GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,TypeOfSkill_Code,TypeOfSkill_Desc,ReportingType_Code,ReportingType_Desc,Nature_Code,Nature_Desc,Units_Code,Units_Desc,GeoArea_Code,GeoArea_Desc,Year,TimeDetail,Value,ValueType,Source,Footnotes,ISO3CD,X,Y
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_SEP_FUNPROF,Low to high socio-economic parity status index achieving at least a fixed level of proficiency in functional numeracy skills  (ratio),2019.Q1.G.01,LITE,Literacy,G,Global,C,Country data,Ratio,Ratio,51,Armenia,2013.0,,0.99961,Float,Skills Measurement Program (World Bank),,ARM,44.93839317,40.29499741
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_SEP_FUNPROF,Low to high socio-economic parity status index achieving at least a fixed level of proficiency in functional numeracy skills  (ratio),2019.Q1.G.01,NUME,Numeracy,G,Global,C,Country data,Ratio,Ratio,40,Austria,2012.0,,0.96651,Float,Programme for the International Assessment of Adult Competencies (OECD),,AUT,14.14172472,47.58704857
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_SEP_FUNPROF,Low to high socio-economic parity status index achieving at least a fixed level of proficiency in functional numeracy skills  (ratio),2019.Q1.G.01,LITE,Literacy,G,Global,C,Country data,Ratio,Ratio,40,Austria,2012.0,,0.97929,Float,Programme for the International Assessment of Adult Competencies (OECD),,AUT,14.14172472,47.58704857
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_SEP_FUNPROF,Low to high socio-economic parity status index achieving at least a fixed level of proficiency in functional numeracy skills  (ratio),2019.Q1.G.01,LITE,Literacy,G,Global,C,Country data,Ratio,Ratio,68,Bolivia (Plurinational State of),2012.0,,0.75661,Float,Skills Measurement Program (World Bank),,BOL,-64.66224284,-16.71273412
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_SEP_FUNPROF,Low to high socio-economic parity status index achieving at least a fixed level of proficiency in functional numeracy skills  (ratio),2019.Q1.G.01,NUME,Numeracy,G,Global,C,Country data,Ratio,Ratio,124,Canada,2012.0,,0.97661,Float,Programme for the International Assessment of Adult Competencies (OECD),,CAN,-101.6575058,57.72360191
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_SEP_FUNPROF,Low to high socio-economic parity status index achieving at least a fixed level of proficiency in functional numeracy skills  (ratio),2019.Q1.G.01,LITE,Literacy,G,Global,C,Country data,Ratio,Ratio,124,Canada,2012.0,,0.98371,Float,Programme for the International Assessment of Adult Competencies (OECD),,CAN,-101.6575058,57.72360191
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_SEP_FUNPROF,Low to high socio-economic parity status index achieving at least a fixed level of proficiency in functional numeracy skills  (ratio),2019.Q1.G.01,LITE,Literacy,G,Global,C,Country data,Ratio,Ratio,170,Colombia,2012.0,,0.93766,Float,Skills Measurement Program (World Bank),,COL,-73.07446751,3.888209046
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_SEP_FUNPROF,Low to high socio-economic parity status index achieving at least a fixed level of proficiency in functional numeracy skills  (ratio),2019.Q1.G.01,LITE,Literacy,G,Global,C,Country data,Ratio,Ratio,203,Czechia,2012.0,,0.97232,Float,Programme for the International Assessment of Adult Competencies (OECD),,CZE,15.33151382,49.73913871
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_SEP_FUNPROF,Low to high socio-economic parity status index achieving at least a fixed level of proficiency in functional numeracy skills  (ratio),2019.Q1.G.01,NUME,Numeracy,G,Global,C,Country data,Ratio,Ratio,203,Czechia,2012.0,,0.97312,Float,Programme for the International Assessment of Adult Competencies (OECD),,CZE,15.33151382,49.73913871
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",1,SE_SEP_FUNPROF,Low to high socio-economic parity status index achieving at least a fixed level of proficiency in functional numeracy skills  (ratio),2019.Q1.G.01,NUME,Numeracy,G,Global,C,Country data,Ratio,Ratio,208,Denmark,2012.0,,0.96473,Float,Programme for the International Assessment of Adult Competencies (OECD),,DNK,9.326571283,56.03829721
