"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2005.0","Value_2010.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","49","53","56","59","59",2016.0,"59","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)."
"2","Africa","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","",""
"5","South America","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","",""
"9","Oceania","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","78","78","78","78","78",2016.0,"78","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)."
"11","Western Africa","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","",""
"13","Central America","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","",""
"14","Eastern Africa","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","",""
"15","Northern Africa","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","74","80","84","86","87",2016.0,"87","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)."
"17","Middle Africa","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","",""
"18","Southern Africa","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","",""
"19","Americas","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","",""
"21","Northern America","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global",">95",">95",">95",">95",">95",2016.0,">95","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)."
"29","Caribbean","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","",""
"30","Eastern Asia","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","52","56","59","62","63",2016.0,"63","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)."
"34","Southern Asia","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","23","29","35","40","41",2016.0,"41","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)."
"35","South-Eastern Asia","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","23","32","45","55","56",2016.0,"56","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)."
"39","Southern Europe","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","",""
"53","Australia and New Zealand","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global",">95",">95",">95",">95",">95",2016.0,">95","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)."
