"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00",2016.0,"100.00","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
"2","Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","2.29","2.24","2.23","2.36","2.60","2.96","3.06","3.11","3.48","3.13","3.41","3.33","3.46","3.18","2.92","2.36","2.18",2016.0,"2.18","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Excluding Mayotte, Réunion."
"5","South America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","2.57","2.59","2.50","2.47","2.71","3.01","3.16","3.16","3.32","3.29","3.42","3.64","3.57","3.40","3.15","2.81","2.74",2016.0,"2.74","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
"9","Oceania","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.28","1.32","1.29","1.22","1.23","1.28","1.27","1.26","1.41","1.48","1.65","1.75","1.65","1.59","1.56","1.42","1.47",2016.0,"1.47","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
"11","Western Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.48","0.45","0.46","0.49","0.59","0.65","0.66","0.63","0.70","0.68","0.76","0.86","0.86","0.78","0.74","0.54","0.45",2016.0,"0.45","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
"13","Central America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","2.84","2.81","2.75","2.44","2.27","2.32","2.34","2.21","2.06","2.13","2.23","2.20","2.31","2.29","2.37","2.61","2.64",2016.0,"2.64","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
"14","Eastern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.15","0.17","0.17","0.16","0.16","0.16","0.17","0.17","0.17","0.20","0.21","0.21","0.23","0.22","0.23","0.23","0.23",2016.0,"0.23","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","[2000-2011]: Excluding Mayotte, Réunion, South Sudan. // [2012-2016]: Excluding Mayotte, Réunion."
"15","Northern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.85","0.81","0.78","0.85","0.92","1.11","1.17","1.18","1.36","1.13","1.16","0.94","1.11","0.97","0.83","0.64","0.62",2016.0,"0.62","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.","Including South Sudan. "
"17","Middle Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.26","0.26","0.28","0.30","0.35","0.47","0.51","0.55","0.69","0.57","0.60","0.65","0.66","0.61","0.56","0.38","0.33",2016.0,"0.33","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
"18","Southern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","17.11.1","Developing countries’ and least developed countries’ share of global exports","1","TX_EXP_GBMRCH","Developing countries’ and least developed countries’ share of global merchandise exports (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.54","0.55","0.53","0.56","0.59","0.58","0.56","0.57","0.57","0.56","0.67","0.67","0.61","0.59","0.57","0.57","0.56",2016.0,"0.56","Country adjusted data","UNCTADstat (available at http://unctadstat.unctad.org/EN/). Data compiled by UNCTAD and WTO.",""
