"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANF","Manufacturing value added as a proportion of GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","15.14685","14.844","14.78653","15.01391","15.24388","15.24236","15.56688","15.82274","15.70605","14.96671","15.77711","15.92747","15.88201","15.93923","16.04739","16.12804","16.17672","16.27306",2017.0,"16.27306","Modeled data","UNIDO MVA 2018 Database. Available at https://stat.unido.org","NA"
"2","Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANF","Manufacturing value added as a proportion of GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"5","South America","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANF","Manufacturing value added as a proportion of GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"9","Oceania","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANF","Manufacturing value added as a proportion of GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"11","Western Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANF","Manufacturing value added as a proportion of GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"13","Central America","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANF","Manufacturing value added as a proportion of GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"14","Eastern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANF","Manufacturing value added as a proportion of GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"15","Northern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANF","Manufacturing value added as a proportion of GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"17","Middle Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANF","Manufacturing value added as a proportion of GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"18","Southern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANF","Manufacturing value added as a proportion of GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"19","Americas","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANF","Manufacturing value added as a proportion of GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"21","Northern America","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANF","Manufacturing value added as a proportion of GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"29","Caribbean","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANF","Manufacturing value added as a proportion of GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"30","Eastern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANF","Manufacturing value added as a proportion of GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"34","Southern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANF","Manufacturing value added as a proportion of GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","13.33698","13.49376","13.62214","13.53893","13.75408","14.11841","14.64734","14.61294","14.7541","15.11314","15.12075","15.21788","15.28789","15.23202","14.98932","15.31955","15.48512","15.63774",2017.0,"15.63774","Modeled data","UNIDO MVA 2018 Database. Available at https://stat.unido.org","NA"
