series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Type of product	Units	Type of product description	Units description	years	value	valueType	time_detail	source	Nature
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	630	-66.47591017	18.22753799	PRI	Puerto Rico	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	620	-7.961599811	39.68509315	PRT	Portugal	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	652	-62.83173536	17.89513362	BLM	Saint Barthélemy	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	634	51.19152467	25.28355379	QAT	Qatar	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	616	19.40660158	52.1226733	POL	Poland	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	624	-14.40182514	12.11760394	GNB	Guinea-Bissau	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	626	125.9451052	-8.797497247	TLS	Timor-Leste	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	654	-5.705752501	-15.96503946	SHN	Saint Helena	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	638	55.53171398	-21.13183266	REU	Réunion	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	662	-60.96529553	13.89405601	LCA	Saint Lucia	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	646	29.92310194	-1.999842114	RWA	Rwanda	2	MAZ	INDEX	maize	Index	2016	1	Float		FAO/GIEWS/FPMA-Tool	G
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	670	-61.19024321	13.24627968	VCT	Saint Vincent and the Grenadines	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	659	-62.76628613	17.33994219	KNA	Saint Kitts and Nevis	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	642	24.98481009	45.83893563	ROU	Romania	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	663	-63.04505461	18.0882685	MAF	Saint Martin (French Part)	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	876	-176.2034788	-13.28471201	WLF	Wallis and Futuna Islands	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	674	12.46329038	43.93841766	SMR	San Marino	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	660	-63.05651612	18.21525315	AIA	Anguilla	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	643	99.01404926	61.61899849	RUS	Russian Federation	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	666	-56.33682442	46.85812735	SPM	Saint Pierre and Miquelon	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	882	-172.4430749	-13.61541469	WSM	Samoa	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	678	6.609772265	0.241554875	STP	Sao Tome and Principe	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	4	66.02688198	33.83160199	AFG	Afghanistan	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	862	-66.15642084	7.121324748	VEN	Venezuela (Bolivarian Republic)	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	768	0.97835765	8.532096072	TGO	Togo	2	MAZ	INDEX	maize	Index	2016	0.01	Float		FAO/GIEWS/FPMA-Tool	G
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	887	45.22389143	15.22242099	YEM	Yemen	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	682	44.54763347	24.12594211	SAU	Saudi Arabia	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	8	20.06660928	41.13897007	ALB	Albania	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	690	55.46561591	-4.678053059	SYC	Seychelles	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	772	-171.8154473	-9.214545558	TKL	Tokelau	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	894	27.850329	-14.59701056	ZMB	Zambia	2	MAZ	INDEX	maize	Index	2016	0.5	Float		FAO/GIEWS/FPMA-Tool	G
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	686	-14.46636926	14.35920905	SEN	Senegal	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	10	21.47585697	-80.40897662	ATA	Antarctica	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	694	-11.78306584	8.568604164	SLE	Sierra Leone	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	776	-175.1959991	-21.19511329	TON	Tonga	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	266	11.78727747	-0.60687619	GAB	Gabon	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	688	20.805876	44.03145697	SRB	Serbia	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	12	2.678164227	28.15940032	DZA	Algeria	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	702	103.8107883	1.361009155	SGP	Singapore	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	780	-61.29389504	10.41877263	TTO	Trinidad and Tobago	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	268	43.3713615	42.04813028	GEO	Georgia	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	792	35.42890329	38.9899684	TUR	Turkey	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	16	-170.7187269	-14.30587306	ASM	American Samoa	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	703	19.48495604	48.70741446	SVK	Slovakia	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	784	53.98279159	23.43322219	ARE	United Arab Emirates	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	270	-15.39944785	13.45295927	GMB	Gambia	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	795	58.9787665	40.0912346	TKM	Turkmenistan	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	20	1.576257417	42.54548611	AND	Andorra	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	704	105.802499	10.09643079	VNM	Viet Nam	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	788	9.572737411	34.11439971	TUN	Tunisia	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	275	35.25694122	31.94347933	PSE	State of Palestine	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	796	-71.745121	21.80780585	TCA	Turks and Caicos Islands	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	24	17.57817062	-12.33724746	AGO	Angola	2	MAZ	INDEX	maize	Index	2016	-0.06	Float		FAO/GIEWS/FPMA-Tool	G
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	705	14.82209486	46.11958061	SVN	Slovenia	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	32	-65.14563274	-35.19446255	ARG	Argentina	2	MAZ	INDEX	maize	Index	2016	2	Float		FAO/GIEWS/FPMA-Tool	G
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	276	10.3806066	51.08862743	DEU	Germany	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	798	178.6679611	-7.460048071	TUV	Tuvalu	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	706	46.20367477	4.406485729	SOM	Somalia	2	MAZ	INDEX	maize	Index	2016	0.04	Float		FAO/GIEWS/FPMA-Tool	G
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	36	134.3499412	-25.57717202	AUS	Australia	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	288	-1.205623522	7.964825185	GHA	Ghana	2	MAZ	INDEX	maize	Index	2016	-0.91	Float		FAO/GIEWS/FPMA-Tool	G
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	800	32.39100438	1.279557331	UGA	Uganda	2	MAZ	INDEX	maize	Index	2016	0.9	Float		FAO/GIEWS/FPMA-Tool	G
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	31	50.01064725	40.39229544	AZE	Azerbaijan	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	710	24.67184355	-29.99957544	ZAF	South Africa	2	MAZ	INDEX	maize	Index	2016	0.39	Float		FAO/GIEWS/FPMA-Tool	G
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	40	14.14172472	47.58704857	AUT	Austria	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	292	-5.347561686	36.13895036	GIB	Gibraltar	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	804	31.40270802	49.00735945	UKR	Ukraine	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	304	-41.39371316	74.75625681	GRL	Greenland	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	716	29.86909584	-19.00075492	ZWE	Zimbabwe	2	MAZ	INDEX	maize	Index	2016	0.31	Float		FAO/GIEWS/FPMA-Tool	G
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	44	-78.05111663	24.69546597	BHS	Bahamas	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	296	-157.5643005	1.768837732	KIR	Kiribati	2	MAZ	INDEX	maize	Index	2016					
2018.Q2.G.01	AG_FPA_COMM	Indicator of Food Price Anomalies (IFPA), by type of product	807	21.7007909	41.60048068	MKD	Macedonia, Republic of	2	MAZ	INDEX	maize	Index	2016					
