GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Freq_Code,Freq_Desc,ReportingType_Code,ReportingType_Desc,Nature_Code,Nature_Desc,Units_Code,Units_Desc,GeoArea_Code,GeoArea_Desc,Year,TimeDetail,Value,ValueType,Source,Footnotes,ISO3CD,X,Y
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_PRVRIMON,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by provider (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,36,Australia,2017.0,,67.313887,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,AUS,134.3499412,-25.57717202
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_PRVRIMON,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by provider (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,40,Austria,2017.0,,70.345238,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,AUT,14.14172472,47.58704857
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_PRVRIMON,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by provider (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,56,Belgium,2017.0,,68.06234,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,BEL,4.660976456,50.64104975
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_PRVRIMON,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by provider (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,124,Canada,2017.0,,44.108914,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,CAN,-101.6575058,57.72360191
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_PRVRIMON,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by provider (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,156,China,2017.0,,66.666667,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,CHN,104.1403375,32.30955217
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_PRVRIMON,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by provider (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,203,Czechia,2017.0,,44.444444,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,CZE,15.33151382,49.73913871
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_PRVRIMON,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by provider (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,208,Denmark,2017.0,,32.685185,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,DNK,9.326571283,56.03829721
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_PRVRIMON,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by provider (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,246,Finland,2017.0,,37.454545,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,FIN,23.308447,61.91586738
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_PRVRIMON,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by provider (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,250,France,2017.0,,35.740741,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,FRA,2.457288129,46.62660861
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.15,Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development,17.15.1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,SG_PLN_PRVRIMON,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by provider (%),2019.Q1.G.01,ANNUAL,Global,G,Global,NA,Data nature not available,PERCENT,Percentage,276,Germany,2017.0,,50.894958,Float,Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).,,DEU,10.3806066,51.08862743
