series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Sex	Units	Sex description	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	8	20.06660928	41.13897007	ALB	Albania	1	FEMALE	PERCENT	Female	Percentage										22.47									2009	22.47	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	12	2.678164227	28.15940032	DZA	Algeria	1	FEMALE	PERCENT	Female	Percentage		5.24		5.69	4.87									10.61	9.89			10.25	2014	9.89	ILOSTAT - LFS - Household Employment Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	20	1.576257417	42.54548611	AND	Andorra	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	24	17.57817062	-12.33724746	AGO	Angola	1	FEMALE	PERCENT	Female	Percentage					29.52							31.85							2011	31.85	ILOSTAT - HS - Core Welfare Indicators Questionnaire	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	FEMALE	PERCENT	Female	Percentage		45.06																	2001	45.06	ILOSTAT - PC - Population Census	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	FEMALE	PERCENT	Female	Percentage				47.72	47.53	47.66	15.88	5.19	7.13	19.2	25.52	32.8	34.2	32.99	34.54	35.06	34.86	34.33	2016	34.86	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	FEMALE	PERCENT	Female	Percentage	27.4	27.17	25.77	28.95	27.44	26.43	27.77		27.86	32.4	29.85	28.02	30.4	30.26	30.62			30.4266666666667	2014	30.62	ILOSTAT - LFS - Permanent Household Survey (Urban)	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	36	134.3499412	-25.57717202	AUS	Australia	1	FEMALE	PERCENT	Female	Percentage	29.96	31.79	32.23	32.74	33.51	34.36	34.29	34.29	35.53	35.53	34.41	36.1	35.72	35.8	36.29	37.61	36.63	36.41	2016	36.63	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	40	14.14172472	47.58704857	AUT	Austria	1	FEMALE	PERCENT	Female	Percentage	30.08	30.05	29.25	27.38	26.3	26.82	27.92	26.16	28.12	27.35	28.92	27.5	30.08	29.35	30.31	29.68	31.79	30.242	2016	31.79	ILOSTAT - LFS - EU Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	FEMALE	PERCENT	Female	Percentage		39.94	40.43	40.37	42.8	45.79	41.39	43.24	46.34	44.41		51.64							2011	51.64	ILOSTAT - LFS - Labour Force & Household Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	FEMALE	PERCENT	Female	Percentage		12.32			10.59														2004	10.59	ILOSTAT - LFS - Labour force survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	FEMALE	PERCENT	Female	Percentage				23.39			9.71				14.75	5.39		13.18			11.38	12.28	2016	11.38	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	51	44.93839317	40.29499741	ARM	Armenia	1	FEMALE	PERCENT	Female	Percentage									21.51			31.65			32.39	29.07		30.73	2015	29.07	ILOSTAT - LFS - Household Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	FEMALE	PERCENT	Female	Percentage	35.05	41.28	42.16	44.9	43.44						46.19	46.67		48.25	48.57	50.49	48.6	48.9775	2016	48.6	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	56	4.660976456	50.64104975	BEL	Belgium	1	FEMALE	PERCENT	Female	Percentage	32.07	32.88	31.8	29.9	29.88	31.81	31.47	33.84	32.68	33.99	34.1	29.9	32.44	31.42	31.65	32.56	32.66	32.146	2016	32.66	ILOSTAT - LFS - EU Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	60	-64.78155012	32.27881922	BMU	Bermuda	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	64	90.45098484	27.39598568	BTN	Bhutan	1	FEMALE	PERCENT	Female	Percentage						14.36	12			11.27	49.23	26.67	27.61	16.97	16.46	18.48		19.88	2015	18.48	ILOSTAT - LFS - Labour Force Survey Report	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	FEMALE	PERCENT	Female	Percentage	38.59	17.57	19.57		30.69	31.96	27.68	28.96	34.73	35.06		35.72	31.44	34.03	39.42	37.15		35.51	2015	37.15	ILOSTAT - HIES - Household Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	FEMALE	PERCENT	Female	Percentage															24.15	22		23.075	2015	22	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	72	23.81380223	-22.18810073	BWA	Botswana	1	FEMALE	PERCENT	Female	Percentage	35.43	30.85		32.98			30.47			37.89	38.62								2010	38.62	ILOSTAT - HS - Botswana Core Welfare Indicators (Poverty) Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	FEMALE	PERCENT	Female	Percentage																						
