"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","-8.74871","-9.60183","57.38961","3.13633","-2.12947","5.72925","5.6926","12.93953","-0.20678","14.25158","0.37289","5.36849","7.35843","3.00376","-0.16482","-4.6394","0.8113",2016.0,"0.8113","Country adjusted data","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)"
"8","Albania","ALB","20.06660928","41.13897007","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","6.72726","8.2781","4.64982","5.80081","5.96639","6.16282","6.76414","7.04956","8.65916","4.36653","4.48668","3.03128","1.64716","1.0387","1.71187","2.13989","3.26047",2016.0,"3.26047","Country adjusted data","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)"
"10","Antarctica","ATA","21.47585697","-80.40897662","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","2.40846","1.66819","4.27025","5.84867","2.94163","4.44507","0.22626","1.82591","0.75318","-0.13329","1.73015","0.93833","1.34584","0.72806","1.74394","1.72799","1.4314",2016.0,"1.4314","Country adjusted data","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)"
"16","American Samoa","ASM","-170.7187269","-14.30587306","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","-0.41227","1.51784","2.35499","7.36666","3.32467","3.82512","1.79487","-2.00718","-9.87404","-4.37595","-5.34426","-3.85185","-0.03974","2.39251","4.29811","2.40498","2.19242",2016.0,"2.19242","Country adjusted data","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)"
"24","Angola","AGO","17.57817062","-12.33724746","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","-0.02404","-0.15366","10.68869","-0.5786","7.05769","10.98855","7.63991","10.01039","7.27425","-3.02097","1.0695","-0.15716","4.74655","1.31247","0.52695","-2.47181","-3.95482",2016.0,"-3.95482","Country adjusted data","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)"
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","4.4541","-6.60006","-0.39173","4.81014","4.58154","5.22492","10.65179","8.71792","-1.216","-13.14349","-8.25879","-3.16146","2.37504","-1.17304","3.98484","2.96921","4.25734",2016.0,"4.25734","Country adjusted data","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)"
"31","Azerbaijan","AZE","50.01064725","40.39229544","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","10.15588","8.90295","8.38464","9.09659","8.12203","26.61691","33.03917","24.10985","9.36787","8.11337","3.36904","-2.83876","0.795","4.50731","1.3769","-0.54176","-3.57097",2016.0,"-3.57097","Country adjusted data","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)"
"32","Argentina","ARG","-65.14563274","-35.19446255","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.1","Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries","8.1.1","Annual growth rate of real GDP per capita","1","NY_GDP_PCAP","Annual growth rate of real GDP per capita (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","-1.885","-5.46511","-11.87719","7.64381","7.84909","7.69269","6.91803","7.88585","2.99517","-6.88015","8.99144","4.90213","-2.06057","1.33845","-3.5142","1.6159","-3.25557",2016.0,"-3.25557","Country adjusted data","United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)"
