ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Age_Code,Age_Desc,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2006,Footnotes_2007,Footnotes_2008,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Footnotes_2017,Nature_Code_2006,Nature_Code_2007,Nature_Code_2008,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Nature_Code_2017,Source_2006,Source_2007,Source_2008,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,Source_2017,TimeDetail_2006,TimeDetail_2007,TimeDetail_2008,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,TimeDetail_2017,Value_2006,Value_2007,Value_2008,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Value_2017,Latest_Year,Latest_Value
,,,1,World,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,Based on 153 countries with a population coverage of 83 per cent,,,,,,,,,,,,E,,,,,,,,,,,,"DHS, MICS, other national surveys, censuses and vital registration systems",,,,,,,,,,,,,,,,,,,,,,,,73.1,2017.0,73.1
BGR,25.23763153,42.75731323,100,Bulgaria,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,Births registered,,,,,,,,,,,,C,,,,,,,,,,,,Vital registration data,,,,,,,,,,,,,,,,,,,,,,,,100.0000000000000,,,,,,2012.0,100.0000000000000
MMR,96.51752295,21.19332882,104,Myanmar,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,81.3,,2016.0,81.3
BDI,29.89080992,-3.366387428,108,Burundi,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,75.2000000000000,,,,,,,,2010.0,75.2000000000000
BLR,28.04940161,53.54193075,112,Belarus,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,Births registered,,,,,,,,,,,,C,,,,,,,,,,,,Vital registration data,,,,,,,,,,,,,,,,,,,,,,,,100.0000000000000,,,,,,2012.0,100.0000000000000
KHM,104.922836,12.71163737,116,Cambodia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,73.3000000000000,,,,2014.0,73.3000000000000
DZA,2.678164227,28.15940032,12,Algeria,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,99.6000000000000,,,,,2013.0,99.6000000000000
CMR,12.7419827,5.692387031,120,Cameroon,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,66.1000000000000,,,,2014.0,66.1000000000000
CAN,-101.6575058,57.72360191,124,Canada,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,,,,,,,,,,,,E,,,,,,,,,,,,UNSD,,,,,,,,,,,,,,,,,,,,,,,,100.0000000000000,,,,,,,2011.0,100.0000000000000
CPV,-23.63544151,15.07791834,132,Cabo Verde,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",1,SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),2019.Q1.G.01,<5Y,under 5 years old,G,Global,NUM_U5_M,Millions of children aged 0-59 months,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,Census,,,,,,,,,,,,,,,,,,,,,,,,91.4000000000000,,,,,,,,2010.0,91.4000000000000
