ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2001,Footnotes_2002,Footnotes_2003,Footnotes_2004,Footnotes_2005,Footnotes_2006,Footnotes_2007,Footnotes_2008,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Nature_Code_2001,Nature_Code_2002,Nature_Code_2003,Nature_Code_2004,Nature_Code_2005,Nature_Code_2006,Nature_Code_2007,Nature_Code_2008,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Source_2001,Source_2002,Source_2003,Source_2004,Source_2005,Source_2006,Source_2007,Source_2008,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,TimeDetail_2001,TimeDetail_2002,TimeDetail_2003,TimeDetail_2004,TimeDetail_2005,TimeDetail_2006,TimeDetail_2007,TimeDetail_2008,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,Value_2001,Value_2002,Value_2003,Value_2004,Value_2005,Value_2006,Value_2007,Value_2008,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Latest_Year,Latest_Value
,,,1,World,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",2.a.1,The agriculture orientation index for government expenditures,1,AG_PRD_ORTIND,Agriculture orientation index for government expenditures,2019.Q1.G.01,G,Global,INDEX,Index,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,,,,,,,,,,,,,,,,,0.38,0.37,0.33,0.33,0.35,0.37,0.31,0.32,0.27,0.25,0.25,0.24,0.22,0.22,0.22,0.23,2016.0,0.23
BGR,25.23763153,42.75731323,100,Bulgaria,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",2.a.1,The agriculture orientation index for government expenditures,1,AG_PRD_ORTIND,Agriculture orientation index for government expenditures,2019.Q1.G.01,G,Global,INDEX,Index,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,,,,,,,,,,,,,,,,,0.19,0.29,0.33,0.31,0.41,0.57,0.55,0.35,0.40,0.29,0.77,0.82,0.70,0.54,0.79,0.44,2016.0,0.44
BDI,29.89080992,-3.366387428,108,Burundi,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",2.a.1,The agriculture orientation index for government expenditures,1,AG_PRD_ORTIND,Agriculture orientation index for government expenditures,2019.Q1.G.01,G,Global,INDEX,Index,,,,,,,,,,Budgetary Central Government,Budgetary Central Government,Budgetary Central Government,Budgetary Central Government,,,,,,,,,,,,,C,C,C,C,,,,,,,,,,,,,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.08,0.08,0.07,,,,2013.0,0.07
,,,11,Western Africa,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",2.a.1,The agriculture orientation index for government expenditures,1,AG_PRD_ORTIND,Agriculture orientation index for government expenditures,2019.Q1.G.01,G,Global,INDEX,Index,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,,,,,,,,,,,,,,,,,,0.17,0.21,0.07,0.14,0.18,0.24,0.22,0.23,0.16,0.11,0.13,0.11,0.09,0.23,0.20,,2015.0,0.20
BLR,28.04940161,53.54193075,112,Belarus,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",2.a.1,The agriculture orientation index for government expenditures,1,AG_PRD_ORTIND,Agriculture orientation index for government expenditures,2019.Q1.G.01,G,Global,INDEX,Index,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,,,,,,,,,,,,,,,,,,1.08,1.01,1.20,1.62,1.68,1.55,1.34,1.14,1.38,1.19,1.18,0.59,0.55,0.52,0.64,,2015.0,0.64
DZA,2.678164227,28.15940032,12,Algeria,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",2.a.1,The agriculture orientation index for government expenditures,1,AG_PRD_ORTIND,Agriculture orientation index for government expenditures,2019.Q1.G.01,G,Global,INDEX,Index,,,,,,Budgetary Central Government,Budgetary Central Government,Budgetary Central Government,Budgetary Central Government,,,,,,,,,,,,,C,C,C,C,,,,,,,,,,,,,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,IMF data. UNSD national account estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.29,0.79,0.39,,,,,,,,2009.0,0.39
CAN,-101.6575058,57.72360191,124,Canada,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",2.a.1,The agriculture orientation index for government expenditures,1,AG_PRD_ORTIND,Agriculture orientation index for government expenditures,2019.Q1.G.01,G,Global,INDEX,Index,,,,,,,,,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,,,,,,,,,,,C,C,C,C,C,C,,,,,,,,,,,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,FAO Questionnaire. UNSD national account estimates.,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.94,0.77,0.76,0.66,0.59,,,2014.0,0.59
,,,13,Central America,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",2.a.1,The agriculture orientation index for government expenditures,1,AG_PRD_ORTIND,Agriculture orientation index for government expenditures,2019.Q1.G.01,G,Global,INDEX,Index,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,,,,,,,,,,,,,,,,,0.24,0.19,0.24,0.25,0.24,0.28,0.31,0.35,0.31,0.50,0.50,0.58,0.33,0.28,0.24,0.24,2016.0,0.24
CPV,-23.63544151,15.07791834,132,Cabo Verde,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",2.a.1,The agriculture orientation index for government expenditures,1,AG_PRD_ORTIND,Agriculture orientation index for government expenditures,2019.Q1.G.01,G,Global,INDEX,Index,Central Government,Central Government,,,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,Central Government,,C,C,,,C,C,C,C,C,C,C,C,C,C,C,,Official country publications. UNSD national account estimates.,Official country publications. UNSD national account estimates.,,,Official country publications. UNSD national account estimates.,Official country publications. UNSD national account estimates.,Official country publications. UNSD national account estimates.,Official country publications. UNSD national account estimates.,Official country publications. UNSD national account estimates.,Official country publications. UNSD national account estimates.,Official country publications. UNSD national account estimates.,Official country publications. UNSD national account estimates.,Official country publications. UNSD national account estimates.,Official country publications. UNSD national account estimates.,Official country publications. UNSD national account estimates.,,,,,,,,,,,,,,,,,,0.67,0.78,,,0.46,0.43,0.58,0.63,0.50,0.59,0.75,0.53,0.52,0.42,0.53,,2015.0,0.53
,,,135,Caucasus and Central Asia,2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,"Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",2.a.1,The agriculture orientation index for government expenditures,1,AG_PRD_ORTIND,Agriculture orientation index for government expenditures,2019.Q1.G.01,G,Global,INDEX,Index,Combined Budgetary and Central Government Expenditure,,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,Combined Budgetary and Central Government Expenditure,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.,,,,,,,,,,,,,,,,,0.13,,0.06,0.18,0.48,0.55,0.57,0.59,0.55,0.66,0.55,0.56,0.48,0.43,0.45,0.21,2016.0,0.21
