series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Sex	Units	Age description	Sex description	Units description	2000	2005	2010	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	4	66.02688198	33.83160199	AFG	Afghanistan	1	30-70	BOTHSEX	PERCENT	30 to 70 years old	Both	Percentage	34.4	34.1	31.7	29.8	29.8	29.8	2016	29.8	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	4	66.02688198	33.83160199	AFG	Afghanistan	2	30-70	MALE	PERCENT	30 to 70 years old	Male	Percentage	36.6	36.5	34.1	31.9	31.8	31.85	2016	31.8	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	4	66.02688198	33.83160199	AFG	Afghanistan	3	30-70	FEMALE	PERCENT	30 to 70 years old	Female	Percentage	32.1	31.6	29.4	27.8	27.7	27.75	2016	27.7	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	8	20.06660928	41.13897007	ALB	Albania	1	30-70	BOTHSEX	PERCENT	30 to 70 years old	Both	Percentage	19.4	18.8	18.6	17.4	17	17.2	2016	17	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	8	20.06660928	41.13897007	ALB	Albania	2	30-70	MALE	PERCENT	30 to 70 years old	Male	Percentage	23.1	22.1	22.3	20.9	20.7	20.8	2016	20.7	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	8	20.06660928	41.13897007	ALB	Albania	3	30-70	FEMALE	PERCENT	30 to 70 years old	Female	Percentage	14.9	15	14.6	13.7	13.1	13.4	2016	13.1	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	10	21.47585697	-80.40897662	ATA	Antarctica	1	30-70	BOTHSEX	PERCENT	30 to 70 years old	Both	Percentage										
2018.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	10	21.47585697	-80.40897662	ATA	Antarctica	2	30-70	MALE	PERCENT	30 to 70 years old	Male	Percentage										
2018.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	10	21.47585697	-80.40897662	ATA	Antarctica	3	30-70	FEMALE	PERCENT	30 to 70 years old	Female	Percentage										
2018.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	12	2.678164227	28.15940032	DZA	Algeria	1	30-70	BOTHSEX	PERCENT	30 to 70 years old	Both	Percentage	21.1	17.6	15.4	14.4	14.2	14.3	2016	14.2	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	12	2.678164227	28.15940032	DZA	Algeria	2	30-70	MALE	PERCENT	30 to 70 years old	Male	Percentage	23.1	18.9	16.4	15.4	15.2	15.3	2016	15.2	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	12	2.678164227	28.15940032	DZA	Algeria	3	30-70	FEMALE	PERCENT	30 to 70 years old	Female	Percentage	19.1	16.2	14.4	13.3	13.2	13.25	2016	13.2	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	30-70	BOTHSEX	PERCENT	30 to 70 years old	Both	Percentage										
