"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"30","Eastern Asia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"34","Southern Asia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"35","South-Eastern Asia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"39","Southern Europe","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"53","Australia and New Zealand","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","407263.76421","491677.26785","578662.26683","578719.2663","578800.8009","582956.99907","589131.97994","1708268.72753","1708792.93343","1735594.14704","1736323.68319","1741805.87617","4485497.69337","4493442.37531","4495367.16308","4495379.6951","4495640.1799","4495640.1799",2017.0,"4495640.1799","Data nature not available","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast."
"54","Melanesia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"57","Micronesia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"61","Polynesia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"62","Central and Southern Asia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","12419.8138","13236.36529","14545.81388","14549.20596","14555.90733","14555.90733","14574.59513","14574.59513","14949.56342","15529.71383","15818.00224","15935.05944","15938.28796","15938.28796","17666.5196","17666.5196","17666.5196","17666.5196",2017.0,"17666.5196","Data nature not available","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast."
"97","European Union","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"127","Southern Asia (excluding India)","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"135","Caucasus and Central Asia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"142","Asia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"143","Central Asia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"145","Western Asia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"150","Europe","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"151","Eastern Europe","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"154","Northern Europe","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"155","Western Europe","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"158","Other non-specified areas","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"199","Least Developed Countries (LDCs)","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","30665.88558","30859.33599","31127.647","31359.39123","35585.51796","35590.36913","436837.55378","437650.57349","440089.64377","449376.00267","462718.25267","464294.29315","476080.32972","476088.96372","480002.62008","480006.64299","481817.13879","489853.87959",2017.0,"489853.87959","Data nature not available","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast."
"202","Sub-Saharan Africa","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","34504.69047","34920.38978","35417.85933","36761.92075","43360.62012","43488.8558","45008.72248","45083.0494","61363.60164","71294.0463","780619.94618","784550.09463","839835.73489","1009545.69824","1011198.67","1458443.35344","2107757.58243","3150596.33988",2017.0,"3150596.33988","Data nature not available","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast."
"223","Eastern Asia (excluding Japan and China)","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"369"," Iraq (Central Iraq) ","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"419","Latin America and the Caribbean","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","321026.06122","329641.98869","334699.6518","341499.64281","355982.8857","430386.13563","431417.74253","435959.58601","453127.90137","459851.5982","757954.64236","758630.29791","1834901.9419","1873303.37545","1873705.15747","1917862.01847","2858945.7087","2871025.36106",2017.0,"2871025.36106","Data nature not available","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast."
"420","Latin America","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"432","Landlocked developing countries (LLDCs)","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","3811.58745","4120.76182","4120.76182","4120.91634","4120.91634","4125.24624","4125.24624","4125.24624","4500.21453","4999.8028","4999.8028","4999.8028","4999.8028","4999.8028","4999.8028","4999.8028","4999.8028","4999.8028",2017.0,"4999.8028","Data nature not available","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast."
"485","Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"513","Europe and Northern America","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","1858452.26189","1949102.92452","2734466.97198","2743016.67034","2768683.12142","2775727.89431","3963775.30211","3977710.88727","4259913.15482","4264556.68862","4308709.62779","4334212.94795","4349525.69872","4364796.38408","4483653.38592","4525519.52182","4577303.53115","4627660.19227",2017.0,"4627660.19227","Data nature not available","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast."
"514","Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"515","Developing regions","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"518","Eastern Asia (excluding Japan)","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"535","Bonaire, Sint Eustatius and Saba","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","","","","","","","","","","2755.52201",2017.0,"2755.52201","Data nature not available","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast."
"543","Oceania (exc. Australia and New Zealand)","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","62784.21548","68472.93604","72666.62282","76899.96563","80700.56402","80951.89566","482878.48964","484038.2888","511426.6679","2035839.72426","2044052.1961","2044052.1961","2045077.51792","2047052.0923","3335489.74608","3838982.79058","4678550.26914","6651310.50403",2017.0,"6651310.50403","Data nature not available","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast."
"722","Small island developing States (SIDS)","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.5","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information","14.5.1","Coverage of protected areas in relation to marine areas","1","ER_MRN_MARINT","Protected marine area (Exclusive Economic Zones) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","28813.13539","9827.80909","12513.99449","8632.11189","8005.07338","4620.4947","406173.74025","5383.51504","33146.7311","266366.64481","18999.84919","4324.55522","13208.12681","6325.97977","1294299.65011","551662.82699","6823.79067","1976476.94847",2017.0,"1976476.94847","Data nature not available","Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).","The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coast."
