"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"4","Afghanistan","AFG","66.02688198","33.83160199","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","46.2658","47.91399","66.14084","65.3661","65.10391","64.68698","64.63278","65.72926","65.60204","67.32495","67.97047","67.91407","70.53678","69.1172","65.28465","64.05002","67.02765","70.26011",2017.0,"70.26011","Modeled data","UNIDO MVA 2018 Database. Available at https://stat.unido.org","NA"
"8","Albania","ALB","20.06660928","41.13897007","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","94.5395","99.96837","104.25868","124.70134","132.77309","152.11918","173.33447","197.23084","189.33001","196.71832","221.14101","245.45618","207.49346","221.2708","226.13926","220.82443","226.67","233.59095",2017.0,"233.59095","Modeled data","UNIDO MVA 2018 Database. Available at https://stat.unido.org","NA"
"10","Antarctica","ATA","21.47585697","-80.40897662","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","147.58288","151.80292","157.85887","158.44694","160.14132","160.86074","163.10918","164.95582","171.99498","184.81341","186.3205","189.89913","193.89611","197.27587","199.45684","203.54178","204.70926","203.32629",2017.0,"203.32629","Modeled data","UNIDO MVA 2018 Database. Available at https://stat.unido.org","NA"
"16","American Samoa","ASM","-170.7187269","-14.30587306","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","1483.71845","1401.67941","1445.40231","1651.77404","1730.0178","1687.329","1713.63777","1665.69737","1559.02558","1450.60619","1472.62826","1385.31023","1287.83353","1259.86838","1295.65565","1355.38116","1354.76972","1329.38736",2017.0,"1329.38736","Modeled data","UNIDO MVA 2018 Database. Available at https://stat.unido.org","NA"
"24","Angola","AGO","17.57817062","-12.33724746","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","73.99786","77.15676","81.05259","80.80861","94.01105","98.64537","105.06117","103.98755","103.4899","127.97034","162.86369","201.43786","243.78158","280.48965","277.19319","267.89815","274.29703","282.68173",2017.0,"282.68173","Modeled data","UNIDO MVA 2018 Database. Available at https://stat.unido.org","NA"
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","220.18977","220.45726","228.88256","229.55296","237.94218","246.77743","274.21544","295.72566","265.53669","290.26356","261.67727","265.92731","222.9548","259.38987","266.55294","260.68788","265.57135","266.66975",2017.0,"266.66975","Modeled data","UNIDO MVA 2018 Database. Available at https://stat.unido.org","NA"
"31","Azerbaijan","AZE","50.01064725","40.39229544","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","158.07504","163.03611","174.69794","197.16839","215.58919","248.07842","267.56384","291.69867","308.92634","266.95391","281.63131","298.67988","310.50764","312.97141","321.74639","342.42652","323.09002","309.82694",2017.0,"309.82694","Modeled data","UNIDO MVA 2018 Database. Available at https://stat.unido.org","NA"
"32","Argentina","ARG","-65.14563274","-35.19446255","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.1","Manufacturing value added as a proportion of GDP and per capita","1","NV_IND_MANFPC","Manufacturing value added per capita (constant 2010 United States dollars)","2019.Q1.G.01","CON_10USD","Constant 2010 United States dollars","G","Global","1265.63003","1159.49899","1021.08673","1171.14322","1297.20133","1378.68499","1488.45292","1584.2194","1624.98654","1491.32998","1637.81956","1744.93927","1675.41281","1684.41821","1582.05082","1569.98018","1491.68474","1497.92544",2017.0,"1497.92544","Modeled data","UNIDO MVA 2018 Database. Available at https://stat.unido.org","NA"
