"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ModeOfTransportation_Code","ModeOfTransportation_Desc","ReportingType_Code","ReportingType_Desc","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","AIR","Air transport","G","Global","29010881",2016.0,"29010881","Data nature not available","International Civil Aviation Organization (ICAO)"
"4","Afghanistan","AFG","66.02688198","33.83160199","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","RAI","Rail transport","G","Global","978840440",2016.0,"978840440","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"4","Afghanistan","AFG","66.02688198","33.83160199","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","ROA","Road transport","G","Global","7188102436",2016.0,"7188102436","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"8","Albania","ALB","20.06660928","41.13897007","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","AIR","Air transport","G","Global","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","ROA","Road transport","G","Global","4862965805",2016.0,"4862965805","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"8","Albania","ALB","20.06660928","41.13897007","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","RAI","Rail transport","G","Global","52411508",2016.0,"52411508","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"10","Antarctica","ATA","21.47585697","-80.40897662","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","ROA","Road transport","G","Global","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","AIR","Air transport","G","Global","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","RAI","Rail transport","G","Global","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","ROA","Road transport","G","Global","78829868937",2016.0,"78829868937","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"12","Algeria","DZA","2.678164227","28.15940032","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","RAI","Rail transport","G","Global","1483213020",2016.0,"1483213020","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"12","Algeria","DZA","2.678164227","28.15940032","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","AIR","Air transport","G","Global","21591025",2016.0,"21591025","Data nature not available","International Civil Aviation Organization (ICAO)"
"16","American Samoa","ASM","-170.7187269","-14.30587306","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","AIR","Air transport","G","Global","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","ROA","Road transport","G","Global","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","RAI","Rail transport","G","Global","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","ROA","Road transport","G","Global","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","AIR","Air transport","G","Global","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","RAI","Rail transport","G","Global","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","RAI","Rail transport","G","Global","765667333",2016.0,"765667333","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"24","Angola","AGO","17.57817062","-12.33724746","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_FRGVOL","Freight volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","T_KM","Tonne kilometres","ROA","Road transport","G","Global","8530860444",2016.0,"8530860444","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
