"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2002.0","Value_2007.0","Value_2012.0","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"2","Africa","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"5","South America","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"9","Oceania","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"11","Western Africa","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"13","Central America","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"14","Eastern Africa","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"15","Northern Africa","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","91.4","88.8","82.9","73.9",2017.0,"73.9","Estimated data","DHS, MICS and other national surveys","Based on 2 countries covering 64 per cent of the regional population of adolescent girls aged 15 to 19 years"
"17","Middle Africa","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"18","Southern Africa","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
