series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	IHR Capacity	Units description	IHR Capacity description	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	IHR11	Percentage	Food safety	26	25	13	20	20	40	7	47	26.8	2017	47	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	4	66.02688198	33.83160199	AFG	Afghanistan	2	PERCENT	IHR07	Percentage	Human resources	16	25	20	40	20	40	40	40	36	2017	40	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	4	66.02688198	33.83160199	AFG	Afghanistan	3	PERCENT	IHR08	Percentage	Laboratory	45	40	26	45	53	69	76	37	56	2017	37	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	4	66.02688198	33.83160199	AFG	Afghanistan	4	PERCENT	IHR10	Percentage	 Zoonotic events	69	44	56	67	67	67	33	89	64.6	2017	89	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	4	66.02688198	33.83160199	AFG	Afghanistan	5	PERCENT	IHR12	Percentage	Chemical events	7	0	0	0	23	23	31	15	18.4	2017	15	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	4	66.02688198	33.83160199	AFG	Afghanistan	6	PERCENT	IHR04	Percentage	Response	53	43	47	40	58	52	88	28	53.2	2017	28	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	4	66.02688198	33.83160199	AFG	Afghanistan	7	PERCENT	IHR01	Percentage	National legislation, policy and financing	50	0	0	0	50	0	0	50	20	2017	50	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	4	66.02688198	33.83160199	AFG	Afghanistan	8	PERCENT	IHR06	Percentage	Risk communication	80	43	43	57	71	71	57	29	57	2017	29	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	4	66.02688198	33.83160199	AFG	Afghanistan	9	PERCENT	IHR13	Percentage	Radionuclear emergencies	6	0	0	62	38	54	54	38	49.2	2017	38	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	4	66.02688198	33.83160199	AFG	Afghanistan	10	PERCENT	IHR05	Percentage	Preparedness	41	0	0	10	26	18	28	55	27.4	2017	55	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	4	66.02688198	33.83160199	AFG	Afghanistan	11	PERCENT	IHR09	Percentage	Points of entry	15	0	3	3	15	9	12	9	9.6	2017	9	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	4	66.02688198	33.83160199	AFG	Afghanistan	12	PERCENT	IHR02	Percentage	 Coordination and National Focal Point communications	75	20	36	46	63	36	30	37	42.4	2017	37	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	4	66.02688198	33.83160199	AFG	Afghanistan	13	PERCENT	IHR03	Percentage	Surveillance	96	80	80	75	90	75	95	70	81	2017	70	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	IHR11	Percentage	Food safety								33	33	2017	33	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	8	20.06660928	41.13897007	ALB	Albania	2	PERCENT	IHR07	Percentage	Human resources								40	40	2017	40	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	8	20.06660928	41.13897007	ALB	Albania	3	PERCENT	IHR08	Percentage	Laboratory								63	63	2017	63	Global Health Observatory (GHO), World Health Organisation (WHO)	
